x,y,z,gx,gy,gz,motor0,motor1,motor2,motor3
0.223924,0.212433,2.54986,0,0,2.5,0,0,0,0
0.231802,0.251207,2.54847,0.00188496,0.00376991,2.50063,0,0,0,0
0.231802,0.251207,2.54847,0.00376991,0.00753979,2.50126,0,0,0,0
0.243209,0.306639,2.5463,0.00565485,0.0113096,2.50188,0,0,0,0
0.243209,0.306639,2.5463,0.00753979,0.0150794,2.50251,0,0,0,0
0.243209,0.306639,2.5463,0.00942472,0.0188491,2.50314,0,0,0,0
0.253979,0.359054,2.54349,0.0113096,0.0226186,2.50377,0,0,0,0
0.253979,0.359054,2.54349,0.0131945,0.026388,2.5044,0,0,0,0
0.26065,0.392413,2.541,0.0150794,0.0301573,2.50503,0,0,0,0
0.26065,0.392413,2.541,0.0169642,0.0339263,2.50565,0,0,0,0
0.26065,0.392413,2.541,0.0188491,0.0376951,2.50628,0,0,0,0
0.267068,0.42476,2.5379,0.0207339,0.0414637,2.50691,0,0,0,0
0.267068,0.42476,2.5379,0.0226186,0.0452321,2.50754,0,0,0,0
0.275811,0.471082,2.53232,0.0245033,0.0490001,2.50817,0,0,0,0
0.281273,0.500661,2.52794,0.026388,0.0527679,2.5088,0,0,0,0
0.281273,0.500661,2.52794,0.0282727,0.0565353,2.50942,0,0,0,0
0.281273,0.500661,2.52794,0.0301573,0.0603023,2.51005,0,0,0,0
0.28856,0.542788,2.52076,0.0320418,0.064069,2.51068,0,0,0,0
0.28856,0.542788,2.52076,0.0339263,0.0678353,2.51131,0,0,0,0
0.294879,0.582106,2.5133,0.0358107,0.0716011,2.51194,0,0,0,0
0.298588,0.606794,2.50812,0.0376951,0.0753665,2.51257,0,0,0,0
0.298588,0.606794,2.50812,0.0395795,0.0791314,2.51319,0,0,0,0
0.298588,0.606794,2.50812,0.0414637,0.0828958,2.51382,0,0,0,0
0.301744,0.630226,2.50291,0.0433479,0.0866597,2.51445,0,0,0,0
0.30568,0.662827,2.49535,0.0452321,0.090423,2.51508,0,0,0,0
0.30568,0.662827,2.49535,0.0471161,0.0941858,2.51571,0,0,0,0
0.30568,0.662827,2.49535,0.0490001,0.097948,2.51633,0,0,0,0
0.307724,0.683035,2.49027,0.050884,0.10171,2.51696,0,0,0,0
0.309937,0.711069,2.48265,0.0527679,0.10547,2.51759,0,0,0,0
