x,y,z,gx,gy,gz,motor0,motor1,motor2,motor3,target_yaw,yaw
0.00349144,-0.0512285,1.92287,0,0.606218,2.37634,0,0,0,0,0,-0.0363069
0.00293012,-0.0509863,1.92594,0.00113097,0.606766,2.37654,0,0,0,0,0.180448,-0.0362002
0.00293012,-0.0509863,1.92594,0.00226194,0.607314,2.37674,0,0,0,0,0.360897,-0.036132
0.00293012,-0.0509863,1.92594,0.00339291,0.60786,2.37694,0,0,0,0,0.450592,-0.036039
0.00259333,-0.0508195,1.92794,0.00452387,0.608404,2.37715,0,0,0,0,0.449533,-0.0359909
0.00259333,-0.0508195,1.92794,0.00565483,0.608948,2.37735,0,0,0,0,0.448475,-0.0358411
0.00259333,-0.0508195,1.92794,0.00678577,0.609488,2.37755,0,0,0,0,0.447388,-0.035737
0.00210658,-0.0505943,1.93172,0.00791671,0.610029,2.37776,0,0,0,0,0.446301,-0.0356848
0.00210658,-0.0505943,1.93172,0.00904763,0.610567,2.37796,0,0,0,0,0.445217,-0.0355526
0.00181465,-0.0504535,1.93489,0.0101785,0.611104,2.37816,0,0,0,0,0.444135,-0.0355047
0.00181465,-0.0504535,1.93489,0.0113094,0.611641,2.37836,0,0,0,0,0.443053,-0.0353628
0.00181465,-0.0504535,1.93489,0.0124403,0.612173,2.37856,0,0,0,0,0.441971,-0.0352733
0.00140377,-0.0502551,1.9407,0.0135712,0.612706,2.37877,0,0,0,0,0.440888,-0.0352268
0.00140377,-0.0502551,1.9407,0.014702,0.613237,2.37897,0,0,0,0,0.439801,-0.0350806
0.00114708,-0.0501267,1.9454,0.0158328,0.613766,2.37917,0,0,0,0,0.43871,-0.0350285
0.00114708,-0.0501267,1.9454,0.0169636,0.614295,2.37937,0,0,0,0,0.437618,-0.03487
0.00114708,-0.0501267,1.9454,0.0180943,0.614821,2.37957,0,0,0,0,0.436533,-0.03487
0.000805077,-0.0498684,1.9537,0.0192251,0.615346,2.37977,0,0,0,0,0.435448,-0.0347049
0.000805077,-0.0498684,1.9537,0.0203558,0.615869,2.37998,0,0,0,0,0.434355,-0.0347049
0.000805077,-0.0498684,1.9537,0.0214864,0.616391,2.38018,0,0,0,0,0.433253,-0.0345337
0.000593556,-0.0496383,1.95984,0.0226171,0.616912,2.38038,0,0,0,0,0.432152,-0.0344216
0.000593556,-0.0496383,1.95984,0.0237477,0.61743,2.38058,0,0,0,0,0.43105,-0.0341859
0.000306211,-0.0491856,1.96982,0.0248782,0.617948,2.38078,0,0,0,0,0.429948,-0.0341859
0.000306211,-0.0491856,1.96982,0.0260087,0.618464,2.38098,0,0,0,0,0.428849,-0.0340009
0.000306211,-0.0491856,1.96982,0.0271392,0.618977,2.38118,0,0,0,0,0.427752,-0.0340009
0.000120042,-0.0488037,1.97691,0.0282697,0.619491,2.38138,0,0,0,0,0.426655,-0.0338001
0.000120042,-0.0488037,1.97691,0.0294,0.620001,2.38158,0,0,0,0,0.42555,-0.0336631
-4.98218e-05,-0.0483796,1.98429,0.0305304,0.620511,2.38178,0,0,0,0,0.424444,-0.0335208
-4.98218e-05,-0.0483796,1.98429,0.0316607,0.62102,2.38198,0,0,0,0,0.423335,-0.0334507
-4.98218e-05,-0.0483796,1.98429,0.0327909,0.621526,2.38218,0,0,0,0,0.422221,-0.0332255
-0.000276265,-0.0475872,1.99615,0.0339212,0.622032,2.38238,0,0,0,0,0.421108,-0.033083
-0.000276265,-0.0475872,1.99615,0.0350513,0.622534,2.38258,0,0,0,0,0.419985,-0.0329263
-0.000463801,-0.0465824,2.0089,0.0361814,0.623037,2.38278,0,0,0,0,0.418863,-0.0327686
-0.000463801,-0.0465824,2.0089,0.0373114,0.623537,2.38298,0,0,0,0,0.417747,-0.0326852
-0.000463801,-0.0465824,2.0089,0.0384414,0.624036,2.38318,0,0,0,0,0.416637,-0.0324322
-0.000563492,-0.0457682,2.01784,0.0395713,0.624534,2.38338,0,0,0,0,0.415527,-0.0323467
-0.000563492,-0.0457682,2.01784,0.0407011,0.625029,2.38357,0,0,0,0,0.414401,-0.0320802
-0.000563492,-0.0457682,2.01784,0.0418309,0.625524,2.38377,0,0,0,0,0.413276,-0.0318961
-0.000652134,-0.0443064,2.03193,0.0429606,0.626017,2.38397,0,0,0,0,0.41215,-0.031712
-0.000652134,-0.0443064,2.03193,0.0440903,0.626507,2.38417,0,0,0,0,0.411022,-0.0316172
-0.000679273,-0.043198,2.04151,0.0452199,0.626998,2.38437,0,0,0,0,0.409895,-0.0313253
-0.000679273,-0.043198,2.04151,0.0463493,0.627485,2.38457,0,0,0,0,0.408759,-0.0311313
-0.000669873,-0.0412437,2.05607,0.0474788,0.627972,2.38476,0,0,0,0,0.407623,-0.0308136
-0.000669873,-0.0412437,2.05607,0.0486082,0.628457,2.38496,0,0,0,0,0.406493,-0.0308136
-0.000669873,-0.0412437,2.05607,0.0497374,0.62894,2.38516,0,0,0,0,0.40537,-0.0304699
-0.000639985,-0.0398026,2.06568,0.0508667,0.629423,2.38536,0,0,0,0,0.404247,-0.0303565
-0.000639985,-0.0398026,2.06568,0.0519957,0.629903,2.38556,0,0,0,0,0.4031,-0.0300154
-0.0005916,-0.0382437,2.07524,0.0531248,0.630382,2.38575,0,0,0,0,0.401952,-0.0297905
-0.0005916,-0.0382437,2.07524,0.0542538,0.630859,2.38595,0,0,0,0,0.400812,-0.0295616
-0.0005916,-0.0382437,2.07524,0.0553826,0.631334,2.38615,0,0,0,0,0.399679,-0.0293235
-0.000457164,-0.0356542,2.08978,0.0565115,0.63181,2.38634,0,0,0,0,0.398546,-0.0290969
-0.000457164,-0.0356542,2.08978,0.0576401,0.632281,2.38654,0,0,0,0,0.397395,-0.0288562
-0.000457164,-0.0356542,2.08978,0.0587687,0.632753,2.38674,0,0,0,0,0.396244,-0.0287405
