x,y,z,gx,gy,gz,motor0,motor1,motor2,motor3,target_yaw,yaw
0.0431449,-0.0805514,1.92411,0,0.606218,2.37634,0,0,0,0,0,-0.0533134
0.0431449,-0.0805514,1.92411,0.00113097,0.606766,2.37654,0,0,0,0,0.180448,-0.0533656
0.0429222,-0.0813567,1.92634,0.00226194,0.607314,2.37674,0,0,0,0,0.360897,-0.0534001
0.0429222,-0.0813567,1.92634,0.00339291,0.60786,2.37694,0,0,0,0,0.450592,-0.0534373
0.042705,-0.0821314,1.92859,0.00452387,0.608404,2.37715,0,0,0,0,0.449533,-0.0534749
0.042705,-0.0821314,1.92859,0.00565483,0.608948,2.37735,0,0,0,0,0.448475,-0.0535012
0.042705,-0.0821314,1.92859,0.00678577,0.609488,2.37755,0,0,0,0,0.447388,-0.0535515
0.0423812,-0.0832366,1.93283,0.00791671,0.610029,2.37776,0,0,0,0,0.446301,-0.0536474
0.0420596,-0.0842908,1.93854,0.00904763,0.610567,2.37796,0,0,0,0,0.445217,-0.0536661
0.0420596,-0.0842908,1.93854,0.0101785,0.611104,2.37816,0,0,0,0,0.444135,-0.0537085
0.0420596,-0.0842908,1.93854,0.0113094,0.611641,2.37836,0,0,0,0,0.443053,-0.0537254
0.0418474,-0.0849335,1.94279,0.0124403,0.612173,2.37856,0,0,0,0,0.441971,-0.0537725
0.0418474,-0.0849335,1.94279,0.0135712,0.612706,2.37877,0,0,0,0,0.440888,-0.0538151
0.0418474,-0.0849335,1.94279,0.014702,0.613237,2.37897,0,0,0,0,0.439801,-0.053856
0.041536,-0.0857945,1.94954,0.0158328,0.613766,2.37917,0,0,0,0,0.43871,-0.0538777
0.041536,-0.0857945,1.94954,0.0169636,0.614295,2.37937,0,0,0,0,0.437618,-0.0539141
0.0413346,-0.086297,1.95455,0.0180943,0.614821,2.37957,0,0,0,0,0.436533,-0.0539221
0.0413346,-0.086297,1.95455,0.0192251,0.615346,2.37977,0,0,0,0,0.435448,-0.0539583
0.0413346,-0.086297,1.95455,0.0203558,0.615869,2.37998,0,0,0,0,0.434355,-0.053963
0.0410435,-0.0869231,1.9632,0.0214864,0.616391,2.38018,0,0,0,0,0.433253,-0.0539679
0.0410435,-0.0869231,1.9632,0.0226171,0.616912,2.38038,0,0,0,0,0.432152,-0.0539786
0.040885,-0.0872475,1.96967,0.0237477,0.61743,2.38058,0,0,0,0,0.43105,-0.0539795
0.040885,-0.0872475,1.96967,0.0248782,0.617948,2.38078,0,0,0,0,0.429948,-0.053979
0.040885,-0.0872475,1.96967,0.0260087,0.618464,2.38098,0,0,0,0,0.428849,-0.0539624
0.0406394,-0.0875905,1.97978,0.0271392,0.618977,2.38118,0,0,0,0,0.427752,-0.0539252
0.0404824,-0.0877134,1.98698,0.0282697,0.619491,2.38138,0,0,0,0,0.426655,-0.0538667
