x,y,z,gx,gy,gz,motor0,motor1,motor2,motor3,target_yaw,yaw
0.0408148,-0.0884799,1.9275,0,0.606218,2.37634,0,0,0,0,0,-0.0836486
0.0407671,-0.0884528,1.92862,0.00113097,0.606766,2.37654,0,0,0,0,0.180448,-0.0836589
0.0407671,-0.0884528,1.92862,0.00226194,0.607314,2.37674,0,0,0,0,0.360897,-0.0836809
0.0407671,-0.0884528,1.92862,0.00339291,0.60786,2.37694,0,0,0,0,0.450592,-0.0836882
0.0405247,-0.0882248,1.93306,0.00452387,0.608404,2.37715,0,0,0,0,0.449533,-0.0837036
0.0405247,-0.0882248,1.93306,0.00565483,0.608948,2.37735,0,0,0,0,0.448475,-0.0837216
0.0403761,-0.0880596,1.93562,0.00678577,0.609488,2.37755,0,0,0,0,0.447388,-0.0837353
0.0403761,-0.0880596,1.93562,0.00791671,0.610029,2.37776,0,0,0,0,0.446301,-0.0837445
0.0403761,-0.0880596,1.93562,0.00904763,0.610567,2.37796,0,0,0,0,0.445217,-0.0837544
0.0401253,-0.0877513,1.94041,0.0101785,0.611104,2.37816,0,0,0,0,0.444135,-0.0837561
0.0401253,-0.0877513,1.94041,0.0113094,0.611641,2.37836,0,0,0,0,0.443053,-0.0837669
0.0399498,-0.0874563,1.94435,0.0124403,0.612173,2.37856,0,0,0,0,0.441971,-0.0837734
0.0399498,-0.0874563,1.94435,0.0135712,0.612706,2.37877,0,0,0,0,0.440888,-0.0837836
0.0399498,-0.0874563,1.94435,0.014702,0.613237,2.37897,0,0,0,0,0.439801,-0.08379
0.0396797,-0.0868754,1.95134,0.0158328,0.613766,2.37917,0,0,0,0,0.43871,-0.0838019
0.0396797,-0.0868754,1.95134,0.0169636,0.614295,2.37937,0,0,0,0,0.437618,-0.0838019
0.0395909,-0.0866241,1.9538,0.0180943,0.614821,2.37957,0,0,0,0,0.436533,-0.0838287
0.0395909,-0.0866241,1.9538,0.0192251,0.615346,2.37977,0,0,0,0,0.435448,-0.0838287
0.0395909,-0.0866241,1.9538,0.0203558,0.615869,2.37998,0,0,0,0,0.434355,-0.0838499
0.0395909,-0.0866241,1.9538,0.0214864,0.616391,2.38018,0,0,0,0,0.433254,-0.0838499
0.0392167,-0.085309,1.96423,0.0226171,0.616912,2.38038,0,0,0,0,0.432152,-0.0838728
0.0392167,-0.085309,1.96423,0.0237477,0.61743,2.38058,0,0,0,0,0.43105,-0.0838728
0.0391194,-0.0848924,1.96704,0.0248782,0.617948,2.38078,0,0,0,0,0.429948,-0.0838853
0.0391194,-0.0848924,1.96704,0.0260087,0.618464,2.38098,0,0,0,0,0.428849,-0.0838975
0.0387295,-0.082746,1.97896,0.0271392,0.618977,2.38118,0,0,0,0,0.427752,-0.0839322
0.0387295,-0.082746,1.97896,0.0282697,0.619491,2.38138,0,0,0,0,0.426655,-0.0839322
0.0387295,-0.082746,1.97896,0.0294,0.620001,2.38158,0,0,0,0,0.42555,-0.0839508
0.0385322,-0.0813702,1.98513,0.0305304,0.620511,2.38178,0,0,0,0,0.424444,-0.0839667
0.0385322,-0.0813702,1.98513,0.0316607,0.62102,2.38198,0,0,0,0,0.423335,-0.083985
0.0385322,-0.0813702,1.98513,0.0327909,0.621526,2.38218,0,0,0,0,0.422221,-0.0840056
0.038236,-0.0789251,1.99441,0.0339212,0.622032,2.38238,0,0,0,0,0.421108,-0.0840262
0.038236,-0.0789251,1.99441,0.0350513,0.622534,2.38258,0,0,0,0,0.419985,-0.0840492
0.0381417,-0.0780285,1.99747,0.0361814,0.623037,2.38278,0,0,0,0,0.418863,-0.0840568
0.0381417,-0.0780285,1.99747,0.0373114,0.623537,2.38298,0,0,0,0,0.417747,-0.0840931
0.0378626,-0.0748043,2.00679,0.0384414,0.624036,2.38318,0,0,0,0,0.416637,-0.0841287
0.0378626,-0.0748043,2.00679,0.0395713,0.624534,2.38338,0,0,0,0,0.415527,-0.0841305
0.0378626,-0.0748043,2.00679,0.0407011,0.625029,2.38357,0,0,0,0,0.414401,-0.0841247
0.037696,-0.0723189,2.01288,0.0418309,0.625524,2.38377,0,0,0,0,0.413276,-0.0841467
0.037696,-0.0723189,2.01288,0.0429606,0.626017,2.38397,0,0,0,0,0.41215,-0.0841632
0.037696,-0.0723189,2.01288,0.0440903,0.626507,2.38417,0,0,0,0,0.411022,-0.0841864
