x,y,z,gx,gy,gz,motor0,motor1,motor2,motor3,target_yaw,yaw
-0.126974,0.102801,0.637304,0,0.34641,0.558779,0,0,0,0,0,0.0578972
-0.126619,0.102587,0.636236,0.000628318,0.346723,0.558846,0,0,0,0,0,0.0581403
-0.126619,0.102587,0.636236,0.00125664,0.347036,0.558914,0,0,0,0,0,0.0582443
-0.126619,0.102587,0.636236,0.00188495,0.347348,0.558982,0,0,0,0,0,0.0585009
-0.12622,0.102344,0.635021,0.00251326,0.347659,0.559049,0,0,0,0,0,0.0586444
-0.12622,0.102344,0.635021,0.00314157,0.34797,0.559117,0,0,0,0,0,0.0589285
-0.125826,0.102094,0.63374,0.00376987,0.348279,0.559184,0,0,0,0,0,0.0592564
-0.125826,0.102094,0.63374,0.00439817,0.348588,0.559252,0,0,0,0,0,0.0594313
-0.125826,0.102094,0.63374,0.00502646,0.348896,0.559319,0,0,0,0,0,0.0598127
-0.125406,0.101887,0.632442,0.00565474,0.349202,0.559387,0,0,0,0,0,0.0600067
-0.125406,0.101887,0.632442,0.00628302,0.349509,0.559454,0,0,0,0,0,0.0604414
-0.124968,0.101744,0.631178,0.00691128,0.349813,0.559521,0,0,0,0,0,0.0609163
-0.124968,0.101744,0.631178,0.00753953,0.350118,0.559589,0,0,0,0,0,0.0611355
-0.124968,0.101744,0.631178,0.00816777,0.350421,0.559656,0,0,0,0,0,0.0616596
-0.124474,0.101681,0.630081,0.008796,0.350724,0.559723,0,0,0,0,0,0.0619535
-0.124474,0.101681,0.630081,0.00942422,0.351026,0.55979,0,0,0,0,0,0.0624718
-0.123894,0.101661,0.629233,0.0100524,0.351326,0.559858,0,0,0,0,0,0.0630373
-0.123894,0.101661,0.629233,0.0106806,0.351626,0.559925,0,0,0,0,0,0.0632606
-0.123894,0.101661,0.629233,0.0113088,0.351925,0.559992,0,0,0,0,0,0.0637566
-0.123242,0.101681,0.628691,0.0119369,0.352223,0.560059,0,0,0,0,0,0.0640062
-0.123242,0.101681,0.628691,0.012565,0.352521,0.560126,0,0,0,0,0,0.0644555
-0.122552,0.101767,0.628507,0.0131931,0.352817,0.560193,0,0,0,0,0,0.0649379
-0.122552,0.101767,0.628507,0.0138212,0.353113,0.56026,0,0,0,0,0,0.065169
-0.122552,0.101767,0.628507,0.0144493,0.353408,0.560326,0,0,0,0,0,0.0656425
-0.121761,0.101906,0.628668,0.0150773,0.353701,0.560393,0,0,0,0,0,0.0658765
-0.121761,0.101906,0.628668,0.0157054,0.353995,0.56046,0,0,0,0,0,0.066305
-0.120887,0.102083,0.629086,0.0163334,0.354287,0.560527,0,0,0,0,0,0.0667204
-0.120887,0.102083,0.629086,0.0169613,0.354578,0.560593,0,0,0,0,0,0.0669323
-0.120887,0.102083,0.629086,0.0175893,0.354868,0.56066,0,0,0,0,0,0.0673324
-0.119948,0.102331,0.629745,0.0182172,0.355158,0.560726,0,0,0,0,0,0.0675047
-0.119948,0.102331,0.629745,0.0188451,0.355447,0.560793,0,0,0,0,0,0.0678936
-0.118853,0.102733,0.630614,0.0194729,0.355734,0.56086,0,0,0,0,0,0.0682969
-0.118853,0.102733,0.630614,0.0201008,0.356021,0.560926,0,0,0,0,0,0.0684932
-0.118853,0.102733,0.630614,0.0207286,0.356307,0.560992,0,0,0,0,0,0.0688858
-0.117695,0.103288,0.631674,0.0213563,0.356592,0.561059,0,0,0,0,0,0.0690683
-0.117695,0.103288,0.631674,0.0219841,0.356877,0.561125,0,0,0,0,0,0.0694448
-0.116453,0.103995,0.63293,0.0226117,0.357159,0.561191,0,0,0,0,0,0.0698245
-0.116453,0.103995,0.63293,0.0232394,0.357442,0.561258,0,0,0,0,0,0.0700154
-0.116453,0.103995,0.63293,0.023867,0.357724,0.561324,0,0,0,0,0,0.0703502
-0.115175,0.104848,0.634354,0.0244946,0.358004,0.56139,0,0,0,0,0,0.0705283
-0.115175,0.104848,0.634354,0.0251222,0.358285,0.561456,0,0,0,0,0,0.0708839
-0.113736,0.105881,0.635919,0.0257496,0.358563,0.561522,0,0,0,0,0,0.0712331
-0.113736,0.105881,0.635919,0.0263771,0.358841,0.561588,0,0,0,0,0,0.0714049
-0.113736,0.105881,0.635919,0.0270045,0.359118,0.561654,0,0,0,0,0,0.0717296
-0.112144,0.10708,0.637593,0.0276319,0.359394,0.56172,0,0,0,0,0,0.0718563
-0.112144,0.10708,0.637593,0.0282593,0.359671,0.561786,0,0,0,0,0,0.0721418
-0.110442,0.108433,0.639322,0.0288865,0.359944,0.561852,0,0,0,0,0,0.0724191
-0.110442,0.108433,0.639322,0.0295138,0.360218,0.561918,0,0,0,0,0,0.07257
-0.110442,0.108433,0.639322,0.030141,0.360491,0.561983,0,0,0,0,0,0.072775
-0.108647,0.109938,0.641051,0.0307681,0.360763,0.562049,0,0,0,0,0,0.0728407
-0.108647,0.109938,0.641051,0.0313953,0.361034,0.562115,0,0,0,0,0,0.0730095
-0.106698,0.111654,0.642729,0.0320223,0.361304,0.56218,0,0,0,0,0,0.0731794
-0.106698,0.111654,0.642729,0.0326493,0.361573,0.562246,0,0,0,0,0,0.0732466
-0.106698,0.111654,0.642729,0.0332762,0.361841,0.562312,0,0,0,0,0,0.0733895
-0.104662,0.113545,0.64431,0.0339031,0.362108,0.562377,0,0,0,0,0,0.0734508
-0.104662,0.113545,0.64431,0.03453,0.362375,0.562442,0,0,0,0,0,0.0735568
-0.102465,0.115659,0.645748,0.0351568,0.36264,0.562508,0,0,0,0,0,0.0736257
-0.102465,0.115659,0.645748,0.0357835,0.362905,0.562573,0,0,0,0,0,0.0736771
-0.102465,0.115659,0.645748,0.0364102,0.363169,0.562639,0,0,0,0,0,0.0737031
-0.100135,0.117981,0.647097,0.0370368,0.363432,0.562704,0,0,0,0,0,0.0736938
-0.100135,0.117981,0.647097,0.0376634,0.363694,0.562769,0,0,0,0,0,0.0736299
-0.0975682,0.120646,0.648467,0.0382899,0.363955,0.562834,0,0,0,0,0,0.0734931
-0.0975682,0.120646,0.648467,0.0389163,0.364215,0.562899,0,0,0,0,0,0.0733995
-0.0975682,0.120646,0.648467,0.0395427,0.364475,0.562965,0,0,0,0,0,0.0730924
-0.0948385,0.123656,0.649938,0.040169,0.364733,0.56303,0,0,0,0,0,0.0729672
-0.0948385,0.123656,0.649938,0.0407953,0.364991,0.563095,0,0,0,0,0,0.0726356
-0.091969,0.126966,0.651589,0.0414214,0.365247,0.56316,0,0,0,0,0,0.0721911
-0.091969,0.126966,0.651589,0.0420476,0.365503,0.563225,0,0,0,0,0,0.071946
-0.091969,0.126966,0.651589,0.0426737,0.365758,0.563289,0,0,0,0,0,0.0714444
-0.0888967,0.130489,0.653429,0.0432996,0.366011,0.563354,0,0,0,0,0,0.0711503
-0.0888967,0.130489,0.653429,0.0439256,0.366265,0.563419,0,0,0,0,0,0.0711503
-0.0856775,0.134226,0.655443,0.0445514,0.366516,0.563484,0,0,0,0,0,0.0699252
-0.0856775,0.134226,0.655443,0.0451772,0.366768,0.563549,0,0,0,0,0,0.069589
-0.0856775,0.134226,0.655443,0.0458029,0.367018,0.563613,0,0,0,0,0,0.068933
-0.0822568,0.138193,0.657698,0.0464285,0.367267,0.563678,0,0,0,0,0,0.0685949
-0.0822568,0.138193,0.657698,0.0470542,0.367516,0.563742,0,0,0,0,0,0.0679142
-0.0786813,0.142432,0.660153,0.0476796,0.367763,0.563807,0,0,0,0,0,0.0672335
-0.0786813,0.142432,0.660153,0.048305,0.36801,0.563871,0,0,0,0,0,0.0668567
-0.0786813,0.142432,0.660153,0.0489304,0.368256,0.563936,0,0,0,0,0,0.0662032
-0.0749347,0.146981,0.662726,0.0495556,0.368501,0.564,0,0,0,0,0,0.0659027
-0.0749347,0.146981,0.662726,0.0501809,0.368745,0.564065,0,0,0,0,0,0.0652284
-0.0710399,0.151862,0.665397,0.0508059,0.368988,0.564129,0,0,0,0,0,0.064545
-0.0710399,0.151862,0.665397,0.051431,0.36923,0.564193,0,0,0,0,0,0.0642017
-0.0710399,0.151862,0.665397,0.0520559,0.369471,0.564257,0,0,0,0,0,0.0635076
-0.0669851,0.157011,0.66819,0.0526807,0.369711,0.564322,0,0,0,0,0,0.0631612
-0.0669851,0.157011,0.66819,0.0533056,0.369951,0.564386,0,0,0,0,0,0.0624664
-0.0627485,0.162475,0.671032,0.0539302,0.370189,0.56445,0,0,0,0,0,0.0617534
-0.0627485,0.162475,0.671032,0.0545548,0.370427,0.564514,0,0,0,0,0,0.0614189
-0.058342,0.168193,0.673892,0.0551794,0.370664,0.564578,0,0,0,0,0,0.0614189
-0.058342,0.168193,0.673892,0.0558038,0.370899,0.564642,0,0,0,0,0,0.0603033
-0.058342,0.168193,0.673892,0.0564282,0.371135,0.564706,0,0,0,0,0,0.0595798
-0.0538669,0.174153,0.676776,0.0570524,0.371368,0.564769,0,0,0,0,0,0.058857
-0.0538669,0.174153,0.676776,0.0576766,0.371601,0.564833,0,0,0,0,0,0.0585221
-0.0538669,0.174153,0.676776,0.0583007,0.371833,0.564897,0,0,0,0,0,0.057755
-0.0492212,0.180283,0.679726,0.0589246,0.372064,0.564961,0,0,0,0,0,0.0573511
-0.0492212,0.180283,0.679726,0.0595486,0.372295,0.565024,0,0,0,0,0,0.056606
-0.0445052,0.186568,0.68266,0.0601723,0.372523,0.565088,0,0,0,0,0,0.0558301
-0.0445052,0.186568,0.68266,0.060796,0.372752,0.565152,0,0,0,0,0,0.0554553
-0.0445052,0.186568,0.68266,0.0614197,0.37298,0.565215,0,0,0,0,0,0.0546613
-0.0396283,0.193061,0.685578,0.0620431,0.373206,0.565279,0,0,0,0,0,0.0542842
-0.0396283,0.193061,0.685578,0.0626666,0.373432,0.565342,0,0,0,0,0,0.0535151
-0.0347018,0.199739,0.688419,0.0632899,0.373656,0.565405,0,0,0,0,0,0.0527662
-0.0347018,0.199739,0.688419,0.0639131,0.37388,0.565469,0,0,0,0,0,0.052372
-0.0347018,0.199739,0.688419,0.0645362,0.374103,0.565532,0,0,0,0,0,0.0516066
-0.0296319,0.206617,0.691222,0.0651592,0.374325,0.565595,0,0,0,0,0,0.051252
-0.0296319,0.206617,0.691222,0.0657822,0.374546,0.565659,0,0,0,0,0,0.0504825
-0.0245306,0.213642,0.693988,0.0664049,0.374766,0.565722,0,0,0,0,0,0.0497137
-0.0245306,0.213642,0.693988,0.0670276,0.374985,0.565785,0,0,0,0,0,0.0492998
-0.0245306,0.213642,0.693988,0.0676502,0.375204,0.565848,0,0,0,0,0,0.0485149
-0.0193717,0.220767,0.696728,0.0682727,0.375421,0.565911,0,0,0,0,0,0.0481402
-0.0193717,0.220767,0.696728,0.0688952,0.375638,0.565974,0,0,0,0,0,0.0473117
-0.0141318,0.228033,0.6994,0.0695173,0.375853,0.566037,0,0,0,0,0,0.0464501
-0.0141318,0.228033,0.6994,0.0701395,0.376067,0.5661,0,0,0,0,0,0.0459759
-0.0141318,0.228033,0.6994,0.0707616,0.376281,0.566163,0,0,0,0,0,0.0450729
-0.00880826,0.235445,0.702042,0.0713835,0.376493,0.566225,0,0,0,0,0,0.0446273
-0.00880826,0.235445,0.702042,0.0720054,0.376706,0.566288,0,0,0,0,0,0.0437374
-0.00346401,0.242896,0.704647,0.072627,0.376916,0.566351,0,0,0,0,0,0.0428326
-0.00346401,0.242896,0.704647,0.0732486,0.377126,0.566413,0,0,0,0,0,0.0423817
-0.00346401,0.242896,0.704647,0.0738701,0.377335,0.566476,0,0,0,0,0,0.0414724
0.00193789,0.250398,0.707239,0.0744915,0.377543,0.566539,0,0,0,0,0,0.0410111
0.00193789,0.250398,0.707239,0.0751128,0.377751,0.566601,0,0,0,0,0,0.0400992
0.00731789,0.257908,0.709783,0.0757338,0.377956,0.566664,0,0,0,0,0,0.0391769
0.00731789,0.257908,0.709783,0.0763549,0.378161,0.566726,0,0,0,0,0,0.0386994
0.00731789,0.257908,0.709783,0.0769758,0.378366,0.566788,0,0,0,0,0,0.0377593
0.0127844,0.265476,0.712273,0.0775965,0.378569,0.566851,0,0,0,0,0,0.0372905
0.0127844,0.265476,0.712273,0.0782172,0.378772,0.566913,0,0,0,0,0,0.0363458
0.0182237,0.273059,0.714681,0.0788377,0.378973,0.566975,0,0,0,0,0,0.0353944
0.0182237,0.273059,0.714681,0.0794581,0.379174,0.567037,0,0,0,0,0,0.0349183
0.0182237,0.273059,0.714681,0.0800784,0.379373,0.5671,0,0,0,0,0,0.0339848
0.0236784,0.280643,0.717021,0.0806985,0.379572,0.567162,0,0,0,0,0,0.0335388
0.0236784,0.280643,0.717021,0.0813186,0.37977,0.567224,0,0,0,0,0,0.0326371
0.0290369,0.288148,0.719286,0.0819384,0.379966,0.567286,0,0,0,0,0,0.031758
0.0290369,0.288148,0.719286,0.0825582,0.380162,0.567348,0,0,0,0,0,0.031328
0.0290369,0.288148,0.719286,0.0831778,0.380357,0.56741,0,0,0,0,0,0.0304925
0.0343501,0.295631,0.721465,0.0837973,0.380551,0.567471,0,0,0,0,0,0.0300588
0.0343501,0.295631,0.721465,0.0844167,0.380745,0.567533,0,0,0,0,0,0.0292285
0.0395919,0.30302,0.723551,0.0850359,0.380936,0.567595,0,0,0,0,0,0.0284194
0.0395919,0.30302,0.723551,0.085655,0.381128,0.567657,0,0,0,0,0,0.0280451
0.0395919,0.30302,0.723551,0.086274,0.381318,0.567718,0,0,0,0,0,0.0272649
0.0448047,0.310333,0.725572,0.0868928,0.381507,0.56778,0,0,0,0,0,0.0268478
0.0448047,0.310333,0.725572,0.0875115,0.381696,0.567842,0,0,0,0,0,0.0260724
0.0499914,0.317509,0.727549,0.08813,0.381883,0.567903,0,0,0,0,0,0.0253329
0.0499914,0.317509,0.727549,0.0887484,0.38207,0.567965,0,0,0,0,0,0.0249994
0.0499914,0.317509,0.727549,0.0893667,0.382255,0.568026,0,0,0,0,0,0.0242648
0.0550819,0.324529,0.729508,0.0899848,0.382439,0.568087,0,0,0,0,0,0.0238623
0.0550819,0.324529,0.729508,0.0906029,0.382624,0.568149,0,0,0,0,0,0.0231152
0.0600272,0.331386,0.731424,0.0912206,0.382806,0.56821,0,0,0,0,0,0.0223696
0.0600272,0.331386,0.731424,0.0918384,0.382988,0.568271,0,0,0,0,0,0.0220097
0.0600272,0.331386,0.731424,0.0924559,0.383169,0.568332,0,0,0,0,0,0.0212686
0.0649138,0.338111,0.733343,0.0930733,0.383348,0.568394,0,0,0,0,0,0.0208827
0.0649138,0.338111,0.733343,0.0936907,0.383528,0.568455,0,0,0,0,0,0.0201434
0.0696846,0.34464,0.735278,0.0943077,0.383705,0.568516,0,0,0,0,0,0.019406
0.0696846,0.34464,0.735278,0.0949247,0.383882,0.568577,0,0,0,0,0,0.0190635
0.0696846,0.34464,0.735278,0.0955415,0.384059,0.568638,0,0,0,0,0,0.0183327
0.0743513,0.350982,0.737215,0.0961581,0.384233,0.568699,0,0,0,0,0,0.0179275
0.0743513,0.350982,0.737215,0.0967747,0.384408,0.568759,0,0,0,0,0,0.0171988
0.0788696,0.357072,0.739135,0.097391,0.384581,0.56882,0,0,0,0,0,0.0164571
0.0788696,0.357072,0.739135,0.0980072,0.384753,0.568881,0,0,0,0,0,0.0161412
0.0788696,0.357072,0.739135,0.0986233,0.384925,0.568942,0,0,0,0,0,0.0154358
0.0832561,0.362946,0.741012,0.0992391,0.385095,0.569002,0,0,0,0,0,0.0150435
0.0832561,0.362946,0.741012,0.099855,0.385265,0.569063,0,0,0,0,0,0.014357
0.0875338,0.368574,0.74285,0.10047,0.385433,0.569124,0,0,0,0,0,0.0136732
0.0875338,0.368574,0.74285,0.101086,0.385601,0.569184,0,0,0,0,0,0.0133907
0.0875338,0.368574,0.74285,0.101701,0.385767,0.569245,0,0,0,0,0,0.0127386
0.0916895,0.373932,0.744672,0.102316,0.385933,0.569305,0,0,0,0,0,0.0123622
0.0916895,0.373932,0.744672,0.102931,0.386098,0.569365,0,0,0,0,0,0.0117126
0.0956823,0.379041,0.746474,0.103546,0.386261,0.569426,0,0,0,0,0,0.0110784
0.0956823,0.379041,0.746474,0.104161,0.386424,0.569486,0,0,0,0,0,0.0108031
0.0956823,0.379041,0.746474,0.104775,0.386586,0.569546,0,0,0,0,0,0.0101915
0.0994862,0.383857,0.748269,0.105389,0.386746,0.569606,0,0,0,0,0,0.00986372
0.0994862,0.383857,0.748269,0.106004,0.386907,0.569666,0,0,0,0,0,0.00932226
0.103088,0.388366,0.750046,0.106617,0.387065,0.569726,0,0,0,0,0,0.00879595
0.103088,0.388366,0.750046,0.107231,0.387224,0.569786,0,0,0,0,0,0.00856263
0.103088,0.388366,0.750046,0.107845,0.387381,0.569846,0,0,0,0,0,0.0080847
0.106541,0.392585,0.75181,0.108458,0.387537,0.569906,0,0,0,0,0,0.00783661
0.106541,0.392585,0.75181,0.109072,0.387692,0.569966,0,0,0,0,0,0.00741313
0.109841,0.396494,0.753567,0.109685,0.387846,0.570026,0,0,0,0,0,0.00702776
0.109841,0.396494,0.753567,0.110298,0.387999,0.570086,0,0,0,0,0,0.00687023
0.109841,0.396494,0.753567,0.11091,0.388152,0.570146,0,0,0,0,0,0.00655152
0.112974,0.400109,0.755311,0.111523,0.388303,0.570205,0,0,0,0,0,0.00636616
0.112974,0.400109,0.755311,0.112135,0.388454,0.570265,0,0,0,0,0,0.00636616
0.11594,0.403407,0.75704,0.112747,0.388602,0.570325,0,0,0,0,0,0.00582051
0.11594,0.403407,0.75704,0.11336,0.388751,0.570384,0,0,0,0,0,0.00582051
0.11594,0.403407,0.75704,0.113971,0.388899,0.570444,0,0,0,0,0,0.00553864
0.118752,0.406401,0.758741,0.114583,0.389045,0.570503,0,0,0,0,0,0.00538874
0.118752,0.406401,0.758741,0.115195,0.389191,0.570562,0,0,0,0,0,0.00519672
0.121393,0.409077,0.760417,0.115806,0.389335,0.570622,0,0,0,0,0,0.00502948
0.121393,0.409077,0.760417,0.116417,0.389479,0.570681,0,0,0,0,0,0.00500835
0.121393,0.409077,0.760417,0.117028,0.389622,0.57074,0,0,0,0,0,0.00485894
