x,y,z,gx,gy,gz,motor0,motor1,motor2,motor3,target_yaw,yaw
0.120227,-0.116477,0.650471,0,0.34641,0.558779,0,0,0,0,0,-0.0243471
0.1196,-0.116063,0.649419,0.000628318,0.346723,0.558846,0,0,0,0,0.184909,-0.0246003
0.1196,-0.116063,0.649419,0.00125664,0.347036,0.558914,0,0,0,0,0.369818,-0.024717
0.1196,-0.116063,0.649419,0.00188495,0.347348,0.558982,0,0,0,0,0.461731,-0.0249739
0.118971,-0.115643,0.648288,0.00251326,0.347659,0.559049,0,0,0,0,0.460649,-0.0252499
0.118971,-0.115643,0.648288,0.00314157,0.34797,0.559117,0,0,0,0,0.459567,-0.0254016
0.118294,-0.115204,0.647224,0.00376987,0.348279,0.559184,0,0,0,0,0.458465,-0.0256438
0.118294,-0.115204,0.647224,0.00439817,0.348588,0.559252,0,0,0,0,0.457364,-0.0257464
0.118294,-0.115204,0.647224,0.00502646,0.348896,0.559319,0,0,0,0,0.456264,-0.0259592
0.117578,-0.114703,0.646331,0.00565474,0.349202,0.559387,0,0,0,0,0.455167,-0.0261444
0.117578,-0.114703,0.646331,0.00628302,0.349509,0.559454,0,0,0,0,0.45407,-0.0262241
0.116818,-0.114133,0.645679,0.00691128,0.349813,0.559521,0,0,0,0,0.452959,-0.0263439
0.116818,-0.114133,0.645679,0.00753953,0.350118,0.559589,0,0,0,0,0.451848,-0.0264
0.116818,-0.114133,0.645679,0.00816777,0.350421,0.559656,0,0,0,0,0.450743,-0.0264549
0.116036,-0.113488,0.645257,0.008796,0.350724,0.559723,0,0,0,0,0.449643,-0.0265049
0.116036,-0.113488,0.645257,0.00942422,0.351026,0.55979,0,0,0,0,0.448542,-0.026524
0.115225,-0.11276,0.645136,0.0100524,0.351326,0.559858,0,0,0,0,0.447429,-0.0265421
0.115225,-0.11276,0.645136,0.0106806,0.351626,0.559925,0,0,0,0,0.446315,-0.0265463
0.115225,-0.11276,0.645136,0.0113088,0.351925,0.559992,0,0,0,0,0.4452,-0.0265362
0.114354,-0.111957,0.645348,0.0119369,0.352223,0.560059,0,0,0,0,0.444084,-0.0265211
0.114354,-0.111957,0.645348,0.012565,0.352521,0.560126,0,0,0,0,0.442969,-0.0265215
0.11344,-0.111048,0.645924,0.0131931,0.352817,0.560193,0,0,0,0,0.441852,-0.0264929
0.11344,-0.111048,0.645924,0.0138212,0.353113,0.56026,0,0,0,0,0.440735,-0.0264801
0.11344,-0.111048,0.645924,0.0144493,0.353408,0.560326,0,0,0,0,0.439611,-0.0264419
0.112481,-0.110017,0.646794,0.0150773,0.353701,0.560393,0,0,0,0,0.43848,-0.0263905
0.112481,-0.110017,0.646794,0.0157054,0.353995,0.56046,0,0,0,0,0.437348,-0.0263586
0.111479,-0.108867,0.647961,0.0163334,0.354287,0.560527,0,0,0,0,0.436228,-0.0262821
0.111479,-0.108867,0.647961,0.0169613,0.354578,0.560593,0,0,0,0,0.435107,-0.0262657
0.111479,-0.108867,0.647961,0.0175893,0.354868,0.56066,0,0,0,0,0.43398,-0.0261982
0.110467,-0.107578,0.649378,0.0182172,0.355158,0.560726,0,0,0,0,0.432846,-0.0261362
0.110467,-0.107578,0.649378,0.0188451,0.355447,0.560793,0,0,0,0,0.431711,-0.0260881
0.109439,-0.106156,0.651004,0.0194729,0.355734,0.56086,0,0,0,0,0.430575,-0.0260267
0.109439,-0.106156,0.651004,0.0201008,0.356021,0.560926,0,0,0,0,0.429438,-0.0260096
0.109439,-0.106156,0.651004,0.0207286,0.356307,0.560992,0,0,0,0,0.428301,-0.0259548
0.108409,-0.104552,0.652765,0.0213563,0.356592,0.561059,0,0,0,0,0.427163,-0.0259113
0.108409,-0.104552,0.652765,0.0219841,0.356877,0.561125,0,0,0,0,0.426025,-0.0258821
0.107388,-0.102777,0.65464,0.0226117,0.357159,0.561191,0,0,0,0,0.424879,-0.0258611
0.107388,-0.102777,0.65464,0.0232394,0.357442,0.561258,0,0,0,0,0.423733,-0.0258564
0.107388,-0.102777,0.65464,0.023867,0.357724,0.561324,0,0,0,0,0.422586,-0.0258373
0.106378,-0.10084,0.656567,0.0244946,0.358004,0.56139,0,0,0,0,0.421438,-0.0258325
0.106378,-0.10084,0.656567,0.0251222,0.358285,0.561456,0,0,0,0,0.42029,-0.0258275
0.106378,-0.10084,0.656567,0.0257496,0.358563,0.561522,0,0,0,0,0.41914,-0.0258428
0.105377,-0.0987578,0.658559,0.0263771,0.358841,0.561588,0,0,0,0,0.417991,-0.025873
0.105377,-0.0987578,0.658559,0.0270045,0.359118,0.561654,0,0,0,0,0.416837,-0.0258976
0.1044,-0.0965276,0.660556,0.0276319,0.359394,0.56172,0,0,0,0,0.415679,-0.0259378
0.1044,-0.0965276,0.660556,0.0282593,0.359671,0.561786,0,0,0,0,0.414522,-0.0259236
0.103461,-0.0941327,0.662546,0.0288865,0.359944,0.561852,0,0,0,0,0.413361,-0.0259662
0.103461,-0.0941327,0.662546,0.0295138,0.360218,0.561918,0,0,0,0,0.412201,-0.0260344
0.103461,-0.0941327,0.662546,0.030141,0.360491,0.561983,0,0,0,0,0.411037,-0.0260874
0.102557,-0.0915635,0.664516,0.0307681,0.360763,0.562049,0,0,0,0,0.40987,-0.0261418
0.102557,-0.0915635,0.664516,0.0313953,0.361034,0.562115,0,0,0,0,0.408702,-0.026125
0.10168,-0.088826,0.666502,0.0320223,0.361304,0.56218,0,0,0,0,0.407538,-0.0261954
0.10168,-0.088826,0.666502,0.0326493,0.361573,0.562246,0,0,0,0,0.406373,-0.0262844
0.10168,-0.088826,0.666502,0.0332762,0.361841,0.562312,0,0,0,0,0.405202,-0.0263796
