x,y,z,gx,gy,gz,motor0,motor1,motor2,motor3,target_yaw,yaw
0.0153978,0.0148365,1.92226,0,0,2.2,0,0,0,0,0,-0.02772
0.0151358,0.0150308,1.92514,-0.00079971,0.00239914,2.20038,0,0,0,0,0,-0.027759
0.0151358,0.0150308,1.92514,-0.00159942,0.00479829,2.20075,0,0,0,0,0,-0.0277775
0.0151358,0.0150308,1.92514,-0.0023991,0.0071974,2.20113,0,0,0,0,0,-0.0277913
0.0149353,0.0151821,1.92704,-0.00319876,0.00959647,2.20151,0,0,0,0,0,-0.0278146
0.0149353,0.0151821,1.92704,-0.00399841,0.0119955,2.20188,0,0,0,0,0,-0.02786
0.0146174,0.0154129,1.93023,-0.00479796,0.0143945,2.20226,0,0,0,0,0,-0.0278785
0.0146174,0.0154129,1.93023,-0.0055975,0.0167934,2.20264,0,0,0,0,0,-0.0278785
0.0146174,0.0154129,1.93023,-0.00639696,0.0191922,2.20302,0,0,0,0,0,-0.0279322
0.0142655,0.0156704,1.93415,-0.00719634,0.021591,2.20339,0,0,0,0,0,-0.0279624
0.0142655,0.0156704,1.93415,-0.00799572,0.0239897,2.20377,0,0,0,0,0,-0.027991
0.0142655,0.0156704,1.93415,-0.00879487,0.0263881,2.20415,0,0,0,0,0,-0.0280052
0.0139755,0.0158794,1.93728,-0.00959403,0.0287865,2.20452,0,0,0,0,0,-0.0280401
0.0139755,0.0158794,1.93728,-0.0103931,0.0311848,2.2049,0,0,0,0,0,-0.0280555
0.0135031,0.0161767,1.94293,-0.0111919,0.0335829,2.20528,0,0,0,0,0,-0.0280738
0.0135031,0.0161767,1.94293,-0.0119908,0.035981,2.20565,0,0,0,0,0,-0.0281073
0.0135031,0.0161767,1.94293,-0.0127894,0.0383786,2.20603,0,0,0,0,0,-0.0281172
0.0131512,0.0163718,1.94729,-0.0135879,0.0407763,2.20641,0,0,0,0,0,-0.0281343
0.0131512,0.0163718,1.94729,-0.0143863,0.0431737,2.20679,0,0,0,0,0,-0.0281352
0.0127726,0.0165729,1.9521,-0.0151844,0.0455708,2.20716,0,0,0,0,0,-0.0281343
0.0127726,0.0165729,1.9521,-0.0159826,0.047968,2.20754,0,0,0,0,0,-0.0281307
0.0127726,0.0165729,1.9521,-0.0167803,0.0503646,2.20792,0,0,0,0,0,-0.0281241
0.0121588,0.0168831,1.96005,-0.017578,0.0527612,2.20829,0,0,0,0,0,-0.0281231
0.0121588,0.0168831,1.96005,-0.0183755,0.0551574,2.20867,0,0,0,0,0,-0.0281127
0.0115144,0.0172079,1.9688,-0.0191727,0.0575534,2.20905,0,0,0,0,0,-0.0280976
