x,y,z,gx,gy,gz,motor0,motor1,motor2,motor3,target_yaw,yaw
0.0329187,0.0764628,0.726189,0,0,3,0,0,0,0,1.10715,0.0275636
0.0329187,0.0764628,0.726189,0.00188496,0.00376991,3.00063,0,0,0,0,1.10715,0.0275327
0.0332672,0.0766479,0.728404,0.00376991,0.00753979,3.00126,0,0,0,0,1.10714,0.0274996
0.0332672,0.0766479,0.728404,0.00565485,0.0113096,3.00188,0,0,0,0,1.10714,0.0274795
0.0332672,0.0766479,0.728404,0.00753979,0.0150794,3.00251,0,0,0,0,1.10713,0.0274478
0.033783,0.0768636,0.731722,0.00942472,0.0188491,3.00314,0,0,0,0,1.10713,0.0274089
0.033783,0.0768636,0.731722,0.0113096,0.0226186,3.00377,0,0,0,0,1.10711,0.0273828
0.0341254,0.076942,0.734378,0.0131945,0.026388,3.0044,0,0,0,0,1.1071,0.0273352
0.0341254,0.076942,0.734378,0.0150794,0.0301573,3.00503,0,0,0,0,1.10709,0.0272908
0.034641,0.0769655,0.739489,0.0169642,0.0339263,3.00565,0,0,0,0,1.10707,0.0272549
0.034641,0.0769655,0.739489,0.0188491,0.0376951,3.00628,0,0,0,0,1.10705,0.0272341
0.0349762,0.0769355,0.74383,0.0207339,0.0414637,3.00691,0,0,0,0,1.10703,0.0271945
0.0349762,0.0769355,0.74383,0.0226186,0.0452321,3.00754,0,0,0,0,1.10701,0.0271171
0.0349762,0.0769355,0.74383,0.0245033,0.0490001,3.00817,0,0,0,0,1.10699,0.027061
0.0354629,0.0767548,0.751639,0.026388,0.0527679,3.0088,0,0,0,0,1.10696,0.0270342
0.0354629,0.0767548,0.751639,0.0282727,0.0565353,3.00942,0,0,0,0,1.10694,0.0269496
0.0354629,0.0767548,0.751639,0.0301573,0.0603023,3.01005,0,0,0,0,1.10691,0.0269496
0.0357682,0.0765845,0.757837,0.0320418,0.064069,3.01068,0,0,0,0,1.10687,0.0268854
0.0362029,0.0762676,0.768212,0.0339263,0.0678353,3.01131,0,0,0,0,1.10684,0.0266765
0.0362029,0.0762676,0.768212,0.0358107,0.0716011,3.01194,0,0,0,0,1.10681,0.0266369
0.0364567,0.0759963,0.776337,0.0376951,0.0753665,3.01257,0,0,0,0,1.10677,0.026518
0.0364567,0.0759963,0.776337,0.0395795,0.0791314,3.01319,0,0,0,0,1.10673,0.0264367
0.036827,0.0755718,0.789807,0.0414637,0.0828958,3.01382,0,0,0,0,1.10669,0.0263859
0.036827,0.0755718,0.789807,0.0433479,0.0866597,3.01445,0,0,0,0,1.10665,0.0262846
0.036827,0.0755718,0.789807,0.0452321,0.090423,3.01508,0,0,0,0,1.1066,0.0261778
0.0370444,0.0752493,0.799568,0.0471161,0.0941858,3.01571,0,0,0,0,1.10656,0.026023
0.0373602,0.074739,0.815289,0.0490001,0.097948,3.01633,0,0,0,0,1.10651,0.0258626
0.0373602,0.074739,0.815289,0.050884,0.10171,3.01696,0,0,0,0,1.10646,0.0256764
0.0373602,0.074739,0.815289,0.0527679,0.10547,3.01759,0,0,0,0,1.1064,0.0255524
0.0375605,0.074371,0.826439,0.0546516,0.109231,3.01822,0,0,0,0,1.10635,0.0254909
0.0375605,0.074371,0.826439,0.0565353,0.11299,3.01885,0,0,0,0,1.10629,0.0252968
0.0375605,0.074371,0.826439,0.0584188,0.116749,3.01947,0,0,0,0,1.10624,0.0251626
0.0378569,0.0737762,0.843921,0.0603023,0.120507,3.0201,0,0,0,0,1.10618,0.0250934
0.0378569,0.0737762,0.843921,0.0621857,0.124264,3.02073,0,0,0,0,1.10611,0.0248863
0.0380543,0.073372,0.856069,0.064069,0.128021,3.02136,0,0,0,0,1.10605,0.0247366
0.0380543,0.073372,0.856069,0.0659522,0.131777,3.02198,0,0,0,0,1.10599,0.0245836
0.0380543,0.073372,0.856069,0.0678353,0.135532,3.02261,0,0,0,0,1.10592,0.0244311
0.0383854,0.0726914,0.875111,0.0697182,0.139286,3.02324,0,0,0,0,1.10585,0.0242765
0.0383854,0.0726914,0.875111,0.0716011,0.143039,3.02387,0,0,0,0,1.10578,0.0241992
0.0386316,0.0722298,0.888302,0.0734838,0.146791,3.02449,0,0,0,0,1.1057,0.0239544
0.0386316,0.0722298,0.888302,0.0753665,0.150543,3.02512,0,0,0,0,1.10563,0.0237844
0.0386316,0.0722298,0.888302,0.077249,0.154293,3.02575,0,0,0,0,1.10555,0.0236168
0.0390367,0.0715308,0.909006,0.0791314,0.158042,3.02638,0,0,0,0,1.10547,0.0235349
0.0390367,0.0715308,0.909006,0.0810136,0.161791,3.027,0,0,0,0,1.10539,0.0232811
0.0393246,0.0710523,0.923074,0.0828958,0.165538,3.02763,0,0,0,0,1.10531,0.0231973
0.0393246,0.0710523,0.923074,0.0847778,0.169285,3.02826,0,0,0,0,1.10522,0.0230218
0.0393246,0.0710523,0.923074,0.0866597,0.17303,3.02889,0,0,0,0,1.10514,0.0227543
0.0397832,0.0703523,0.944125,0.0885414,0.176774,3.02951,0,0,0,0,1.10505,0.022578
0.0397832,0.0703523,0.944125,0.090423,0.180517,3.03014,0,0,0,0,1.10496,0.0223962
0.0401163,0.069891,0.958413,0.0923045,0.184259,3.03077,0,0,0,0,1.10486,0.0222151
0.0401163,0.069891,0.958413,0.0941858,0.188,3.0314,0,0,0,0,1.10477,0.0220387
0.0401163,0.069891,0.958413,0.0960669,0.191739,3.03202,0,0,0,0,1.10467,0.0219483
