x,y,z,gx,gy,gz,motor0,motor1,motor2,motor3,target_yaw,yaw
0.0408372,0.0265901,0.724147,0,0,3,0,0,0,0,1.10715,0.0921776
0.0407727,0.025785,0.726155,0.00188496,0.00376991,3.00063,0,0,0,0,1.10715,0.0921779
0.0407727,0.025785,0.726155,0.00376991,0.00753979,3.00126,0,0,0,0,1.10714,0.0921822
0.0407727,0.025785,0.726155,0.00565485,0.0113096,3.00188,0,0,0,0,1.10714,0.0921848
0.0406159,0.0241347,0.730085,0.00753979,0.0150794,3.00251,0,0,0,0,1.10713,0.0921805
0.0406159,0.0241347,0.730085,0.00942472,0.0188491,3.00314,0,0,0,0,1.10713,0.0921842
0.0405714,0.0237154,0.731157,0.0113096,0.0226186,3.00377,0,0,0,0,1.10711,0.0921831
0.0405714,0.0237154,0.731157,0.0131945,0.026388,3.0044,0,0,0,0,1.1071,0.0921874
0.0405714,0.0237154,0.731157,0.0150794,0.0301573,3.00503,0,0,0,0,1.10709,0.0921904
0.0404091,0.0224663,0.735119,0.0169642,0.0339263,3.00565,0,0,0,0,1.10707,0.0921936
0.0404091,0.0224663,0.735119,0.0188491,0.0376951,3.00628,0,0,0,0,1.10705,0.0921988
0.0402275,0.0212087,0.74072,0.0207339,0.0414637,3.00691,0,0,0,0,1.10703,0.0921975
0.0402275,0.0212087,0.74072,0.0226186,0.0452321,3.00754,0,0,0,0,1.10701,0.0921976
0.0402275,0.0212087,0.74072,0.0245033,0.0490001,3.00817,0,0,0,0,1.10699,0.0922028
0.0400847,0.020382,0.745466,0.026388,0.0527679,3.0088,0,0,0,0,1.10696,0.0921973
0.0400847,0.020382,0.745466,0.0282727,0.0565353,3.00942,0,0,0,0,1.10694,0.0921945
0.0398906,0.0191637,0.754691,0.0301573,0.0603023,3.01005,0,0,0,0,1.10691,0.0921917
0.0398906,0.0191637,0.754691,0.0320418,0.064069,3.01068,0,0,0,0,1.10687,0.0921816
0.0398906,0.0191637,0.754691,0.0339263,0.0678353,3.01131,0,0,0,0,1.10684,0.0921807
0.0397608,0.0183738,0.762741,0.0358108,0.0716011,3.01194,0,0,0,0,1.10681,0.0921851
0.0397608,0.0183738,0.762741,0.0376951,0.0753665,3.01257,0,0,0,0,1.10677,0.0921733
0.0396388,0.0176136,0.77251,0.0395795,0.0791314,3.01319,0,0,0,0,1.10673,0.0921643
0.0396388,0.0176136,0.77251,0.0414637,0.0828958,3.01382,0,0,0,0,1.10669,0.0921596
0.0396388,0.0176136,0.77251,0.0433479,0.0866597,3.01445,0,0,0,0,1.10665,0.0921449
0.0394845,0.0165322,0.79033,0.0452321,0.090423,3.01508,0,0,0,0,1.1066,0.0921318
0.0394845,0.0165322,0.79033,0.0471161,0.0941858,3.01571,0,0,0,0,1.10656,0.0921239
0.0393965,0.0158758,0.804049,0.0490001,0.097948,3.01633,0,0,0,0,1.10651,0.0921002
0.0393965,0.0158758,0.804049,0.050884,0.10171,3.01696,0,0,0,0,1.10646,0.0920727
0.0393965,0.0158758,0.804049,0.0527679,0.10547,3.01759,0,0,0,0,1.1064,0.0920493
0.0393484,0.0150205,0.827792,0.0546516,0.109231,3.01822,0,0,0,0,1.10635,0.0920265
0.0393484,0.0150205,0.827792,0.0565353,0.11299,3.01885,0,0,0,0,1.10629,0.0919999
0.0393797,0.0143732,0.854091,0.0584188,0.116749,3.01947,0,0,0,0,1.10624,0.0919682
0.0393797,0.0143732,0.854091,0.0603023,0.120507,3.0201,0,0,0,0,1.10618,0.0919377
0.0393797,0.0143732,0.854091,0.0621857,0.124264,3.02073,0,0,0,0,1.10611,0.0919097
0.0395084,0.0139691,0.883014,0.064069,0.128021,3.02136,0,0,0,0,1.10605,0.0918706
0.0395084,0.0139691,0.883014,0.0659522,0.131777,3.02198,0,0,0,0,1.10599,0.0918332
0.0396612,0.0138382,0.903347,0.0678353,0.135532,3.02261,0,0,0,0,1.10592,0.0917896
0.0396612,0.0138382,0.903347,0.0697182,0.139286,3.02324,0,0,0,0,1.10585,0.0917443
0.0396612,0.0138382,0.903347,0.0716011,0.143039,3.02387,0,0,0,0,1.10578,0.0916929
0.0398647,0.0138634,0.924465,0.0734838,0.146791,3.02449,0,0,0,0,1.1057,0.0916471
0.0398647,0.0138634,0.924465,0.0753665,0.150543,3.02512,0,0,0,0,1.10563,0.0915963
