file,n_samples,rmse_3d,mae_3d,median_3d,p95_3d,max_3d,iqr_3d,x_rmse,x_mae,x_bias,x_std,x_max_abs,x_p95_abs,x_skew,x_kurtosis,y_rmse,y_mae,y_bias,y_std,y_max_abs,y_p95_abs,y_skew,y_kurtosis,z_rmse,z_mae,z_bias,z_std,z_max_abs,z_p95_abs,z_skew,z_kurtosis,ref_span,ref_median
4,20001,0.657107,0.645568,0.644903,0.693701,2.279243,0.057995,0.038755,0.032492,-0.001154,0.038738,0.150171,0.070440,0.018577,-0.071890,0.078185,0.066991,0.024718,0.074175,0.276591,0.134917,-0.207493,-0.638852,0.651287,0.639699,-0.639699,0.122312,2.278537,0.689240,-9.183954,103.981757,0.978427,3.205732
6,20001,0.657949,0.646617,0.644664,0.705141,2.280260,0.058365,0.037385,0.030989,-0.001301,0.037362,0.127893,0.067880,0.035469,-0.214038,0.079427,0.067448,0.023290,0.075936,0.294172,0.132134,-0.237881,-0.448360,0.652066,0.640767,-0.640767,0.120863,2.279826,0.699620,-9.624472,112.108813,0.978427,3.205732
10,20001,0.658676,0.649227,0.647564,0.694980,2.274022,0.053110,0.039387,0.032935,-0.001193,0.039369,0.131005,0.069700,0.029757,-0.357146,0.074968,0.065557,0.017321,0.072939,0.236802,0.119450,-0.136954,-1.038537,0.653209,0.643732,-0.643732,0.110865,2.273689,0.690130,-10.130093,126.850132,0.978427,3.205732
2,20001,0.659113,0.650981,0.650162,0.703027,2.278687,0.044417,0.036930,0.030564,-0.000905,0.036919,0.145699,0.062912,-0.141518,-0.217428,0.078534,0.067935,0.029423,0.072814,0.216631,0.135182,-0.111739,-1.083498,0.653375,0.645185,-0.645185,0.103130,2.277687,0.696500,-10.652904,143.278660,0.978427,3.205732
7,20001,0.661289,0.650833,0.651511,0.694046,2.274553,0.051359,0.036995,0.030621,-0.001120,0.036978,0.153040,0.066790,-0.297899,0.034577,0.076598,0.065893,0.021801,0.073430,0.246354,0.128413,-0.145909,-0.941927,0.655795,0.645271,-0.645271,0.117015,2.273584,0.690780,-9.922838,118.586595,0.978427,3.205732
3,20001,0.668413,0.657253,0.658026,0.696255,2.275985,0.054072,0.037034,0.031286,-0.001193,0.037015,0.159793,0.061430,-0.231062,-0.057848,0.078577,0.067393,0.026941,0.073814,0.269899,0.134235,-0.206411,-0.727312,0.662745,0.651574,-0.651574,0.121167,2.274408,0.691800,-9.311056,105.660171,0.978427,3.205732
9,20001,0.672235,0.660764,0.659584,0.728416,2.276039,0.071305,0.039219,0.033020,-0.001136,0.039203,0.156183,0.066140,-0.245178,-0.073590,0.077250,0.066465,0.016449,0.075479,0.254294,0.126305,-0.209360,-0.832683,0.666629,0.655122,-0.655122,0.123327,2.275303,0.722960,-8.721306,97.480964,0.978427,3.205732
1,20001,0.673160,0.665103,0.661125,0.713776,2.276375,0.043764,0.036360,0.030822,-0.000754,0.036352,0.124466,0.060340,-0.285277,-0.527744,0.078533,0.066552,0.029700,0.072701,0.243180,0.136386,-0.113649,-0.876564,0.667574,0.659504,-0.659504,0.103481,2.275853,0.706980,-10.821393,146.214496,0.978427,3.205732
5,20001,0.678417,0.670905,0.673716,0.707217,2.274690,0.048228,0.037504,0.030901,-0.001049,0.037489,0.131550,0.066370,-0.072806,-0.327302,0.076433,0.065324,0.021967,0.073208,0.238587,0.129074,-0.132954,-0.984308,0.673054,0.665501,-0.665501,0.100544,2.274155,0.702130,-11.567555,162.125149,0.978427,3.205732
8,20001,0.682378,0.671819,0.669513,0.714340,2.276646,0.057512,0.037592,0.031942,-0.001233,0.037572,0.145070,0.064620,-0.132711,-0.328839,0.076367,0.066151,0.015885,0.074697,0.285140,0.123948,-0.230171,-0.656785,0.677048,0.666522,-0.666522,0.118920,2.276179,0.710060,-9.751987,113.024962,0.978427,3.205732
