x,y,z,gx,gy,gz,motor0,motor1,motor2,motor3
-0.0286396,0.000352803,2.22541,0,0,2.5,0,0,0,0
-0.0286396,0.000352803,2.22541,0.00188496,0.00376991,2.50063,0,0,0,0
-0.0286396,0.000352803,2.22541,0.00376991,0.00753979,2.50126,0,0,0,0
-0.0284433,0.000474961,2.22896,0.00565485,0.0113096,2.50188,0,0,0,0
-0.0284433,0.000474961,2.22896,0.00753979,0.0150794,2.50251,0,0,0,0
-0.0284433,0.000474961,2.22896,0.00942472,0.0188491,2.50314,0,0,0,0
-0.028299,0.000565836,2.2313,0.0113096,0.0226186,2.50377,0,0,0,0
-0.028299,0.000565836,2.2313,0.0131945,0.026388,2.5044,0,0,0,0
-0.028299,0.000565836,2.2313,0.0150794,0.0301573,2.50503,0,0,0,0
-0.0279984,0.000730851,2.23464,0.0169642,0.0339263,2.50565,0,0,0,0
-0.0279984,0.000730851,2.23464,0.0188491,0.0376951,2.50628,0,0,0,0
-0.0277847,0.000846832,2.23678,0.0207339,0.0414637,2.50691,0,0,0,0
-0.0277847,0.000846832,2.23678,0.0226186,0.0452321,2.50754,0,0,0,0
-0.0277847,0.000846832,2.23678,0.0245033,0.0490001,2.50817,0,0,0,0
-0.0273771,0.00104597,2.23985,0.026388,0.0527679,2.5088,0,0,0,0
-0.0273771,0.00104597,2.23985,0.0282727,0.0565353,2.50942,0,0,0,0
-0.0270764,0.00119409,2.24171,0.0301573,0.0603023,2.51005,0,0,0,0
-0.0270764,0.00119409,2.24171,0.0320418,0.064069,2.51068,0,0,0,0
-0.0270764,0.00119409,2.24171,0.0339263,0.0678353,2.51131,0,0,0,0
-0.0265839,0.00143824,2.24388,0.0358107,0.0716011,2.51194,0,0,0,0
-0.0265839,0.00143824,2.24388,0.0376951,0.0753665,2.51257,0,0,0,0
-0.0265839,0.00143824,2.24388,0.0395795,0.0791314,2.51319,0,0,0,0
-0.0262,0.00162383,2.24481,0.0414637,0.0828958,2.51382,0,0,0,0
-0.0262,0.00162383,2.24481,0.0433479,0.0866597,2.51445,0,0,0,0
