x,y,z,gx,gy,gz,motor0,motor1,motor2,motor3,target_yaw,yaw
-0.0810565,0.0403788,0.532294,0,0,0.5,0,0,0,0,0,1.56633
-0.0810565,0.0403788,0.532294,-0.00079971,0.00239914,0.5,0,0,0,0,0,1.56623
-0.0810565,0.0403788,0.532294,-0.00159942,0.00479829,0.5,0,0,0,0,0,1.56623
-0.0808169,0.0406467,0.532158,-0.0023991,0.0071974,0.5,0,0,0,0,0,1.566
-0.0808169,0.0406467,0.532158,-0.00319876,0.00959647,0.5,0,0,0,0,0,1.566
-0.0800785,0.0414464,0.531824,-0.00399841,0.0119955,0.5,0,0,0,0,0,1.56592
-0.0800785,0.0414464,0.531824,-0.00479796,0.0143945,0.5,0,0,0,0,0,1.56554
-0.0800785,0.0414464,0.531824,-0.0055975,0.0167934,0.5,0,0,0,0,0,1.56554
-0.0798431,0.0417382,0.531793,-0.00639696,0.0191922,0.5,0,0,0,0,0,1.56453
-0.0798431,0.0417382,0.531793,-0.00719634,0.021591,0.5,0,0,0,0,0,1.56453
-0.0798431,0.0417382,0.531793,-0.00799572,0.0239897,0.5,0,0,0,0,0,1.56415
-0.0790825,0.0426566,0.532185,-0.00879487,0.0263881,0.5,0,0,0,0,0,1.56293
-0.0790825,0.0426566,0.532185,-0.00959403,0.0287865,0.5,0,0,0,0,0,1.56293
-0.0788292,0.0429835,0.532517,-0.0103931,0.0311848,0.5,0,0,0,0,0,1.56057
-0.0788292,0.0429835,0.532517,-0.0111919,0.0335829,0.5,0,0,0,0,0,1.56057
-0.0788292,0.0429835,0.532517,-0.0119908,0.035981,0.5,0,0,0,0,0,1.55983
-0.0780842,0.0440159,0.534284,-0.0127894,0.0383786,0.5,0,0,0,0,0,1.55758
-0.0780842,0.0440159,0.534284,-0.0135879,0.0407763,0.5,0,0,0,0,0,1.55758
-0.0778292,0.0443751,0.535131,-0.0143863,0.0431737,0.5,0,0,0,0,0,1.55389
-0.0778292,0.0443751,0.535131,-0.0151844,0.0455708,0.5,0,0,0,0,0,1.55389
-0.0770175,0.0454678,0.538383,-0.0159826,0.047968,0.5,0,0,0,0,0,1.55286
-0.0770175,0.0454678,0.538383,-0.0167803,0.0503646,0.5,0,0,0,0,0,1.54963
-0.0770175,0.0454678,0.538383,-0.017578,0.0527612,0.5,0,0,0,0,0,1.54963
-0.0767347,0.045842,0.539671,-0.0183755,0.0551574,0.5,0,0,0,0,0,1.54481
-0.0767347,0.045842,0.539671,-0.0191727,0.0575534,0.5,0,0,0,0,0,1.54481
-0.0758576,0.0470847,0.54399,-0.01997,0.0599493,0.5,0,0,0,0,0,1.54358
-0.0758576,0.0470847,0.54399,-0.0207666,0.0623446,0.5,0,0,0,0,0,1.53959
-0.0758576,0.0470847,0.54399,-0.0215633,0.0647398,0.5,0,0,0,0,0,1.53959
-0.0755484,0.0475354,0.545562,-0.0223597,0.0671347,0.5,0,0,0,0,0,1.53393
-0.0755484,0.0475354,0.545562,-0.0231557,0.0695291,0.5,0,0,0,0,0,1.53393
-0.0755484,0.0475354,0.545562,-0.0239518,0.0719236,0.5,0,0,0,0,0,1.53249
-0.0745326,0.0489858,0.550614,-0.0247472,0.0743172,0.5,0,0,0,0,0,1.52791
-0.0745326,0.0489858,0.550614,-0.0255426,0.0767108,0.5,0,0,0,0,0,1.52791
-0.0741573,0.0495058,0.552389,-0.0263376,0.0791039,0.5,0,0,0,0,0,1.52156
-0.0741573,0.0495058,0.552389,-0.0271323,0.0814966,0.5,0,0,0,0,0,1.52156
-0.0729456,0.05123,0.557835,-0.027927,0.0838893,0.5,0,0,0,0,0,1.51992
-0.0729456,0.05123,0.557835,-0.0287209,0.086281,0.5,0,0,0,0,0,1.51496
-0.0729456,0.05123,0.557835,-0.0295148,0.0886727,0.5,0,0,0,0,0,1.51496
-0.0725171,0.0518649,0.559647,-0.0303083,0.0910638,0.5,0,0,0,0,0,1.50807
-0.0725171,0.0518649,0.559647,-0.0311014,0.0934545,0.5,0,0,0,0,0,1.50807
-0.0725171,0.0518649,0.559647,-0.0318945,0.0958451,0.5,0,0,0,0,0,1.50626
-0.0711607,0.0539251,0.564978,-0.0326867,0.0982346,0.5,0,0,0,0,0,1.50091
-0.0711607,0.0539251,0.564978,-0.0334789,0.100624,0.5,0,0,0,0,0,1.50091
