x,y,z,gx,gy,gz,motor0,motor1,motor2,motor3,target_yaw,yaw
-0.0709213,0.0815158,0.565505,0,0,0.5,0,0,0,0,1.10715,1.69122
-0.0709213,0.0815158,0.565505,-0.00079971,0.00239914,0.5,0,0,0,0,1.10715,1.69146
-0.0709213,0.0815158,0.565505,-0.00159942,0.00479829,0.5,0,0,0,0,1.10714,1.69146
-0.0714319,0.0813884,0.564534,-0.0023991,0.0071974,0.5,0,0,0,0,1.10714,1.69168
-0.0714319,0.0813884,0.564534,-0.00319876,0.00959647,0.5,0,0,0,0,1.10713,1.69176
-0.0719943,0.0812404,0.563572,-0.00399841,0.0119955,0.5,0,0,0,0,1.10713,1.69187
-0.0719943,0.0812404,0.563572,-0.00479796,0.0143945,0.5,0,0,0,0,1.10711,1.69194
-0.0719943,0.0812404,0.563572,-0.0055975,0.0167934,0.5,0,0,0,0,1.1071,1.69189
-0.0725935,0.0811185,0.562905,-0.00639696,0.0191922,0.5,0,0,0,0,1.10709,1.69148
-0.0725935,0.0811185,0.562905,-0.00719634,0.021591,0.5,0,0,0,0,1.10707,1.69148
-0.0732348,0.0810548,0.562744,-0.00799572,0.0239897,0.5,0,0,0,0,1.10705,1.69099
-0.0732348,0.0810548,0.562744,-0.00879487,0.0263881,0.5,0,0,0,0,1.10703,1.68999
-0.0732348,0.0810548,0.562744,-0.00959403,0.0287865,0.5,0,0,0,0,1.10701,1.68999
-0.0738318,0.0809468,0.563126,-0.0103931,0.0311848,0.5,0,0,0,0,1.10699,1.68837
-0.0738318,0.0809468,0.563126,-0.0111919,0.0335829,0.5,0,0,0,0,1.10696,1.68837
-0.0744545,0.0809016,0.564127,-0.0119908,0.035981,0.5,0,0,0,0,1.10694,1.68716
-0.0744545,0.0809016,0.564127,-0.0127894,0.0383786,0.5,0,0,0,0,1.1069,1.68498
-0.0744545,0.0809016,0.564127,-0.0135879,0.0407763,0.5,0,0,0,0,1.10687,1.68498
-0.0750744,0.080865,0.565762,-0.0143863,0.0431737,0.5,0,0,0,0,1.10684,1.68333
-0.0750744,0.080865,0.565762,-0.0151844,0.0455708,0.5,0,0,0,0,1.1068,1.68242
-0.0756915,0.0808459,0.567961,-0.0159826,0.047968,0.5,0,0,0,0,1.10677,1.68054
-0.0756915,0.0808459,0.567961,-0.0167803,0.0503646,0.5,0,0,0,0,1.10673,1.67962
-0.0756915,0.0808459,0.567961,-0.017578,0.0527612,0.5,0,0,0,0,1.10669,1.67758
-0.076389,0.080847,0.570654,-0.0183755,0.0551574,0.5,0,0,0,0,1.10665,1.67543
-0.076389,0.080847,0.570654,-0.0191727,0.0575534,0.5,0,0,0,0,1.1066,1.6743
-0.0770673,0.0808618,0.573913,-0.01997,0.0599493,0.5,0,0,0,0,1.10656,1.672
-0.0770673,0.0808618,0.573913,-0.0207666,0.0623446,0.5,0,0,0,0,1.10651,1.66827
-0.0770673,0.0808618,0.573913,-0.0215633,0.0647398,0.5,0,0,0,0,1.10646,1.66827
-0.0776598,0.0808521,0.577617,-0.0223597,0.0671347,0.5,0,0,0,0,1.1064,1.66571
-0.0776598,0.0808521,0.577617,-0.0231557,0.0695291,0.5,0,0,0,0,1.10635,1.66172
-0.0782843,0.0809219,0.581611,-0.0239518,0.0719236,0.5,0,0,0,0,1.10629,1.66172
-0.0782843,0.0809219,0.581611,-0.0247472,0.0743172,0.5,0,0,0,0,1.10624,1.66038
-0.0782843,0.0809219,0.581611,-0.0255426,0.0767108,0.5,0,0,0,0,1.10618,1.6575
-0.0789081,0.0809944,0.585816,-0.0263376,0.0791039,0.5,0,0,0,0,1.10611,1.65449
-0.0789081,0.0809944,0.585816,-0.0271323,0.0814966,0.5,0,0,0,0,1.10605,1.65301
