x,y,z,gx,gy,gz,motor0,motor1,motor2,motor3,target_yaw,yaw
-0.0772395,0.129939,0.509147,0,0,0.5,0,0,0,0,1.10715,1.61002
-0.0772395,0.129939,0.509147,-0.00079971,0.00239914,0.5,0,0,0,0,1.10715,1.60968
-0.0773063,0.129271,0.508731,-0.00159942,0.00479829,0.5,0,0,0,0,1.10714,1.60957
-0.0773063,0.129271,0.508731,-0.0023991,0.0071974,0.5,0,0,0,0,1.10714,1.60922
-0.0773063,0.129271,0.508731,-0.00319876,0.00959647,0.5,0,0,0,0,1.10713,1.60886
-0.0774276,0.128578,0.508312,-0.00399841,0.0119955,0.5,0,0,0,0,1.10713,1.60863
-0.0774276,0.128578,0.508312,-0.00479796,0.0143945,0.5,0,0,0,0,1.10711,1.60826
-0.077559,0.127853,0.507833,-0.0055975,0.0167934,0.5,0,0,0,0,1.1071,1.60808
-0.077559,0.127853,0.507833,-0.00639696,0.0191922,0.5,0,0,0,0,1.10709,1.60766
-0.077559,0.127853,0.507833,-0.00719634,0.021591,0.5,0,0,0,0,1.10707,1.60723
-0.0776525,0.127068,0.507563,-0.00799572,0.0239897,0.5,0,0,0,0,1.10705,1.60702
-0.0776525,0.127068,0.507563,-0.00879487,0.0263881,0.5,0,0,0,0,1.10703,1.60656
-0.0776525,0.127068,0.507563,-0.00959403,0.0287865,0.5,0,0,0,0,1.10701,1.60631
-0.0776968,0.126234,0.507557,-0.0103931,0.0311848,0.5,0,0,0,0,1.10699,1.60582
-0.0776968,0.126234,0.507557,-0.0111919,0.0335829,0.5,0,0,0,0,1.10696,1.6053
-0.0776946,0.125324,0.507885,-0.0119908,0.035981,0.5,0,0,0,0,1.10694,1.60504
-0.0776946,0.125324,0.507885,-0.0127894,0.0383786,0.5,0,0,0,0,1.1069,1.60452
-0.0776946,0.125324,0.507885,-0.0135879,0.0407763,0.5,0,0,0,0,1.10687,1.60427
-0.0776539,0.124418,0.508543,-0.0143863,0.0431737,0.5,0,0,0,0,1.10684,1.60376
-0.0776539,0.124418,0.508543,-0.0151844,0.0455708,0.5,0,0,0,0,1.10681,1.60325
-0.0775958,0.123468,0.509508,-0.0159826,0.047968,0.5,0,0,0,0,1.10677,1.60296
-0.0775958,0.123468,0.509508,-0.0167803,0.0503646,0.5,0,0,0,0,1.10673,1.60242
-0.0775958,0.123468,0.509508,-0.017578,0.0527612,0.5,0,0,0,0,1.10669,1.60217
-0.0775285,0.122496,0.51076,-0.0183755,0.0551574,0.5,0,0,0,0,1.10665,1.60161
-0.0775285,0.122496,0.51076,-0.0191727,0.0575534,0.5,0,0,0,0,1.1066,1.60104
-0.0774378,0.121482,0.51234,-0.01997,0.0599493,0.5,0,0,0,0,1.10656,1.60072
-0.0774378,0.121482,0.51234,-0.0207666,0.0623446,0.5,0,0,0,0,1.10651,1.60016
-0.0774378,0.121482,0.51234,-0.0215633,0.0647398,0.5,0,0,0,0,1.10646,1.59993
-0.0773148,0.120454,0.514218,-0.0223597,0.0671347,0.5,0,0,0,0,1.1064,1.59939
-0.0773148,0.120454,0.514218,-0.0231557,0.0695291,0.5,0,0,0,0,1.10635,1.59884
-0.0771709,0.119382,0.516216,-0.0239518,0.0719236,0.5,0,0,0,0,1.10629,1.5985
-0.0771709,0.119382,0.516216,-0.0247472,0.0743172,0.5,0,0,0,0,1.10624,1.59796
-0.0770072,0.118267,0.518323,-0.0255426,0.0767108,0.5,0,0,0,0,1.10618,1.59775
-0.0770072,0.118267,0.518323,-0.0263376,0.0791039,0.5,0,0,0,0,1.10611,1.59719
-0.0770072,0.118267,0.518323,-0.0271323,0.0814966,0.5,0,0,0,0,1.10605,1.59662
-0.0768276,0.117146,0.520566,-0.027927,0.0838893,0.5,0,0,0,0,1.10599,1.59629
-0.0768276,0.117146,0.520566,-0.0287209,0.086281,0.5,0,0,0,0,1.10592,1.59571
-0.0768276,0.117146,0.520566,-0.0295148,0.0886727,0.5,0,0,0,0,1.10585,1.59542
-0.0766337,0.116022,0.522819,-0.0303083,0.0910638,0.5,0,0,0,0,1.10578,1.59482
-0.0766337,0.116022,0.522819,-0.0311014,0.0934545,0.5,0,0,0,0,1.1057,1.59422
-0.0764436,0.114868,0.524962,-0.0318945,0.0958451,0.5,0,0,0,0,1.10563,1.59392
-0.0764436,0.114868,0.524962,-0.0326867,0.0982346,0.5,0,0,0,0,1.10555,1.59328
-0.0764436,0.114868,0.524962,-0.0334789,0.100624,0.5,0,0,0,0,1.10547,1.59295
-0.0762557,0.113694,0.527099,-0.0342707,0.103013,0.5,0,0,0,0,1.10539,1.5923
-0.0762557,0.113694,0.527099,-0.0350619,0.105401,0.5,0,0,0,0,1.10531,1.59163
-0.0760816,0.112537,0.529183,-0.0358532,0.10779,0.5,0,0,0,0,1.10522,1.59128
-0.0760816,0.112537,0.529183,-0.0366435,0.110177,0.5,0,0,0,0,1.10513,1.5906
