x,y,z,gx,gy,gz
2,-2,3.49974,0,0,4
2,-2,3.49922,0,0,4
2,-2,3.49867,0.00188496,0.00376991,4.00063
2,-2,3.4981,0.00376991,0.00753979,4.00126
2,-2,3.4975,0.00565485,0.0113096,4.00188
2,-2,3.49687,0.00753979,0.0150794,4.00251
2,-2,3.49622,0.00942472,0.0188491,4.00314
2,-2,3.49554,0.0113096,0.0226186,4.00377
2,-2,3.49483,0.0131945,0.026388,4.0044
2,-2,3.4941,0.0150794,0.0301573,4.00503
2,-2,3.49334,0.0169642,0.0339263,4.00565
2,-2,3.49255,0.0188491,0.0376951,4.00628
2,-2,3.49172,0.0207339,0.0414637,4.00691
2,-2,3.49083,0.0226186,0.0452321,4.00754
2,-2,3.4899,0.0245033,0.0490001,4.00817
2,-2,3.48898,0.026388,0.0527679,4.0088
1.99999,-1.99999,3.48808,0.0282727,0.0565353,4.00942
1.99999,-1.99998,3.48722,0.0301573,0.0603023,4.01005
1.99998,-1.99997,3.48644,0.0320418,0.064069,4.01068
1.99995,-1.99994,3.48573,0.0339263,0.0678353,4.01131
1.99992,-1.9999,3.48514,0.0358108,0.0716011,4.01194
1.99987,-1.99984,3.48468,0.0376951,0.0753665,4.01257
1.9998,-1.99975,3.4843,0.0395795,0.0791314,4.01319
1.99971,-1.99963,3.48401,0.0414637,0.0828958,4.01382
1.99958,-1.99947,3.48384,0.0433479,0.0866597,4.01445
1.99942,-1.99926,3.48382,0.0452321,0.090423,4.01508
1.99922,-1.999,3.48396,0.0471161,0.0941858,4.01571
1.99896,-1.99867,3.4843,0.0490001,0.0979479,4.01633
1.99864,-1.99826,3.48484,0.050884,0.10171,4.01696
1.99826,-1.99776,3.48562,0.0527679,0.10547,4.01759
1.9978,-1.99717,3.48666,0.0546516,0.109231,4.01822
1.99725,-1.99646,3.48797,0.0565353,0.11299,4.01885
1.99661,-1.99562,3.48955,0.0584188,0.116749,4.01947
1.99586,-1.99464,3.49142,0.0603023,0.120507,4.0201
1.99499,-1.99351,3.49358,0.0621857,0.124264,4.02073
1.994,-1.99221,3.49605,0.064069,0.128021,4.02136
1.99287,-1.99072,3.49882,0.0659522,0.131777,4.02198
1.99159,-1.98904,3.50189,0.0678353,0.135532,4.02261
1.99017,-1.98715,3.50524,0.0697182,0.139286,4.02324
1.98858,-1.98505,3.50883,0.0716011,0.143039,4.02387
1.98684,-1.98273,3.51265,0.0734838,0.146791,4.02449
1.98493,-1.98019,3.51666,0.0753665,0.150543,4.02512
1.98285,-1.97741,3.52085,0.077249,0.154293,4.02575
1.98061,-1.9744,3.52518,0.0791314,0.158042,4.02638
1.97819,-1.97115,3.52963,0.0810137,0.161791,4.027
1.97561,-1.96765,3.53419,0.0828958,0.165538,4.02763
1.97284,-1.96391,3.53884,0.0847778,0.169285,4.02826
1.9699,-1.95991,3.54357,0.0866597,0.17303,4.02889
1.96678,-1.95565,3.54837,0.0885414,0.176774,4.02951
1.96348,-1.95113,3.55322,0.090423,0.180517,4.03014
1.95999,-1.94634,3.55811,0.0923045,0.184259,4.03077
1.95631,-1.94127,3.56305,0.0941858,0.188,4.0314
1.95245,-1.93593,3.56801,0.0960669,0.191739,4.03202
1.9484,-1.9303,3.573,0.0979479,0.195478,4.03265
1.94415,-1.92438,3.57801,0.0998288,0.199215,4.03328
1.93971,-1.91817,3.58305,0.10171,0.202951,4.0339
1.93507,-1.91166,3.58809,0.10359,0.206685,4.03453
1.93023,-1.90484,3.59315,0.10547,0.210419,4.03516
1.9252,-1.89772,3.59822,0.107351,0.214151,4.03578
1.91996,-1.89028,3.60329,0.109231,0.217881,4.03641
1.91452,-1.88252,3.60837,0.111111,0.221611,4.03704
1.90887,-1.87445,3.61345,0.11299,0.225338,4.03766
1.90302,-1.86605,3.61854,0.11487,0.229065,4.03829
1.89696,-1.85732,3.62362,0.116749,0.23279,4.03892
1.89069,-1.84825,3.62871,0.118628,0.236513,4.03954
1.88422,-1.83885,3.6338,0.120507,0.240235,4.04017
1.87753,-1.82911,3.6389,0.122386,0.243956,4.0408
1.87064,-1.81903,3.64399,0.124264,0.247675,4.04142
1.86353,-1.8086,3.64909,0.126143,0.251392,4.04205
1.85621,-1.79782,3.6542,0.128021,0.255108,4.04267
1.84869,-1.78669,3.65931,0.129899,0.258822,4.0433
1.84094,-1.7752,3.66444,0.131777,0.262535,4.04393
1.83299,-1.76335,3.66957,0.133654,0.266245,4.04455
1.82483,-1.75113,3.67472,0.135532,0.269955,4.04518
1.81645,-1.73856,3.67989,0.137409,0.273662,4.0458
1.80786,-1.72561,3.68509,0.139286,0.277368,4.04643
1.79905,-1.7123,3.69031,0.141162,0.281072,4.04705
1.79004,-1.69862,3.69555,0.143039,0.284774,4.04768
1.78081,-1.68455,3.70084,0.144915,0.288475,4.04831
1.77137,-1.67012,3.70616,0.146791,0.292173,4.04893
1.76172,-1.6553,3.71153,0.148667,0.29587,4.04956
1.75186,-1.6401,3.71695,0.150543,0.299565,4.05018
1.74179,-1.62452,3.72243,0.152418,0.303258,4.05081
1.73151,-1.60856,3.72797,0.154293,0.306949,4.05143
1.72103,-1.59221,3.73358,0.156168,0.310638,4.05206
1.71034,-1.57548,3.73925,0.158042,0.314325,4.05268
1.69946,-1.55837,3.74498,0.159917,0.318011,4.05331
1.68838,-1.54089,3.75078,0.161791,0.321694,4.05393
1.6771,-1.52304,3.75665,0.163665,0.325375,4.05455
1.66564,-1.50482,3.76258,0.165538,0.329054,4.05518
1.654,-1.48623,3.76858,0.167412,0.332731,4.0558
1.64217,-1.46729,3.77464,0.169285,0.336406,4.05643
1.63016,-1.448,3.78076,0.171157,0.340079,4.05705
1.61799,-1.42837,3.78692,0.17303,0.34375,4.05768
1.60564,-1.40841,3.79314,0.174902,0.347418,4.0583
1.59313,-1.38813,3.79939,0.176774,0.351084,4.05892
1.58046,-1.36753,3.80569,0.178646,0.354748,4.05955
1.56763,-1.34662,3.81201,0.180517,0.35841,4.06017
