x,y,z,gx,gy,gz,motor0,motor1,motor2,motor3,target_yaw,yaw
-0.0441949,-0.0645616,0.220044,0,0,4,0,0,0,0,0,-0.0332458
-0.0437971,-0.0637855,0.22303,0,0,4,0,0,0,0,0,-0.0333257
-0.0437971,-0.0637855,0.22303,0,0,4,0,0,0,0,0,-0.0333257
-0.0437971,-0.0637855,0.22303,0,0,4,0,0,0,0,0,-0.0334049
-0.0433855,-0.0630169,0.226027,0,0,4,0,0,0,0,0,-0.0335007
-0.0433855,-0.0630169,0.226027,0,0,4,0,0,0,0,0,-0.0335007
-0.0433855,-0.0630169,0.226027,0,0,4,0,0,0,0,0,-0.0335479
-0.0431226,-0.0624868,0.22841,0,0,4,0,0,0,0,0,-0.0335815
-0.0431226,-0.0624868,0.22841,0,0,4,0,0,0,0,0,-0.0335967
-0.0427081,-0.061652,0.233144,0,0,4,0,0,0,0,0,-0.0336407
-0.0427081,-0.061652,0.233144,0,0,4,0,0,0,0,0,-0.0336705
-0.0427081,-0.061652,0.233144,0,0,4,0,0,0,0,0,-0.0336849
-0.0424222,-0.0610624,0.23755,0,0,4,0,0,0,0,0,-0.0337071
-0.0424222,-0.0610624,0.23755,0,0,4,0,0,0,0,0,-0.0337251
-0.0419236,-0.0601313,0.246054,0,0,4,0,0,0,0,0,-0.0337376
-0.0419236,-0.0601313,0.246054,0,0,4,0,0,0,0,0,-0.0337455
-0.0419236,-0.0601313,0.246054,0,0,4,0,0,0,0,0,-0.033758
-0.0415333,-0.0594774,0.253039,0,0,4,0,0,0,0,0,-0.0337633
-0.0415333,-0.0594774,0.253039,0,0,4,0,0,0,0,0,-0.0337655
-0.0415333,-0.0594774,0.253039,0,0,4,0,0,0,0,0,-0.0337762
-0.0408629,-0.0584245,0.265635,0,0,4,0,0,0,0,0,-0.0337717
-0.0408629,-0.0584245,0.265635,0,0,4,0,0,0,0,0,-0.0337731
-0.0403665,-0.057675,0.275184,0,0,4,0,0,0,0,0,-0.0337706
-0.0403665,-0.057675,0.275184,0,0,4,0,0,0,0,0,-0.0337615
-0.0403665,-0.057675,0.275184,0,0,4,0,0,0,0,0,-0.0337497
-0.0398051,-0.0568683,0.285742,0,0,4,0,0,0,0,0,-0.0337257
-0.0398051,-0.0568683,0.285742,0,0,4,0,0,0,0,0,-0.0337154
-0.0388769,-0.0555772,0.303272,0,0,4,0,0,0,0,0,-0.0337042
-0.0388769,-0.0555772,0.303272,0,0,4,0,0,0,0,0,-0.0336902
-0.0388769,-0.0555772,0.303272,0,0,4,0,0,0,0,0,-0.0336661
-0.0378293,-0.0541717,0.322988,0,0,4,0,0,0,0,0,-0.0336511
