x,y,z,gx,gy,gz
1,-1,-2.34313e-05,0,0,4
1.00188,-0.99623,0.000558967,0.00188496,0.00376991,4.00063
1.00377,-0.992458,0.00110084,0.00376991,0.00753979,4.00126
1.00565,-0.98868,0.00158621,0.00565485,0.0113096,4.00188
1.00752,-0.984888,0.00201607,0.00753979,0.0150794,4.00251
1.00939,-0.981071,0.00239189,0.00942472,0.0188491,4.00314
1.01124,-0.977215,0.00271561,0.0113096,0.0226186,4.00377
1.01307,-0.973303,0.00299009,0.0131945,0.026388,4.0044
1.01488,-0.969316,0.00322872,0.0150794,0.0301573,4.00503
1.01665,-0.965235,0.00345583,0.0169642,0.0339263,4.00565
1.01839,-0.961038,0.00368679,0.0188491,0.0376951,4.00628
1.02007,-0.956699,0.00392845,0.0207339,0.0414637,4.00691
1.0217,-0.952192,0.00418854,0.0226186,0.0452321,4.00754
1.02326,-0.947488,0.00447576,0.0245033,0.0490001,4.00817
1.02474,-0.94256,0.00480033,0.026388,0.0527679,4.0088
1.02612,-0.937378,0.00517401,0.0282727,0.0565353,4.00942
1.0274,-0.931916,0.00560968,0.0301573,0.0603023,4.01005
1.02857,-0.926144,0.00612119,0.0320418,0.064069,4.01068
1.02961,-0.920038,0.00672298,0.0339263,0.0678353,4.01131
1.03051,-0.913573,0.00742966,0.0358108,0.0716011,4.01194
1.03126,-0.906724,0.00825521,0.0376951,0.0753665,4.01257
1.03185,-0.89947,0.00921248,0.0395795,0.0791314,4.01319
1.03227,-0.891788,0.01031,0.0414637,0.0828958,4.01382
1.0325,-0.883652,0.0115513,0.0433479,0.0866597,4.01445
1.03253,-0.875045,0.0129439,0.0452321,0.090423,4.01508
1.03236,-0.865956,0.0144971,0.0471161,0.0941858,4.01571
1.03197,-0.856374,0.0162181,0.0490001,0.0979479,4.01633
1.03135,-0.846293,0.018111,0.050884,0.10171,4.01696
1.03051,-0.835709,0.0201777,0.0527679,0.10547,4.01759
1.02942,-0.824617,0.0224171,0.0546516,0.109231,4.01822
1.02809,-0.813018,0.0248253,0.0565353,0.11299,4.01885
1.0265,-0.800913,0.0273958,0.0584188,0.116749,4.01947
1.02465,-0.788308,0.0301193,0.0603023,0.120507,4.0201
1.02253,-0.77521,0.032984,0.0621857,0.124264,4.02073
1.02013,-0.761628,0.0359757,0.064069,0.128021,4.02136
1.01746,-0.747575,0.0390779,0.0659522,0.131777,4.02198
1.0145,-0.733067,0.0422718,0.0678353,0.135532,4.02261
1.01126,-0.718123,0.0455374,0.0697182,0.139286,4.02324
1.00772,-0.702762,0.0488474,0.0716011,0.143039,4.02387
1.0039,-0.687,0.0521652,0.0734838,0.146791,4.02449
0.999785,-0.670858,0.0554518,0.0753665,0.150543,4.02512
0.995375,-0.654364,0.0586716,0.077249,0.154293,4.02575
0.990684,-0.637554,0.0618001,0.0791314,0.158042,4.02638
0.985723,-0.62047,0.0648162,0.0810137,0.161791,4.027
0.98051,-0.603154,0.067702,0.0828958,0.165538,4.02763
0.975064,-0.58565,0.0704439,0.0847778,0.169285,4.02826
0.969405,-0.568004,0.0730318,0.0866597,0.17303,4.02889
0.963558,-0.550259,0.0754593,0.0885414,0.176774,4.02951
0.957546,-0.532461,0.0777237,0.090423,0.180517,4.03014
0.951394,-0.51465,0.0798259,0.0923045,0.184259,4.03077
0.945127,-0.496868,0.0817699,0.0941858,0.188,4.0314
0.93877,-0.479152,0.0835623,0.0960669,0.191739,4.03202
0.932348,-0.461535,0.0852115,0.0979479,0.195478,4.03265
0.925883,-0.444051,0.0867279,0.0998288,0.199215,4.03328
0.919397,-0.426725,0.0881229,0.10171,0.202951,4.0339
0.912912,-0.409584,0.089409,0.10359,0.206685,4.03453
0.906447,-0.392646,0.0906012,0.10547,0.210419,4.03516
0.900017,-0.375929,0.0917177,0.107351,0.214151,4.03578
0.893638,-0.359444,0.0927743,0.109231,0.217881,4.03641
0.887323,-0.343203,0.093781,0.111111,0.221611,4.03704
0.881084,-0.327216,0.0947446,0.11299,0.225338,4.03766
0.87493,-0.311488,0.0956704,0.11487,0.229065,4.03829
0.86887,-0.296025,0.0965623,0.116749,0.23279,4.03892
0.862909,-0.280829,0.0974229,0.118628,0.236513,4.03954
0.857053,-0.265898,0.0982535,0.120507,0.240235,4.04017
0.851304,-0.251232,0.0990521,0.122386,0.243956,4.0408
0.845663,-0.236828,0.0998135,0.124264,0.247675,4.04142
0.84013,-0.222679,0.100536,0.126143,0.251392,4.04205
0.8347,-0.208776,0.101216,0.128021,0.255108,4.04267
0.829369,-0.195109,0.101852,0.129899,0.258822,4.0433
0.82413,-0.181665,0.102441,0.131777,0.262535,4.04393
0.818973,-0.168432,0.102978,0.133654,0.266245,4.04455
0.813888,-0.155395,0.103462,0.135532,0.269955,4.04518
0.808864,-0.142539,0.103889,0.137409,0.273662,4.0458
0.803888,-0.129849,0.104258,0.139286,0.277368,4.04643
0.798947,-0.117307,0.104567,0.141162,0.281072,4.04705
0.794026,-0.104898,0.104815,0.143039,0.284774,4.04768
0.78911,-0.0926068,0.105002,0.144915,0.288475,4.04831
