x,y,z,gx,gy,gz,motor0,motor1,motor2,motor3,target_yaw,yaw
0.0144493,-0.0882476,1.91878,0,0.606218,2.37634,0,0,0,0,0,-0.0364435
0.0142635,-0.0885376,1.92074,0.00113097,0.606766,2.37654,0,0,0,0,0.180448,-0.0364259
0.0142635,-0.0885376,1.92074,0.00226194,0.607314,2.37674,0,0,0,0,0.360897,-0.0364259
0.0142635,-0.0885376,1.92074,0.00339291,0.60786,2.37694,0,0,0,0,0.450592,-0.036417
0.0142635,-0.0885376,1.92074,0.00452387,0.608404,2.37715,0,0,0,0,0.449533,-0.0363999
0.0139509,-0.0889155,1.92366,0.00565483,0.608948,2.37735,0,0,0,0,0.448475,-0.036379
0.0139509,-0.0889155,1.92366,0.00678577,0.609488,2.37755,0,0,0,0,0.447388,-0.0363295
0.0139509,-0.0889155,1.92366,0.00791671,0.610029,2.37776,0,0,0,0,0.446301,-0.0363295
0.0135757,-0.0891944,1.92731,0.00904763,0.610567,2.37796,0,0,0,0,0.445217,-0.036272
0.0135757,-0.0891944,1.92731,0.0101785,0.611104,2.37816,0,0,0,0,0.444135,-0.036272
0.013318,-0.0893511,1.93055,0.0113094,0.611641,2.37836,0,0,0,0,0.443053,-0.0362034
0.013318,-0.0893511,1.93055,0.0124403,0.612173,2.37856,0,0,0,0,0.441971,-0.0361378
0.013318,-0.0893511,1.93055,0.0135712,0.612706,2.37877,0,0,0,0,0.440888,-0.0361378
0.012921,-0.089521,1.93686,0.014702,0.613237,2.37897,0,0,0,0,0.439801,-0.0359091
0.0126316,-0.0895206,1.94207,0.0158328,0.613766,2.37917,0,0,0,0,0.43871,-0.0358273
0.0126316,-0.0895206,1.94207,0.0169636,0.614295,2.37937,0,0,0,0,0.437618,-0.035732
0.0126316,-0.0895206,1.94207,0.0180943,0.614821,2.37957,0,0,0,0,0.436533,-0.035732
0.0122203,-0.0894011,1.95127,0.0192251,0.615346,2.37977,0,0,0,0,0.435448,-0.0356168
0.0122203,-0.0894011,1.95127,0.0203558,0.615869,2.37998,0,0,0,0,0.434355,-0.0355104
0.0122203,-0.0894011,1.95127,0.0214864,0.616391,2.38018,0,0,0,0,0.433253,-0.0354527
0.0119646,-0.0892148,1.95819,0.0226171,0.616912,2.38038,0,0,0,0,0.432152,-0.0353353
0.0119646,-0.0892148,1.95819,0.0237477,0.61743,2.38058,0,0,0,0,0.43105,-0.0353353
0.0119646,-0.0892148,1.95819,0.0248782,0.617948,2.38078,0,0,0,0,0.429948,-0.0351289
0.0117273,-0.0889348,1.96554,0.0260087,0.618464,2.38098,0,0,0,0,0.428849,-0.0348379
0.0117273,-0.0889348,1.96554,0.0271392,0.618977,2.38118,0,0,0,0,0.427752,-0.0348379
0.0114032,-0.0883347,1.97749,0.0282697,0.619491,2.38138,0,0,0,0,0.426655,-0.0346934
0.0114032,-0.0883347,1.97749,0.0294,0.620001,2.38158,0,0,0,0,0.42555,-0.0344025
0.0111702,-0.0873903,1.99084,0.0305304,0.620511,2.38178,0,0,0,0,0.424444,-0.0342755
0.0111702,-0.0873903,1.99084,0.0316607,0.62102,2.38198,0,0,0,0,0.423335,-0.0341447
0.011043,-0.0866746,1.99989,0.0327909,0.621526,2.38218,0,0,0,0,0.422221,-0.0339907
0.011043,-0.0866746,1.99989,0.0339212,0.622032,2.38238,0,0,0,0,0.421108,-0.0338268
0.011043,-0.0866746,1.99989,0.0350513,0.622534,2.38258,0,0,0,0,0.419985,-0.0336831
0.010943,-0.0853053,2.01347,0.0361814,0.623037,2.38278,0,0,0,0,0.418863,-0.0335471
0.010943,-0.0853053,2.01347,0.0373114,0.623537,2.38298,0,0,0,0,0.417747,-0.0334079
0.010943,-0.0853053,2.01347,0.0384414,0.624036,2.38318,0,0,0,0,0.416637,-0.0333388
0.0109124,-0.0842455,2.02236,0.0395713,0.624534,2.38338,0,0,0,0,0.415527,-0.0333388
0.0109124,-0.0842455,2.02236,0.0407011,0.625029,2.38357,0,0,0,0,0.414401,-0.0330534
0.0109124,-0.0842455,2.02236,0.0418309,0.625524,2.38377,0,0,0,0,0.413276,-0.0329976
0.0109137,-0.0824167,2.03562,0.0429606,0.626017,2.38397,0,0,0,0,0.41215,-0.0329976
0.0109137,-0.0824167,2.03562,0.0440903,0.626507,2.38417,0,0,0,0,0.411022,-0.0327437
0.0109521,-0.080988,2.04458,0.0452199,0.626998,2.38437,0,0,0,0,0.409895,-0.0324275
0.0109521,-0.080988,2.04458,0.0463493,0.627485,2.38457,0,0,0,0,0.408759,-0.0324275
0.0110504,-0.0786363,2.05768,0.0474788,0.627972,2.38476,0,0,0,0,0.407623,-0.0322949
0.0110504,-0.0786363,2.05768,0.0486082,0.628457,2.38496,0,0,0,0,0.406493,-0.0321792
0.0111509,-0.0769187,2.06578,0.0497374,0.62894,2.38516,0,0,0,0,0.40537,-0.0320686
0.0111509,-0.0769187,2.06578,0.0508667,0.629423,2.38536,0,0,0,0,0.404247,-0.0320105
0.0111509,-0.0769187,2.06578,0.0519957,0.629903,2.38556,0,0,0,0,0.4031,-0.0318003
0.0111509,-0.0769187,2.06578,0.0531248,0.630382,2.38575,0,0,0,0,0.401952,-0.0318003
0.0112811,-0.0750743,2.07348,0.0542538,0.630859,2.38595,0,0,0,0,0.400812,-0.0317367
0.0112811,-0.0750743,2.07348,0.0553826,0.631334,2.38615,0,0,0,0,0.399679,-0.0316129
0.0112811,-0.0750743,2.07348,0.0565115,0.63181,2.38634,0,0,0,0,0.398546,-0.0314258
0.0115281,-0.0720468,2.08531,0.0576401,0.632281,2.38654,0,0,0,0,0.397395,-0.0313645
0.0115281,-0.0720468,2.08531,0.0587687,0.632753,2.38674,0,0,0,0,0.396244,-0.0311971
0.0117392,-0.0697873,2.09348,0.0598972,0.633222,2.38693,0,0,0,0,0.395092,-0.0311371
0.0117392,-0.0697873,2.09348,0.0610256,0.63369,2.38713,0,0,0,0,0.393941,-0.0309541
0.012099,-0.0661124,2.10636,0.062154,0.634157,2.38733,0,0,0,0,0.392789,-0.0306413
0.012099,-0.0661124,2.10636,0.0632822,0.634621,2.38752,0,0,0,0,0.391635,-0.0305488
0.012531,-0.0620158,2.12005,0.0644103,0.635084,2.38772,0,0,0,0,0.390482,-0.030261
0.012531,-0.0620158,2.12005,0.0655383,0.635546,2.38792,0,0,0,0,0.389327,-0.0300504
0.012849,-0.0589741,2.1297,0.0666662,0.636006,2.38811,0,0,0,0,0.388171,-0.0298361
0.012849,-0.0589741,2.1297,0.0677941,0.636465,2.38831,0,0,0,0,0.387015,-0.0290771
0.0134418,-0.0534187,2.14769,0.0689218,0.636921,2.3885,0,0,0,0,0.38585,-0.0288371
0.0134418,-0.0534187,2.14769,0.0700494,0.637377,2.3887,0,0,0,0,0.384685,-0.0285537
0.0138282,-0.0497344,2.15832,0.0711769,0.637831,2.38889,0,0,0,0,0.383515,-0.0282292
0.0138282,-0.0497344,2.15832,0.0723042,0.638282,2.38909,0,0,0,0,0.382342,-0.0282292
0.0144377,-0.0438015,2.17434,0.0734315,0.638734,2.38928,0,0,0,0,0.381169,-0.0271823
0.0144377,-0.0438015,2.17434,0.0745586,0.639182,2.38948,0,0,0,0,0.380007,-0.0267914
0.0144377,-0.0438015,2.17434,0.0756857,0.63963,2.38967,0,0,0,0,0.378845,-0.0267914
0.0148553,-0.0395009,2.18515,0.0768126,0.640076,2.38987,0,0,0,0,0.377678,-0.0261902
0.0148553,-0.0395009,2.18515,0.0779393,0.64052,2.39006,0,0,0,0,0.376507,-0.0255398
0.0154862,-0.032474,2.20178,0.0790661,0.640964,2.39026,0,0,0,0,0.375336,-0.0250392
0.0154862,-0.032474,2.20178,0.0801925,0.641404,2.39045,0,0,0,0,0.374149,-0.0244957
0.0154862,-0.032474,2.20178,0.081319,0.641844,2.39065,0,0,0,0,0.372962,-0.0244957
0.0159315,-0.0274532,2.21317,0.0824452,0.642282,2.39084,0,0,0,0,0.371778,-0.0239557
0.0159315,-0.0274532,2.21317,0.0835714,0.642718,2.39103,0,0,0,0,0.370596,-0.022797
0.0165843,-0.0192218,2.23064,0.0846975,0.643154,2.39123,0,0,0,0,0.369414,-0.0221869
0.0165843,-0.0192218,2.23064,0.0858233,0.643586,2.39142,0,0,0,0,0.368228,-0.0215765
0.0172457,-0.0101616,2.24814,0.0869491,0.644018,2.39161,0,0,0,0,0.367043,-0.0212711
0.0172457,-0.0101616,2.24814,0.0880747,0.644448,2.39181,0,0,0,0,0.365854,-0.0202297
0.0172457,-0.0101616,2.24814,0.0892001,0.644876,2.392,0,0,0,0,0.364661,-0.0198554
0.0174739,-0.00700298,2.25392,0.0903255,0.645304,2.39219,0,0,0,0,0.363469,-0.0179581
0.0174739,-0.00700298,2.25392,0.0914506,0.645728,2.39239,0,0,0,0,0.362273,-0.0179581
0.0174739,-0.00700298,2.25392,0.0925757,0.646152,2.39258,0,0,0,0,0.361077,-0.0175655
0.0181833,0.00293696,2.27097,0.0937006,0.646575,2.39277,0,0,0,0,0.359879,-0.015589
0.0189467,0.0135198,2.28777,0.0948253,0.646995,2.39296,0,0,0,0,0.358681,-0.0147848
0.0189467,0.0135198,2.28777,0.09595,0.647415,2.39316,0,0,0,0,0.357483,-0.0139627
0.0189467,0.0135198,2.28777,0.0970744,0.647831,2.39335,0,0,0,0,0.356283,-0.0139627
0.0194837,0.0209843,2.29899,0.0981987,0.648247,2.39354,0,0,0,0,0.355083,-0.0126444
0.0194837,0.0209843,2.29899,0.0993229,0.648661,2.39373,0,0,0,0,0.353878,-0.0126444
0.0203151,0.0327603,2.31543,0.100447,0.649073,2.39393,0,0,0,0,0.352668,-0.0102999
0.0203151,0.0327603,2.31543,0.101571,0.649485,2.39412,0,0,0,0,0.351459,-0.00934749
