x,y,z,gx,gy,gz,motor0,motor1,motor2,motor3,target_yaw,yaw
-0.0205494,-0.0848745,1.92364,0,0.606218,2.37634,0,0,0,0,0,-0.0518972
-0.0203197,-0.0847107,1.92698,0.00113097,0.606766,2.37654,0,0,0,0,0.180448,-0.0519011
-0.0203197,-0.0847107,1.92698,0.00226194,0.607314,2.37674,0,0,0,0,0.360897,-0.0519042
-0.0203197,-0.0847107,1.92698,0.00339291,0.60786,2.37694,0,0,0,0,0.450592,-0.0519051
-0.0201011,-0.0844969,1.93047,0.00452387,0.608404,2.37715,0,0,0,0,0.449533,-0.0518949
-0.0201011,-0.0844969,1.93047,0.00565483,0.608948,2.37735,0,0,0,0,0.448475,-0.0518949
-0.0199729,-0.084333,1.93324,0.00678577,0.609488,2.37755,0,0,0,0,0.447388,-0.0518342
-0.0199729,-0.084333,1.93324,0.00791671,0.610029,2.37776,0,0,0,0,0.446301,-0.051794
-0.0199729,-0.084333,1.93324,0.00904763,0.610567,2.37796,0,0,0,0,0.445217,-0.0517476
-0.0197943,-0.0840477,1.93845,0.0101785,0.611104,2.37816,0,0,0,0,0.444135,-0.0517476
-0.0197943,-0.0840477,1.93845,0.0113094,0.611641,2.37836,0,0,0,0,0.443053,-0.0516139
-0.0197943,-0.0840477,1.93845,0.0124403,0.612173,2.37856,0,0,0,0,0.441971,-0.0516139
-0.0196744,-0.0838326,1.94264,0.0135712,0.612706,2.37877,0,0,0,0,0.440888,-0.0514581
-0.0196744,-0.0838326,1.94264,0.014702,0.613237,2.37897,0,0,0,0,0.439801,-0.0514581
-0.0195117,-0.0833994,1.95014,0.0158328,0.613766,2.37917,0,0,0,0,0.43871,-0.0513514
-0.0195117,-0.0833994,1.95014,0.0169636,0.614295,2.37937,0,0,0,0,0.437618,-0.0512426
-0.0195117,-0.0833994,1.95014,0.0180943,0.614821,2.37957,0,0,0,0,0.436533,-0.0511235
-0.0193958,-0.0830398,1.95586,0.0192251,0.615346,2.37977,0,0,0,0,0.435448,-0.0509925
-0.0192082,-0.0823746,1.96547,0.0203558,0.615869,2.37998,0,0,0,0,0.434355,-0.0507782
-0.0192082,-0.0823746,1.96547,0.0214864,0.616391,2.38018,0,0,0,0,0.433253,-0.0506243
-0.0192082,-0.0823746,1.96547,0.0226171,0.616912,2.38038,0,0,0,0,0.432152,-0.0503764
-0.0190845,-0.0818414,1.97256,0.0237477,0.61743,2.38058,0,0,0,0,0.43105,-0.050182
-0.0190845,-0.0818414,1.97256,0.0248782,0.617948,2.38078,0,0,0,0,0.429948,-0.049976
-0.0189002,-0.0808966,1.98356,0.0260087,0.618464,2.38098,0,0,0,0,0.428849,-0.0497559
-0.0189002,-0.0808966,1.98356,0.0271392,0.618977,2.38118,0,0,0,0,0.427752,-0.0495349
-0.0189002,-0.0808966,1.98356,0.0282697,0.619491,2.38138,0,0,0,0,0.426655,-0.0492983
-0.0187815,-0.0801156,1.99117,0.0294,0.620001,2.38158,0,0,0,0,0.42555,-0.0490538
-0.0187815,-0.0801156,1.99117,0.0305304,0.620511,2.38178,0,0,0,0,0.424444,-0.0488045
-0.0187815,-0.0801156,1.99117,0.0316607,0.62102,2.38198,0,0,0,0,0.423335,-0.0485473
-0.0185865,-0.0787887,2.00262,0.0327909,0.621526,2.38218,0,0,0,0,0.422221,-0.0482784
-0.0185865,-0.0787887,2.00262,0.0339212,0.622032,2.38238,0,0,0,0,0.421108,-0.0479958
-0.0184506,-0.0777647,2.01055,0.0350513,0.622534,2.38258,0,0,0,0,0.419985,-0.0478557
-0.0184506,-0.0777647,2.01055,0.0361814,0.623037,2.38278,0,0,0,0,0.418863,-0.0474154
-0.0184506,-0.0777647,2.01055,0.0373114,0.623537,2.38298,0,0,0,0,0.417747,-0.0472681
-0.0182507,-0.0760051,2.02304,0.0384414,0.624036,2.38318,0,0,0,0,0.416637,-0.04678
-0.0182507,-0.0760051,2.02304,0.0395713,0.624534,2.38338,0,0,0,0,0.415527,-0.0464386
-0.018106,-0.0747006,2.03152,0.0407011,0.625029,2.38357,0,0,0,0,0.414401,-0.0460946
-0.018106,-0.0747006,2.03152,0.0418309,0.625524,2.38377,0,0,0,0,0.413276,-0.0459215
-0.018106,-0.0747006,2.03152,0.0429606,0.626017,2.38397,0,0,0,0,0.41215,-0.0453564
-0.0179406,-0.0725203,2.04418,0.0440903,0.626507,2.38417,0,0,0,0,0.411022,-0.0451638
-0.0179406,-0.0725203,2.04418,0.0452199,0.626998,2.38437,0,0,0,0,0.409895,-0.0445752
-0.0178249,-0.0709424,2.05246,0.0463493,0.627485,2.38457,0,0,0,0,0.408759,-0.0441691
-0.0178249,-0.0709424,2.05246,0.0474788,0.627972,2.38476,0,0,0,0,0.407623,-0.0437433
-0.0178249,-0.0709424,2.05246,0.0486082,0.628457,2.38496,0,0,0,0,0.406493,-0.0433076
-0.0177085,-0.0692542,2.06075,0.0497374,0.62894,2.38516,0,0,0,0,0.40537,-0.0428615
-0.0177085,-0.0692542,2.06075,0.0508667,0.629423,2.38536,0,0,0,0,0.404247,-0.0428615
-0.0177085,-0.0692542,2.06075,0.0519957,0.629903,2.38556,0,0,0,0,0.4031,-0.0423889
-0.017528,-0.0664868,2.07341,0.0531248,0.630382,2.38575,0,0,0,0,0.401952,-0.0419087
-0.017528,-0.0664868,2.07341,0.0542538,0.630859,2.38595,0,0,0,0,0.400812,-0.0414211
-0.0173237,-0.063378,2.0873,0.0553826,0.631334,2.38615,0,0,0,0,0.399679,-0.0411764
-0.0173237,-0.063378,2.0873,0.0565115,0.63181,2.38634,0,0,0,0,0.398546,-0.0406804
-0.0173237,-0.063378,2.0873,0.0576401,0.632281,2.38654,0,0,0,0,0.397395,-0.0401491
-0.0171803,-0.061094,2.09725,0.0587687,0.632753,2.38674,0,0,0,0,0.396244,-0.0393293
-0.016931,-0.0573742,2.11286,0.0598972,0.633222,2.38693,0,0,0,0,0.395092,-0.0381747
-0.016931,-0.0573742,2.11286,0.0610256,0.63369,2.38713,0,0,0,0,0.393941,-0.0378756
-0.016931,-0.0573742,2.11286,0.062154,0.634157,2.38733,0,0,0,0,0.392789,-0.0369201
-0.0167536,-0.0546712,2.1238,0.0632822,0.634621,2.38752,0,0,0,0,0.391635,-0.0362647
-0.0167536,-0.0546712,2.1238,0.0644103,0.635084,2.38772,0,0,0,0,0.390482,-0.035607
