x,y,z,gx,gy,gz,motor0,motor1,motor2,motor3,target_yaw,yaw
0.0238655,-0.0537677,1.92109,0,0.606218,2.37634,0,0,0,0,0,-0.0625262
0.0236148,-0.0544126,1.923,0.00113097,0.606766,2.37654,0,0,0,0,0.180448,-0.0624694
0.0236148,-0.0544126,1.923,0.00226194,0.607314,2.37674,0,0,0,0,0.360897,-0.062302
0.0236148,-0.0544126,1.923,0.00339291,0.60786,2.37694,0,0,0,0,0.450592,-0.0622429
0.0232186,-0.0554244,1.92584,0.00452387,0.608404,2.37715,0,0,0,0,0.449533,-0.0620639
0.0232186,-0.0554244,1.92584,0.00565483,0.608948,2.37735,0,0,0,0,0.448475,-0.0619572
0.022943,-0.056111,1.92795,0.00678577,0.609488,2.37755,0,0,0,0,0.447388,-0.0619016
0.022943,-0.056111,1.92795,0.00791671,0.610029,2.37776,0,0,0,0,0.446301,-0.0617828
0.022943,-0.056111,1.92795,0.00904763,0.610567,2.37796,0,0,0,0,0.445217,-0.0616086
0.0226573,-0.0568088,1.9304,0.0101785,0.611104,2.37816,0,0,0,0,0.444135,-0.0616086
0.0226573,-0.0568088,1.9304,0.0113094,0.611641,2.37836,0,0,0,0,0.443053,-0.0613942
0.0226573,-0.0568088,1.9304,0.0124403,0.612173,2.37856,0,0,0,0,0.441971,-0.0613942
0.0222181,-0.0578482,1.93492,0.0135712,0.612706,2.37877,0,0,0,0,0.440888,-0.0611778
0.0222181,-0.0578482,1.93492,0.014702,0.613237,2.37897,0,0,0,0,0.439801,-0.0611778
0.0217716,-0.0588557,1.94066,0.0158328,0.613766,2.37917,0,0,0,0,0.43871,-0.0609604
0.0217716,-0.0588557,1.94066,0.0169636,0.614295,2.37937,0,0,0,0,0.437618,-0.0609604
0.0217716,-0.0588557,1.94066,0.0180943,0.614821,2.37957,0,0,0,0,0.436533,-0.0608498
0.0214908,-0.0595074,1.94529,0.0192251,0.615346,2.37977,0,0,0,0,0.435448,-0.0607382
0.0214908,-0.0595074,1.94529,0.0203558,0.615869,2.37998,0,0,0,0,0.434355,-0.0606317
0.0210743,-0.0603277,1.95331,0.0214864,0.616391,2.38018,0,0,0,0,0.433254,-0.0605291
0.0210743,-0.0603277,1.95331,0.0226171,0.616912,2.38038,0,0,0,0,0.432152,-0.0604202
0.0210743,-0.0603277,1.95331,0.0237477,0.61743,2.38058,0,0,0,0,0.43105,-0.0603049
0.0208009,-0.0607571,1.95921,0.0248782,0.617948,2.38078,0,0,0,0,0.429948,-0.0602047
