x,y,z,gx,gy,gz,motor0,motor1,motor2,motor3,target_yaw,yaw
-0.106703,0.0675413,0.588943,0,0.34641,0.558779,0,0,0,0,0,0.228247
-0.106627,0.0674144,0.588561,0.000628318,0.346723,0.558846,0,0,0,0,0,0.228379
-0.106627,0.0674144,0.588561,0.00125664,0.347036,0.558914,0,0,0,0,0,0.228428
-0.106627,0.0674144,0.588561,0.00188495,0.347348,0.558982,0,0,0,0,0,0.2286
-0.106553,0.06728,0.588201,0.00251326,0.347659,0.559049,0,0,0,0,0,0.228804
-0.106553,0.06728,0.588201,0.00314157,0.34797,0.559117,0,0,0,0,0,0.22893
-0.106512,0.0672171,0.588124,0.00376987,0.348279,0.559184,0,0,0,0,0,0.229178
-0.106512,0.0672171,0.588124,0.00439817,0.348588,0.559252,0,0,0,0,0,0.229281
-0.106512,0.0672171,0.588124,0.00502646,0.348896,0.559319,0,0,0,0,0,0.229542
-0.106332,0.0673521,0.588392,0.00565474,0.349202,0.559387,0,0,0,0,0,0.229889
-0.106332,0.0673521,0.588392,0.00628302,0.349509,0.559454,0,0,0,0,0,0.230048
-0.106161,0.0676698,0.589258,0.00691128,0.349813,0.559521,0,0,0,0,0,0.230406
-0.106161,0.0676698,0.589258,0.00753953,0.350118,0.559589,0,0,0,0,0,0.230574
-0.106161,0.0676698,0.589258,0.00816777,0.350421,0.559656,0,0,0,0,0,0.230867
-0.105948,0.0681837,0.590768,0.008796,0.350724,0.559723,0,0,0,0,0,0.231127
-0.105948,0.0681837,0.590768,0.00942422,0.351026,0.55979,0,0,0,0,0,0.231226
-0.105649,0.0689002,0.592904,0.0100524,0.351326,0.559858,0,0,0,0,0,0.231428
-0.105649,0.0689002,0.592904,0.0106806,0.351626,0.559925,0,0,0,0,0,0.231494
-0.105649,0.0689002,0.592904,0.0113088,0.351925,0.559992,0,0,0,0,0,0.231565
-0.105236,0.0698023,0.595774,0.0119369,0.352223,0.560059,0,0,0,0,0,0.231574
-0.105236,0.0698023,0.595774,0.012565,0.352521,0.560126,0,0,0,0,0,0.23155
-0.104785,0.0708479,0.599309,0.0131931,0.352817,0.560193,0,0,0,0,0,0.231411
-0.104785,0.0708479,0.599309,0.0138212,0.353113,0.56026,0,0,0,0,0,0.231339
-0.104785,0.0708479,0.599309,0.0144493,0.353408,0.560326,0,0,0,0,0,0.231055
-0.10426,0.0720764,0.603473,0.0150773,0.353701,0.560393,0,0,0,0,0,0.230701
-0.10426,0.0720764,0.603473,0.0157054,0.353995,0.56046,0,0,0,0,0,0.230477
-0.103595,0.0735164,0.608112,0.0163334,0.354287,0.560527,0,0,0,0,0,0.230018
-0.103595,0.0735164,0.608112,0.0169613,0.354578,0.560593,0,0,0,0,0,0.229788
-0.103595,0.0735164,0.608112,0.0175893,0.354868,0.56066,0,0,0,0,0,0.229224
-0.102793,0.0752587,0.613121,0.0182172,0.355158,0.560726,0,0,0,0,0,0.228646
-0.102793,0.0752587,0.613121,0.0188451,0.355447,0.560793,0,0,0,0,0,0.228361
-0.101847,0.0773091,0.618379,0.0194729,0.355734,0.56086,0,0,0,0,0,0.227734
-0.101847,0.0773091,0.618379,0.0201008,0.356021,0.560926,0,0,0,0,0,0.22744
-0.101847,0.0773091,0.618379,0.0207286,0.356307,0.560992,0,0,0,0,0,0.2268
-0.100747,0.0797292,0.623722,0.0213563,0.356592,0.561059,0,0,0,0,0,0.226113
-0.100747,0.0797292,0.623722,0.0219841,0.356877,0.561125,0,0,0,0,0,0.225685
-0.0994599,0.0825317,0.629126,0.0226117,0.357159,0.561191,0,0,0,0,0,0.22497
-0.0994599,0.0825317,0.629126,0.0232394,0.357442,0.561258,0,0,0,0,0,0.224631
-0.0994599,0.0825317,0.629126,0.023867,0.357724,0.561324,0,0,0,0,0,0.223824
-0.0980543,0.0857002,0.634503,0.0244946,0.358004,0.56139,0,0,0,0,0,0.22297
-0.0980543,0.0857002,0.634503,0.0251222,0.358285,0.561456,0,0,0,0,0,0.22253
-0.0965887,0.0891752,0.639808,0.0257496,0.358563,0.561522,0,0,0,0,0,0.221674
-0.0965887,0.0891752,0.639808,0.0263771,0.358841,0.561588,0,0,0,0,0,0.221222
-0.0965887,0.0891752,0.639808,0.0270045,0.359118,0.561654,0,0,0,0,0,0.220336
-0.0949226,0.0929404,0.645019,0.0276319,0.359394,0.56172,0,0,0,0,0,0.219417
-0.0949226,0.0929404,0.645019,0.0282593,0.359671,0.561786,0,0,0,0,0,0.218939
-0.0939992,0.0949307,0.64759,0.0288865,0.359944,0.561852,0,0,0,0,0,0.217982
-0.0939992,0.0949307,0.64759,0.0295138,0.360218,0.561918,0,0,0,0,0,0.217504
-0.0939992,0.0949307,0.64759,0.030141,0.360491,0.561983,0,0,0,0,0,0.2165
-0.0910529,0.101387,0.655087,0.0307681,0.360763,0.562049,0,0,0,0,0,0.215538
-0.0910529,0.101387,0.655087,0.0313953,0.361034,0.562115,0,0,0,0,0,0.215017
-0.0889295,0.106043,0.659925,0.0320223,0.361304,0.56218,0,0,0,0,0,0.213996
-0.0889295,0.106043,0.659925,0.0326493,0.361573,0.562246,0,0,0,0,0,0.213471
-0.0889295,0.106043,0.659925,0.0332762,0.361841,0.562312,0,0,0,0,0,0.212453
-0.0866586,0.111009,0.664556,0.0339031,0.362108,0.562377,0,0,0,0,0,0.211437
-0.0866586,0.111009,0.664556,0.03453,0.362375,0.562442,0,0,0,0,0,0.210946
-0.0842347,0.116284,0.668913,0.0351568,0.36264,0.562508,0,0,0,0,0,0.209952
-0.0842347,0.116284,0.668913,0.0357835,0.362905,0.562573,0,0,0,0,0,0.209406
-0.0842347,0.116284,0.668913,0.0364102,0.363169,0.562639,0,0,0,0,0,0.2084
-0.0816618,0.121938,0.673035,0.0370368,0.363432,0.562704,0,0,0,0,0,0.207351
-0.0816618,0.121938,0.673035,0.0376634,0.363694,0.562769,0,0,0,0,0,0.206806
-0.0789316,0.127926,0.677181,0.0382899,0.363955,0.562834,0,0,0,0,0,0.205683
-0.0789316,0.127926,0.677181,0.0389163,0.364215,0.562899,0,0,0,0,0,0.20512
-0.0789316,0.127926,0.677181,0.0395427,0.364475,0.562965,0,0,0,0,0,0.20391
-0.0760526,0.13426,0.68141,0.040169,0.364733,0.56303,0,0,0,0,0,0.202658
-0.0760526,0.13426,0.68141,0.0407953,0.364991,0.563095,0,0,0,0,0,0.201967
-0.0730422,0.140896,0.685706,0.0414214,0.365247,0.56316,0,0,0,0,0,0.200609
-0.0730422,0.140896,0.685706,0.0420476,0.365503,0.563225,0,0,0,0,0,0.199946
-0.0730422,0.140896,0.685706,0.0426737,0.365758,0.563289,0,0,0,0,0,0.198519
-0.0698942,0.14777,0.690189,0.0432996,0.366011,0.563354,0,0,0,0,0,0.197015
-0.0698942,0.14777,0.690189,0.0439256,0.366265,0.563419,0,0,0,0,0,0.196235
-0.066598,0.154912,0.694804,0.0445514,0.366516,0.563484,0,0,0,0,0,0.194667
-0.066598,0.154912,0.694804,0.0451772,0.366768,0.563549,0,0,0,0,0,0.193895
-0.066598,0.154912,0.694804,0.0458029,0.367018,0.563613,0,0,0,0,0,0.19232
-0.063184,0.162242,0.699548,0.0464285,0.367267,0.563678,0,0,0,0,0,0.190745
-0.063184,0.162242,0.699548,0.0470542,0.367516,0.563742,0,0,0,0,0,0.189918
-0.0596361,0.16978,0.704493,0.0476796,0.367763,0.563807,0,0,0,0,0,0.188311
-0.0596361,0.16978,0.704493,0.048305,0.36801,0.563871,0,0,0,0,0,0.187539
-0.0596361,0.16978,0.704493,0.0489304,0.368256,0.563936,0,0,0,0,0,0.185932
-0.0559883,0.1775,0.709495,0.0495556,0.368501,0.564,0,0,0,0,0,0.184324
-0.0559883,0.1775,0.709495,0.0501809,0.368745,0.564065,0,0,0,0,0,0.183495
-0.0522377,0.185412,0.714601,0.0508059,0.368988,0.564129,0,0,0,0,0,0.181892
-0.0522377,0.185412,0.714601,0.051431,0.36923,0.564193,0,0,0,0,0,0.181098
-0.0522377,0.185412,0.714601,0.0520559,0.369471,0.564257,0,0,0,0,0,0.179492
-0.0483599,0.193509,0.719801,0.0526807,0.369711,0.564322,0,0,0,0,0,0.177901
-0.0483599,0.193509,0.719801,0.0533056,0.369951,0.564386,0,0,0,0,0,0.177107
-0.0443187,0.20183,0.724998,0.0539302,0.370189,0.56445,0,0,0,0,0,0.17549
-0.0443187,0.20183,0.724998,0.0545548,0.370427,0.564514,0,0,0,0,0,0.174652
-0.0443187,0.20183,0.724998,0.0551794,0.370664,0.564578,0,0,0,0,0,0.173022
-0.0401502,0.210248,0.73024,0.0558038,0.370899,0.564642,0,0,0,0,0,0.171376
-0.0401502,0.210248,0.73024,0.0564282,0.371135,0.564706,0,0,0,0,0,0.170574
-0.0380344,0.214507,0.732899,0.0570524,0.371368,0.564769,0,0,0,0,0,0.168891
-0.0380344,0.214507,0.732899,0.0576766,0.371601,0.564833,0,0,0,0,0,0.168033
-0.0380344,0.214507,0.732899,0.0583007,0.371833,0.564897,0,0,0,0,0,0.166344
-0.0315516,0.227396,0.74088,0.0589246,0.372064,0.564961,0,0,0,0,0,0.164667
-0.0315516,0.227396,0.74088,0.0595486,0.372295,0.565024,0,0,0,0,0,0.163808
-0.0271292,0.236028,0.746118,0.0601723,0.372523,0.565088,0,0,0,0,0,0.162115
-0.0271292,0.236028,0.746118,0.060796,0.372752,0.565152,0,0,0,0,0,0.161252
-0.0271292,0.236028,0.746118,0.0614197,0.37298,0.565215,0,0,0,0,0,0.159527
-0.02263,0.244622,0.751248,0.0620431,0.373206,0.565279,0,0,0,0,0,0.157812
-0.02263,0.244622,0.751248,0.0626666,0.373432,0.565342,0,0,0,0,0,0.156983
-0.0180524,0.253251,0.756246,0.0632899,0.373656,0.565405,0,0,0,0,0,0.155255
-0.0180524,0.253251,0.756246,0.0639131,0.37388,0.565469,0,0,0,0,0,0.154363
-0.0180524,0.253251,0.756246,0.0645362,0.374103,0.565532,0,0,0,0,0,0.152633
-0.0134167,0.261865,0.761106,0.0651592,0.374325,0.565595,0,0,0,0,0,0.150936
-0.0134167,0.261865,0.761106,0.0657822,0.374546,0.565659,0,0,0,0,0,0.150108
-0.00870069,0.27053,0.765837,0.0664049,0.374766,0.565722,0,0,0,0,0,0.148404
-0.00870069,0.27053,0.765837,0.0670276,0.374985,0.565785,0,0,0,0,0,0.147537
-0.00870069,0.27053,0.765837,0.0676502,0.375204,0.565848,0,0,0,0,0,0.145846
-0.00382087,0.279117,0.770426,0.0682727,0.375421,0.565911,0,0,0,0,0,0.144165
-0.00382087,0.279117,0.770426,0.0688952,0.375638,0.565974,0,0,0,0,0,0.143334
0.00109489,0.287698,0.774871,0.0695173,0.375853,0.566037,0,0,0,0,0,0.141681
0.00109489,0.287698,0.774871,0.0701395,0.376067,0.5661,0,0,0,0,0,0.140828
0.00109489,0.287698,0.774871,0.0707616,0.376281,0.566163,0,0,0,0,0,0.139163
0.00601627,0.296105,0.77911,0.0713835,0.376493,0.566225,0,0,0,0,0,0.137493
0.00601627,0.296105,0.77911,0.0720054,0.376706,0.566288,0,0,0,0,0,0.136661
0.011018,0.304409,0.783194,0.072627,0.376916,0.566351,0,0,0,0,0,0.134989
0.011018,0.304409,0.783194,0.0732486,0.377126,0.566413,0,0,0,0,0,0.134173
0.011018,0.304409,0.783194,0.0738701,0.377335,0.566476,0,0,0,0,0,0.132504
0.0160728,0.312569,0.787092,0.0744915,0.377543,0.566539,0,0,0,0,0,0.130823
0.0160728,0.312569,0.787092,0.0751128,0.377751,0.566601,0,0,0,0,0,0.129973
0.0211951,0.320638,0.790848,0.0757338,0.377956,0.566664,0,0,0,0,0,0.128294
0.0211951,0.320638,0.790848,0.0763549,0.378161,0.566726,0,0,0,0,0,0.126615
0.0211951,0.320638,0.790848,0.0769758,0.378366,0.566788,0,0,0,0,0,0.125804
0.0262838,0.328521,0.794463,0.0775965,0.378569,0.566851,0,0,0,0,0,0.124153
0.0262838,0.328521,0.794463,0.0782172,0.378772,0.566913,0,0,0,0,0,0.12329
0.0314089,0.336251,0.797963,0.0788377,0.378973,0.566975,0,0,0,0,0,0.121642
0.0314089,0.336251,0.797963,0.0794581,0.379174,0.567037,0,0,0,0,0,0.120843
