x,y,z,gx,gy,gz,motor0,motor1,motor2,motor3,target_yaw,yaw
0.0582483,0.0233149,0.635092,0,0.34641,0.558779,0,0,0,0,0,-0.107746
0.0582705,0.0232089,0.63468,0.000628318,0.346723,0.558846,0,0,0,0,0.184909,-0.107848
0.0582705,0.0232089,0.63468,0.00125664,0.347036,0.558914,0,0,0,0,0.369818,-0.108109
0.0582705,0.0232089,0.63468,0.00188495,0.347348,0.558982,0,0,0,0,0.461731,-0.10824
0.0582869,0.0228448,0.633215,0.00251326,0.347659,0.559049,0,0,0,0,0.460649,-0.108523
0.0582869,0.0228448,0.633215,0.00314157,0.34797,0.559117,0,0,0,0,0.459567,-0.108817
0.0582813,0.0227053,0.632707,0.00376987,0.348279,0.559184,0,0,0,0,0.458465,-0.108981
0.0582813,0.0227053,0.632707,0.00439817,0.348588,0.559252,0,0,0,0,0.457364,-0.109213
0.0582813,0.0227053,0.632707,0.00502646,0.348896,0.559319,0,0,0,0,0.456264,-0.109303
0.0582357,0.0222847,0.631488,0.00565474,0.349202,0.559387,0,0,0,0,0.455167,-0.109464
0.0582357,0.0222847,0.631488,0.00628302,0.349509,0.559454,0,0,0,0,0.45407,-0.10955
0.0582136,0.0221451,0.631252,0.00691128,0.349813,0.559521,0,0,0,0,0.452959,-0.109576
0.0582136,0.0221451,0.631252,0.00753953,0.350118,0.559589,0,0,0,0,0.451848,-0.109575
0.0582136,0.0221451,0.631252,0.00816777,0.350421,0.559656,0,0,0,0,0.450743,-0.109564
0.058095,0.0217568,0.631284,0.008796,0.350724,0.559723,0,0,0,0,0.449643,-0.109509
0.058095,0.0217568,0.631284,0.00942422,0.351026,0.55979,0,0,0,0,0.448542,-0.109359
0.0580446,0.0216504,0.631542,0.0100524,0.351326,0.559858,0,0,0,0,0.447429,-0.109265
0.0580446,0.0216504,0.631542,0.0106806,0.351626,0.559925,0,0,0,0,0.446315,-0.109018
0.0580446,0.0216504,0.631542,0.0113088,0.351925,0.559992,0,0,0,0,0.4452,-0.108902
0.0578682,0.0214107,0.6332,0.0119369,0.352223,0.560059,0,0,0,0,0.444084,-0.108599
0.0578682,0.0214107,0.6332,0.012565,0.352521,0.560126,0,0,0,0,0.442969,-0.108239
0.0577939,0.0213436,0.634058,0.0131931,0.352817,0.560193,0,0,0,0,0.441852,-0.108017
0.0577939,0.0213436,0.634058,0.0138212,0.353113,0.56026,0,0,0,0,0.440735,-0.107597
0.0577939,0.0213436,0.634058,0.0144493,0.353408,0.560326,0,0,0,0,0.439611,-0.107404
0.0575451,0.0212012,0.637505,0.0150773,0.353701,0.560393,0,0,0,0,0.43848,-0.106949
0.0575451,0.0212012,0.637505,0.0157054,0.353995,0.56046,0,0,0,0,0.437348,-0.106504
0.0574609,0.0211753,0.638894,0.0163334,0.354287,0.560527,0,0,0,0,0.436228,-0.106279
0.0574609,0.0211753,0.638894,0.0169613,0.354578,0.560593,0,0,0,0,0.435107,-0.105831
0.0574609,0.0211753,0.638894,0.0175893,0.354868,0.56066,0,0,0,0,0.43398,-0.105613
0.0572809,0.0212256,0.643797,0.0182172,0.355158,0.560726,0,0,0,0,0.432846,-0.105169
0.0572809,0.0212256,0.643797,0.0188451,0.355447,0.560793,0,0,0,0,0.431711,-0.104704
0.0572402,0.0212757,0.645654,0.0194729,0.355734,0.56086,0,0,0,0,0.430575,-0.104473
0.0572402,0.0212757,0.645654,0.0201008,0.356021,0.560926,0,0,0,0,0.429438,-0.104031
0.0572402,0.0212757,0.645654,0.0207286,0.356307,0.560992,0,0,0,0,0.428301,-0.103822
0.0571526,0.0215346,0.651724,0.0213563,0.356592,0.561059,0,0,0,0,0.427163,-0.103403
0.0571526,0.0215346,0.651724,0.0219841,0.356877,0.561125,0,0,0,0,0.426025,-0.103001
0.0571524,0.0216634,0.653847,0.0226117,0.357159,0.561191,0,0,0,0,0.424879,-0.102779
0.0571524,0.0216634,0.653847,0.0232394,0.357442,0.561258,0,0,0,0,0.423733,-0.102391
0.0571524,0.0216634,0.653847,0.023867,0.357724,0.561324,0,0,0,0,0.422586,-0.102241
0.0572901,0.0222536,0.660456,0.0244946,0.358004,0.56139,0,0,0,0,0.421438,-0.101867
0.0572901,0.0222536,0.660456,0.0251222,0.358285,0.561456,0,0,0,0,0.42029,-0.101511
0.0573864,0.0225049,0.662708,0.0257496,0.358563,0.561522,0,0,0,0,0.41914,-0.101311
0.0573864,0.0225049,0.662708,0.0263771,0.358841,0.561588,0,0,0,0,0.417991,-0.100959
0.0573864,0.0225049,0.662708,0.0270045,0.359118,0.561654,0,0,0,0,0.416837,-0.100798
0.0578464,0.0234696,0.669653,0.0276319,0.359394,0.56172,0,0,0,0,0.415679,-0.100438
0.0578464,0.0234696,0.669653,0.0282593,0.359671,0.561786,0,0,0,0,0.414522,-0.100077
0.058049,0.0238491,0.672013,0.0288865,0.359944,0.561852,0,0,0,0,0.413361,-0.0998955
0.058049,0.0238491,0.672013,0.0295138,0.360218,0.561918,0,0,0,0,0.412201,-0.0995413
0.058546,0.0247366,0.676827,0.030141,0.360491,0.561983,0,0,0,0,0.411037,-0.0991642
0.058546,0.0247366,0.676827,0.0307681,0.360763,0.562049,0,0,0,0,0.40987,-0.0989612
0.058546,0.0247366,0.676827,0.0313953,0.361034,0.562115,0,0,0,0,0.408702,-0.0985832
0.0591936,0.0257864,0.681646,0.0320223,0.361304,0.56218,0,0,0,0,0.407538,-0.0984362
0.0591936,0.0257864,0.681646,0.0326493,0.361573,0.562246,0,0,0,0,0.406373,-0.0980747
0.0591936,0.0257864,0.681646,0.0332762,0.361841,0.562312,0,0,0,0,0.405202,-0.0978823
0.0604031,0.0276753,0.688886,0.0339031,0.362108,0.562377,0,0,0,0,0.404023,-0.0975554
0.0604031,0.0276753,0.688886,0.03453,0.362375,0.562442,0,0,0,0,0.402845,-0.0971844
0.060861,0.0283716,0.691275,0.0351568,0.36264,0.562508,0,0,0,0,0.401671,-0.0970655
0.060861,0.0283716,0.691275,0.0357835,0.362905,0.562573,0,0,0,0,0.400497,-0.0966912
0.060861,0.0283716,0.691275,0.0364102,0.363169,0.562639,0,0,0,0,0.399319,-0.0964451
0.0624318,0.0307385,0.698455,0.0370368,0.363432,0.562704,0,0,0,0,0.398136,-0.0960082
0.0624318,0.0307385,0.698455,0.0376634,0.363694,0.562769,0,0,0,0,0.396954,-0.0954961
0.0630198,0.0316232,0.700891,0.0382899,0.363955,0.562834,0,0,0,0,0.395769,-0.0952525
0.0630198,0.0316232,0.700891,0.0389163,0.364215,0.562899,0,0,0,0,0.394583,-0.0945893
0.0630198,0.0316232,0.700891,0.0395427,0.364475,0.562965,0,0,0,0,0.393394,-0.0942137
0.0649889,0.0346037,0.708483,0.040169,0.364733,0.56303,0,0,0,0,0.392202,-0.0934618
0.0649889,0.0346037,0.708483,0.0407953,0.364991,0.563095,0,0,0,0,0.391009,-0.0926167
0.0657292,0.0357099,0.71108,0.0414214,0.365247,0.56316,0,0,0,0,0.389813,-0.0921576
0.0657292,0.0357099,0.71108,0.0420476,0.365503,0.563225,0,0,0,0,0.388617,-0.0911698
0.0657292,0.0357099,0.71108,0.0426737,0.365758,0.563289,0,0,0,0,0.387424,-0.090666
0.0681367,0.0393576,0.719217,0.0432996,0.366011,0.563354,0,0,0,0,0.386233,-0.0895943
0.0681367,0.0393576,0.719217,0.0439256,0.366265,0.563419,0,0,0,0,0.385042,-0.0884547
0.069008,0.0406869,0.721991,0.0445514,0.366516,0.563484,0,0,0,0,0.383835,-0.0878827
0.069008,0.0406869,0.721991,0.0451772,0.366768,0.563549,0,0,0,0,0.382629,-0.0866923
0.069008,0.0406869,0.721991,0.0458029,0.367018,0.563613,0,0,0,0,0.381419,-0.0860763
0.0718692,0.0450348,0.730722,0.0464285,0.367267,0.563678,0,0,0,0,0.380204,-0.0848331
0.0718692,0.0450348,0.730722,0.0470542,0.367516,0.563742,0,0,0,0,0.378988,-0.0835626
0.0728874,0.0465903,0.733704,0.0476796,0.367763,0.563807,0,0,0,0,0.377783,-0.082918
0.0728874,0.0465903,0.733704,0.048305,0.36801,0.563871,0,0,0,0,0.376578,-0.0816107
0.0728874,0.0465903,0.733704,0.0489304,0.368256,0.563936,0,0,0,0,0.375369,-0.0809673
0.0761127,0.0516139,0.742882,0.0495556,0.368501,0.564,0,0,0,0,0.374157,-0.0796493
0.0761127,0.0516139,0.742882,0.0501809,0.368745,0.564065,0,0,0,0,0.372944,-0.0783021
0.0772351,0.0533899,0.745976,0.0508059,0.368988,0.564129,0,0,0,0,0.371709,-0.0776286
0.0772351,0.0533899,0.745976,0.051431,0.36923,0.564193,0,0,0,0,0.370474,-0.0762945
0.0772351,0.0533899,0.745976,0.0520559,0.369471,0.564257,0,0,0,0,0.36925,-0.0756279
0.0807732,0.0591195,0.755434,0.0526807,0.369711,0.564322,0,0,0,0,0.368039,-0.074294
0.0807732,0.0591195,0.755434,0.0533056,0.369951,0.564386,0,0,0,0,0.366828,-0.0729517
0.0820094,0.0611648,0.758649,0.0539302,0.370189,0.56445,0,0,0,0,0.365594,-0.0723025
0.0820094,0.0611648,0.758649,0.0545548,0.370427,0.564514,0,0,0,0,0.364361,-0.070987
0.0845826,0.0654731,0.765196,0.0551794,0.370664,0.564578,0,0,0,0,0.363126,-0.0703262
0.0845826,0.0654731,0.765196,0.0558038,0.370899,0.564642,0,0,0,0,0.36189,-0.0690085
0.0845826,0.0654731,0.765196,0.0564282,0.371135,0.564706,0,0,0,0,0.360655,-0.0677118
0.0872526,0.0700475,0.77186,0.0570524,0.371368,0.564769,0,0,0,0,0.359416,-0.0670552
0.0872526,0.0700475,0.77186,0.0576766,0.371601,0.564833,0,0,0,0,0.358177,-0.0657523
0.0872526,0.0700475,0.77186,0.0583007,0.371833,0.564897,0,0,0,0,0.356937,-0.0651151
0.0914114,0.0774076,0.781877,0.0589246,0.372064,0.564961,0,0,0,0,0.355696,-0.0638288
0.0914114,0.0774076,0.781877,0.0595486,0.372295,0.565024,0,0,0,0,0.354456,-0.0625371
0.0928358,0.0799843,0.785186,0.0601723,0.372523,0.565088,0,0,0,0,0.353206,-0.0618768
0.0928358,0.0799843,0.785186,0.060796,0.372752,0.565152,0,0,0,0,0.351956,-0.0606179
0.0928358,0.0799843,0.785186,0.0614196,0.37298,0.565215,0,0,0,0,0.350702,-0.0600278
0.0972346,0.0881316,0.79515,0.0620431,0.373206,0.565279,0,0,0,0,0.349443,-0.0587833
