x,y,z,gx,gy,gz,motor0,motor1,motor2,motor3,target_yaw,yaw
0.0298986,0.0184083,0.538905,0,0.34641,0.558779,0,0,0,0,0,0.0237217
0.0298986,0.0184083,0.538905,0.000628318,0.346723,0.558846,0,0,0,0,0.184909,0.0234655
0.0300984,0.018215,0.538814,0.00125664,0.347036,0.558914,0,0,0,0,0.369818,0.0232902
0.0300984,0.018215,0.538814,0.00188495,0.347348,0.558982,0,0,0,0,0.461731,0.0232223
0.0300984,0.018215,0.538814,0.00251326,0.347659,0.559049,0,0,0,0,0.460649,0.0230362
0.0307292,0.0176617,0.538615,0.00314157,0.34797,0.559117,0,0,0,0,0.459567,0.0228548
0.0307292,0.0176617,0.538615,0.00376987,0.348279,0.559184,0,0,0,0,0.458465,0.0227573
0.0309391,0.0175057,0.538647,0.00439817,0.348588,0.559252,0,0,0,0,0.457364,0.0225417
0.0309391,0.0175057,0.538647,0.00502646,0.348896,0.559319,0,0,0,0,0.456264,0.0225417
0.0309391,0.0175057,0.538647,0.00565474,0.349202,0.559387,0,0,0,0,0.455167,0.0224253
0.0315706,0.0172263,0.539298,0.00628302,0.349509,0.559454,0,0,0,0,0.45407,0.0223373
0.0315706,0.0172263,0.539298,0.00691128,0.349813,0.559521,0,0,0,0,0.452959,0.0223004
0.0317989,0.017218,0.539675,0.00753953,0.350118,0.559589,0,0,0,0,0.451848,0.0222216
0.0317989,0.017218,0.539675,0.00816777,0.350421,0.559656,0,0,0,0,0.450743,0.0222216
0.0317989,0.017218,0.539675,0.008796,0.350724,0.559723,0,0,0,0,0.449643,0.0221858
0.0324963,0.0173807,0.541504,0.00942422,0.351026,0.55979,0,0,0,0,0.448542,0.0221897
0.0324963,0.0173807,0.541504,0.0100524,0.351326,0.559858,0,0,0,0,0.447429,0.02223
0.0327439,0.0175154,0.542345,0.0106806,0.351626,0.559925,0,0,0,0,0.446315,0.0221405
0.0327439,0.0175154,0.542345,0.0113088,0.351925,0.559992,0,0,0,0,0.4452,0.0221405
0.0327439,0.0175154,0.542345,0.0119369,0.352223,0.560059,0,0,0,0,0.444084,0.0220937
0.0335134,0.0181919,0.545703,0.012565,0.352521,0.560126,0,0,0,0,0.442969,0.0220289
0.0335134,0.0181919,0.545703,0.0131931,0.352817,0.560193,0,0,0,0,0.441852,0.0219678
0.0337857,0.0185224,0.547029,0.0138212,0.353113,0.56026,0,0,0,0,0.440735,0.0218257
0.0337857,0.0185224,0.547029,0.0144493,0.353408,0.560326,0,0,0,0,0.439611,0.0217585
0.0337857,0.0185224,0.547029,0.0150773,0.353701,0.560393,0,0,0,0,0.43848,0.0215741
0.0346936,0.0198506,0.551655,0.0157054,0.353995,0.56046,0,0,0,0,0.437348,0.0213634
0.0346936,0.0198506,0.551655,0.0163334,0.354287,0.560527,0,0,0,0,0.436228,0.0212465
0.0350273,0.0204137,0.553374,0.0169613,0.354578,0.560593,0,0,0,0,0.435107,0.0208578
0.0350273,0.0204137,0.553374,0.0175893,0.354868,0.56066,0,0,0,0,0.43398,0.0208578
0.0350273,0.0204137,0.553374,0.0182172,0.355158,0.560726,0,0,0,0,0.432846,0.0205682
0.0361267,0.0224738,0.559055,0.0188451,0.355447,0.560793,0,0,0,0,0.431711,0.0202788
0.0361267,0.0224738,0.559055,0.0194729,0.355734,0.56086,0,0,0,0,0.430575,0.0201067
0.0365191,0.0232863,0.561068,0.0201008,0.356021,0.560926,0,0,0,0,0.429438,0.0197778
0.0365191,0.0232863,0.561068,0.0207286,0.356307,0.560992,0,0,0,0,0.428301,0.0196228
0.0365191,0.0232863,0.561068,0.0213563,0.356592,0.561059,0,0,0,0,0.427163,0.0192506
0.037827,0.0261462,0.567477,0.0219841,0.356877,0.561125,0,0,0,0,0.426025,0.0188661
0.037827,0.0261462,0.567477,0.0226117,0.357159,0.561191,0,0,0,0,0.424879,0.0186497
0.038297,0.0272399,0.569714,0.0232394,0.357442,0.561258,0,0,0,0,0.423733,0.0182401
0.038297,0.0272399,0.569714,0.023867,0.357724,0.561324,0,0,0,0,0.422586,0.0180402
