x,y,z,gx,gy,gz,motor0,motor1,motor2,motor3,target_yaw,yaw
-0.0240235,-0.0145054,1.92348,0,0,2.2,0,0,0,0,0,-0.0298503
-0.0251456,-0.013903,1.92692,-0.00079971,0.00239914,2.20038,0,0,0,0,0,-0.0298231
-0.0251456,-0.013903,1.92692,-0.00159942,0.00479829,2.20075,0,0,0,0,0,-0.0298087
-0.0251456,-0.013903,1.92692,-0.0023991,0.0071974,2.20113,0,0,0,0,0,-0.0297933
-0.0262078,-0.0132876,1.9303,-0.00319876,0.00959647,2.20151,0,0,0,0,0,-0.0297707
-0.0262078,-0.0132876,1.9303,-0.00399841,0.0119955,2.20188,0,0,0,0,0,-0.0297433
-0.0268742,-0.0128691,1.93252,-0.00479796,0.0143945,2.20226,0,0,0,0,0,-0.0297408
-0.0268742,-0.0128691,1.93252,-0.0055975,0.0167934,2.20264,0,0,0,0,0,-0.0297219
-0.0268742,-0.0128691,1.93252,-0.00639696,0.0191922,2.20302,0,0,0,0,0,-0.029712
-0.0278118,-0.0122504,1.93596,-0.00719634,0.021591,2.20339,0,0,0,0,0,-0.0296948
-0.0278118,-0.0122504,1.93596,-0.00799572,0.0239897,2.20377,0,0,0,0,0,-0.0296886
-0.0284009,-0.0118391,1.93852,-0.00879487,0.0263881,2.20415,0,0,0,0,0,-0.0296786
-0.0284009,-0.0118391,1.93852,-0.00959403,0.0287865,2.20452,0,0,0,0,0,-0.0296786
-0.0284009,-0.0118391,1.93852,-0.0103931,0.0311848,2.2049,0,0,0,0,0,-0.0296488
-0.0292144,-0.0112314,1.94276,-0.0111919,0.0335829,2.20528,0,0,0,0,0,-0.0296488
-0.0292144,-0.0112314,1.94276,-0.0119908,0.035981,2.20565,0,0,0,0,0,-0.0296133
-0.0297146,-0.0108264,1.94588,-0.0127894,0.0383786,2.20603,0,0,0,0,0,-0.0295988
-0.0297146,-0.0108264,1.94588,-0.0135879,0.0407763,2.20641,0,0,0,0,0,-0.0295988
-0.0297146,-0.0108264,1.94588,-0.0143863,0.0431737,2.20679,0,0,0,0,0,-0.0295666
-0.0297146,-0.0108264,1.94588,-0.0151844,0.0455708,2.20716,0,0,0,0,0,-0.0295539
-0.0303927,-0.0101909,1.95123,-0.0159826,0.047968,2.20754,0,0,0,0,0,-0.0295332
-0.0303927,-0.0101909,1.95123,-0.0167803,0.0503646,2.20792,0,0,0,0,0,-0.0295039
-0.0306026,-0.00997562,1.95317,-0.017578,0.0527612,2.20829,0,0,0,0,0,-0.0294689
-0.0306026,-0.00997562,1.95317,-0.0183755,0.0551574,2.20867,0,0,0,0,0,-0.0294309
-0.0306026,-0.00997562,1.95317,-0.0191727,0.0575534,2.20905,0,0,0,0,0,-0.0293844
-0.0313405,-0.0090378,1.96165,-0.01997,0.0599493,2.20942,0,0,0,0,0,-0.0293347
-0.0313405,-0.0090378,1.96165,-0.0207666,0.0623446,2.2098,0,0,0,0,0,-0.0293347
-0.0316321,-0.00852168,1.96624,-0.0215633,0.0647398,2.21018,0,0,0,0,0,-0.0292237
-0.0316321,-0.00852168,1.96624,-0.0223597,0.0671347,2.21055,0,0,0,0,0,-0.0291694
-0.0316321,-0.00852168,1.96624,-0.0231557,0.0695291,2.21093,0,0,0,0,0,-0.029115
-0.031991,-0.00769965,1.97346,-0.0239518,0.0719236,2.21131,0,0,0,0,0,-0.029115
-0.031991,-0.00769965,1.97346,-0.0247472,0.0743172,2.21168,0,0,0,0,0,-0.0289991
-0.031991,-0.00769965,1.97346,-0.0255426,0.0767108,2.21206,0,0,0,0,0,-0.0289991
-0.0321706,-0.00710814,1.9785,-0.0263376,0.0791039,2.21244,0,0,0,0,0,-0.0289384
-0.0321706,-0.00710814,1.9785,-0.0271323,0.0814966,2.21281,0,0,0,0,0,-0.0288758
-0.0321706,-0.00710814,1.9785,-0.027927,0.0838893,2.21319,0,0,0,0,0,-0.0287708
-0.0323597,-0.00614988,1.98617,-0.0287209,0.086281,2.21357,0,0,0,0,0,-0.0287034
-0.0323597,-0.00614988,1.98617,-0.0295148,0.0886727,2.21394,0,0,0,0,0,-0.0286679
-0.0324435,-0.00546781,1.99124,-0.0303083,0.0910638,2.21432,0,0,0,0,0,-0.0285959
-0.0324435,-0.00546781,1.99124,-0.0311014,0.0934545,2.2147,0,0,0,0,0,-0.0285209
-0.0324435,-0.00546781,1.99124,-0.0318945,0.0958451,2.21507,0,0,0,0,0,-0.0285209
-0.0324663,-0.00472726,1.99639,-0.0326867,0.0982346,2.21545,0,0,0,0,0,-0.0283928
-0.0324663,-0.00472726,1.99639,-0.0334789,0.100624,2.21583,0,0,0,0,0,-0.0283189
-0.0324663,-0.00472726,1.99639,-0.0342707,0.103013,2.2162,0,0,0,0,0,-0.0283189
-0.032432,-0.00354296,2.00395,-0.0350619,0.105401,2.21658,0,0,0,0,0,-0.0281594
-0.032432,-0.00354296,2.00395,-0.0358532,0.10779,2.21696,0,0,0,0,0,-0.0281594
-0.032432,-0.00354296,2.00395,-0.0366435,0.110177,2.21733,0,0,0,0,0,-0.0280829
-0.0323048,-0.00225354,2.01129,-0.0374337,0.112564,2.21771,0,0,0,0,0,-0.0280031
-0.0323048,-0.00225354,2.01129,-0.0382235,0.11495,2.21808,0,0,0,0,0,-0.0278926
-0.0323048,-0.00225354,2.01129,-0.0390127,0.117336,2.21846,0,0,0,0,0,-0.0278926
-0.0322511,-0.00180397,2.01374,-0.0398019,0.119721,2.21884,0,0,0,0,0,-0.027777
-0.0322511,-0.00180397,2.01374,-0.0405901,0.122105,2.21921,0,0,0,0,0,-0.027777
-0.0322511,-0.00180397,2.01374,-0.0413782,0.12449,2.21959,0,0,0,0,0,-0.0276921
-0.0319201,0.000147511,2.0233,-0.0421657,0.126873,2.21997,0,0,0,0,0,-0.0276921
-0.0319201,0.000147511,2.0233,-0.0429527,0.129256,2.22034,0,0,0,0,0,-0.0275783
-0.0319201,0.000147511,2.0233,-0.0437397,0.131639,2.22072,0,0,0,0,0,-0.0275368
-0.0317312,0.0012212,2.02779,-0.0445254,0.13402,2.22109,0,0,0,0,0,-0.027447
-0.0317312,0.0012212,2.02779,-0.0453112,0.136401,2.22147,0,0,0,0,0,-0.0273578
-0.0317312,0.0012212,2.02779,-0.0460963,0.138782,2.22185,0,0,0,0,0,-0.0272689
-0.0317312,0.0012212,2.02779,-0.0468808,0.141161,2.22222,0,0,0,0,0,-0.0272689
-0.0314198,0.00294057,2.03421,-0.0476653,0.143541,2.2226,0,0,0,0,0,-0.0271747
-0.0314198,0.00294057,2.03421,-0.0484485,0.145919,2.22297,0,0,0,0,0,-0.0270197
-0.0311943,0.00417693,2.03844,-0.0492316,0.148296,2.22335,0,0,0,0,0,-0.0269672
-0.0311943,0.00417693,2.03844,-0.0500141,0.150673,2.22373,0,0,0,0,0,-0.0269123
-0.0311943,0.00417693,2.03844,-0.0507959,0.15305,2.2241,0,0,0,0,0,-0.0267487
-0.0308689,0.00618502,2.04489,-0.0515777,0.155426,2.22448,0,0,0,0,0,-0.0267487
-0.0308689,0.00618502,2.04489,-0.0523581,0.1578,2.22485,0,0,0,0,0,-0.0265586
-0.0308689,0.00618502,2.04489,-0.0531384,0.160174,2.22523,0,0,0,0,0,-0.0264939
-0.0308689,0.00618502,2.04489,-0.0539181,0.162547,2.2256,0,0,0,0,0,-0.0264939
-0.030654,0.00762036,2.04932,-0.054697,0.16492,2.22598,0,0,0,0,0,-0.0262423
-0.030654,0.00762036,2.04932,-0.0554758,0.167292,2.22636,0,0,0,0,0,-0.0262423
-0.030654,0.00762036,2.04932,-0.0562532,0.169663,2.22673,0,0,0,0,0,-0.0262423
-0.0304423,0.00920781,2.05387,-0.0570305,0.172033,2.22711,0,0,0,0,0,-0.0259458
-0.0304423,0.00920781,2.05387,-0.0578071,0.174402,2.22748,0,0,0,0,0,-0.0258658
-0.0304423,0.00920781,2.05387,-0.0585828,0.176771,2.22786,0,0,0,0,0,-0.0258658
-0.0302304,0.0108762,2.05853,-0.0593586,0.179139,2.22823,0,0,0,0,0,-0.0257067
-0.0302304,0.0108762,2.05853,-0.0601327,0.181505,2.22861,0,0,0,0,0,-0.0255404
-0.0302304,0.0108762,2.05853,-0.0609068,0.183871,2.22898,0,0,0,0,0,-0.0253711
-0.0299449,0.0136701,2.06565,-0.06168,0.186236,2.22936,0,0,0,0,0,-0.0251952
-0.0299449,0.0136701,2.06565,-0.0624524,0.1886,2.22973,0,0,0,0,0,-0.0251952
-0.0299449,0.0136701,2.06565,-0.0632248,0.190964,2.23011,0,0,0,0,0,-0.025019
-0.0297596,0.0157027,2.0705,-0.0639955,0.193326,2.23048,0,0,0,0,0,-0.0248343
-0.0297596,0.0157027,2.0705,-0.0647662,0.195688,2.23086,0,0,0,0,0,-0.0246373
-0.0297596,0.0157027,2.0705,-0.0655359,0.198049,2.23123,0,0,0,0,0,-0.0244263
-0.0294963,0.019018,2.07786,-0.0663047,0.200408,2.23161,0,0,0,0,0,-0.0242184
-0.0294963,0.019018,2.07786,-0.0670736,0.202767,2.23198,0,0,0,0,0,-0.0242184
-0.0294963,0.019018,2.07786,-0.0678406,0.205124,2.23236,0,0,0,0,0,-0.0238838
-0.0292985,0.0227126,2.08533,-0.0686075,0.207482,2.23273,0,0,0,0,0,-0.023657
-0.0292985,0.0227126,2.08533,-0.0693736,0.209837,2.23311,0,0,0,0,0,-0.023427
-0.0292985,0.0227126,2.08533,-0.0701386,0.212192,2.23348,0,0,0,0,0,-0.023427
-0.0291905,0.0253158,2.09029,-0.0709037,0.214546,2.23386,0,0,0,0,0,-0.0230725
-0.0291905,0.0253158,2.09029,-0.0716668,0.216898,2.23423,0,0,0,0,0,-0.0230725
-0.0291905,0.0253158,2.09029,-0.0724299,0.21925,2.23461,0,0,0,0,0,-0.0226812
-0.0290627,0.0295797,2.09772,-0.0731919,0.221601,2.23498,0,0,0,0,0,-0.0224141
-0.0290627,0.0295797,2.09772,-0.073953,0.223951,2.23535,0,0,0,0,0,-0.0222716
-0.0290627,0.0295797,2.09772,-0.0747141,0.2263,2.23573,0,0,0,0,0,-0.0222716
-0.0290171,0.0326012,2.10261,-0.0754731,0.228647,2.2361,0,0,0,0,0,-0.021999
-0.0290171,0.0326012,2.10261,-0.076232,0.230993,2.23648,0,0,0,0,0,-0.0217213
-0.0290171,0.0326012,2.10261,-0.07699,0.233339,2.23685,0,0,0,0,0,-0.0217213
-0.0290171,0.0326012,2.10261,-0.0777468,0.235683,2.23723,0,0,0,0,0,-0.0212952
