x,y,z,gx,gy,gz,motor0,motor1,motor2,motor3,target_yaw,yaw
0.0295174,0.0261599,0.723169,0,0,3,0,0,0,0,1.10715,0.00230369
0.0295789,0.0270647,0.726229,0.00188496,0.00376991,3.00063,0,0,0,0,1.10715,0.00228674
0.0295789,0.0270647,0.726229,0.00376991,0.00753979,3.00126,0,0,0,0,1.10714,0.00228674
0.0295789,0.0270647,0.726229,0.00565485,0.0113096,3.00188,0,0,0,0,1.10714,0.00227979
0.0296146,0.0276298,0.728248,0.00753979,0.0150794,3.00251,0,0,0,0,1.10713,0.0022708
0.0296146,0.0276298,0.728248,0.00942472,0.0188491,3.00314,0,0,0,0,1.10713,0.00227026
0.0296146,0.0276298,0.728248,0.0113096,0.0226186,3.00377,0,0,0,0,1.10711,0.00226303
0.0296553,0.0284175,0.732007,0.0131945,0.026388,3.0044,0,0,0,0,1.1071,0.00224979
0.0296553,0.0284175,0.732007,0.0150794,0.0301573,3.00503,0,0,0,0,1.10709,0.002235
0.0296825,0.0288897,0.736065,0.0169642,0.0339263,3.00565,0,0,0,0,1.10707,0.0022288
0.0296825,0.0288897,0.736065,0.0188491,0.0376951,3.00628,0,0,0,0,1.10705,0.00221488
0.0296938,0.0295316,0.74525,0.0207339,0.0414637,3.00691,0,0,0,0,1.10703,0.00220983
0.0296938,0.0295316,0.74525,0.0226186,0.0452321,3.00754,0,0,0,0,1.10701,0.00220107
0.0296938,0.0295316,0.74525,0.0245033,0.0490001,3.00817,0,0,0,0,1.10699,0.0021888
0.0296749,0.0300906,0.758331,0.026388,0.0527679,3.0088,0,0,0,0,1.10696,0.00218399
0.0296749,0.0300906,0.758331,0.0282727,0.0565353,3.00942,0,0,0,0,1.10694,0.00216969
0.0296749,0.0300906,0.758331,0.0301573,0.0603023,3.01005,0,0,0,0,1.10691,0.00215855
0.0296622,0.0304094,0.76946,0.0320418,0.064069,3.01068,0,0,0,0,1.10687,0.00214788
0.0296622,0.0304094,0.76946,0.0339263,0.0678353,3.01131,0,0,0,0,1.10684,0.00211953
0.0296399,0.030849,0.789601,0.0358107,0.0716011,3.01194,0,0,0,0,1.10681,0.00206451
0.0296399,0.030849,0.789601,0.0376951,0.0753665,3.01257,0,0,0,0,1.10677,0.00204466
0.0296227,0.0312457,0.814044,0.0395795,0.0791314,3.01319,0,0,0,0,1.10673,0.00201929
0.0296227,0.0312457,0.814044,0.0414637,0.0828958,3.01382,0,0,0,0,1.10669,0.00199655
0.0296041,0.0314822,0.833175,0.0433479,0.0866597,3.01445,0,0,0,0,1.10665,0.00197422
0.0296041,0.0314822,0.833175,0.0452321,0.090423,3.01508,0,0,0,0,1.1066,0.00195472
0.0296041,0.0314822,0.833175,0.0471161,0.0941858,3.01571,0,0,0,0,1.10656,0.00194402
0.0295897,0.031849,0.864891,0.0490001,0.097948,3.01633,0,0,0,0,1.10651,0.00190965
0.0295897,0.031849,0.864891,0.050884,0.10171,3.01696,0,0,0,0,1.10646,0.00190965
0.0295897,0.031849,0.864891,0.0527679,0.10547,3.01759,0,0,0,0,1.1064,0.00188109
0.0295794,0.0321214,0.888658,0.0546516,0.109231,3.01822,0,0,0,0,1.10635,0.00183028
0.0295794,0.0321214,0.888658,0.0565353,0.11299,3.01885,0,0,0,0,1.10629,0.00178768
0.0295794,0.0321214,0.888658,0.0584188,0.116749,3.01947,0,0,0,0,1.10624,0.00178768
0.0295827,0.0324092,0.913973,0.0603023,0.120507,3.0201,0,0,0,0,1.10618,0.0017719
0.0295827,0.0324092,0.913973,0.0621857,0.124264,3.02073,0,0,0,0,1.10611,0.00171569
0.0295947,0.0327267,0.941405,0.064069,0.128021,3.02136,0,0,0,0,1.10605,0.00168108
0.0295947,0.0327267,0.941405,0.0659522,0.131777,3.02198,0,0,0,0,1.10599,0.00164661
0.0295947,0.0327267,0.941405,0.0678353,0.135532,3.02261,0,0,0,0,1.10592,0.00162453
0.0296433,0.0332612,0.98553,0.0697182,0.139286,3.02324,0,0,0,0,1.10585,0.00160842
0.0296433,0.0332612,0.98553,0.0716011,0.143039,3.02387,0,0,0,0,1.10578,0.0015518
0.0297332,0.0338875,1.03319,0.0734838,0.146791,3.02449,0,0,0,0,1.1057,0.00151875
0.0297332,0.0338875,1.03319,0.0753665,0.150543,3.02512,0,0,0,0,1.10563,0.00148654
0.0298099,0.0343765,1.06682,0.077249,0.154293,3.02575,0,0,0,0,1.10555,0.00141173
0.0299645,0.0351875,1.11906,0.0791314,0.158042,3.02638,0,0,0,0,1.10547,0.00134727
0.0299645,0.0351875,1.11906,0.0810136,0.161791,3.027,0,0,0,0,1.10539,0.00130861
0.0300896,0.0357926,1.15548,0.0828958,0.165538,3.02763,0,0,0,0,1.10531,0.00129221
0.0300896,0.0357926,1.15548,0.0847778,0.169285,3.02826,0,0,0,0,1.10522,0.00123868
0.0300896,0.0357926,1.15548,0.0866597,0.17303,3.02889,0,0,0,0,1.10514,0.00121273
0.0303296,0.0368059,1.21238,0.0885414,0.176774,3.02951,0,0,0,0,1.10505,0.00118271
0.0303296,0.0368059,1.21238,0.090423,0.180517,3.03014,0,0,0,0,1.10496,0.00116365
0.0303296,0.0368059,1.21238,0.0923045,0.184259,3.03077,0,0,0,0,1.10486,0.00110682
0.0305317,0.037549,1.25139,0.0941858,0.188,3.0314,0,0,0,0,1.10477,0.00107122
0.0305317,0.037549,1.25139,0.0960669,0.191739,3.03202,0,0,0,0,1.10467,0.00104064
0.0307827,0.0383599,1.29182,0.097948,0.195478,3.03265,0,0,0,0,1.10457,0.00100134
0.0307827,0.0383599,1.29182,0.0998288,0.199215,3.03328,0,0,0,0,1.10447,0.000946821
0.0307827,0.0383599,1.29182,0.10171,0.202951,3.0339,0,0,0,0,1.10437,0.000898656
0.0314259,0.040189,1.37623,0.10359,0.206685,3.03453,0,0,0,0,1.10426,0.000847062
0.0314259,0.040189,1.37623,0.10547,0.210419,3.03516,0,0,0,0,1.10416,0.000797445
0.0316159,0.0406868,1.39787,0.107351,0.214151,3.03578,0,0,0,0,1.10405,0.000748641
0.0316159,0.0406868,1.39787,0.109231,0.217881,3.03641,0,0,0,0,1.10394,0.000748641
0.0316159,0.0406868,1.39787,0.111111,0.221611,3.03704,0,0,0,0,1.10383,0.000695598
0.0322556,0.0423055,1.46365,0.11299,0.225338,3.03766,0,0,0,0,1.10371,0.000661531
0.0322556,0.0423055,1.46365,0.11487,0.229065,3.03829,0,0,0,0,1.1036,0.000555443
0.0327424,0.0434918,1.50785,0.116749,0.23279,3.03892,0,0,0,0,1.10348,0.000457744
0.0327424,0.0434918,1.50785,0.118628,0.236513,3.03954,0,0,0,0,1.10336,0.000365952
0.0336096,0.045462,1.57459,0.120507,0.240235,3.04017,0,0,0,0,1.10324,0.000263565
0.0336096,0.045462,1.57459,0.122386,0.243956,3.0408,0,0,0,0,1.10311,0.000187785
0.0346195,0.0476509,1.64097,0.124264,0.247675,3.04142,0,0,0,0,1.10298,0.000139915
0.0346195,0.0476509,1.64097,0.126143,0.251392,3.04205,0,0,0,0,1.10286,9.32064e-05
0.0346195,0.0476509,1.64097,0.128021,0.255108,3.04267,0,0,0,0,1.10273,5.89134e-05
0.0353793,0.0492797,1.68546,0.129899,0.258822,3.0433,0,0,0,0,1.10259,2.15446e-05
0.0353793,0.0492797,1.68546,0.131777,0.262535,3.04393,0,0,0,0,1.10246,6.99683e-07
0.0366465,0.0519623,1.75248,0.133654,0.266245,3.04455,0,0,0,0,1.10232,-5.7911e-05
0.0366465,0.0519623,1.75248,0.135532,0.269955,3.04518,0,0,0,0,1.10218,-9.2849e-05
0.0366465,0.0519623,1.75248,0.137409,0.273662,3.0458,0,0,0,0,1.10204,-0.000124375
0.0375628,0.0538722,1.79686,0.139286,0.277368,3.04643,0,0,0,0,1.1019,-0.00013824
0.0375628,0.0538722,1.79686,0.141162,0.281072,3.04705,0,0,0,0,1.10176,-0.000180556
0.039075,0.0570428,1.86259,0.143039,0.284774,3.04768,0,0,0,0,1.10161,-0.000204205
0.039075,0.0570428,1.86259,0.144915,0.288475,3.04831,0,0,0,0,1.10146,-0.000224812
0.039075,0.0570428,1.86259,0.146791,0.292173,3.04893,0,0,0,0,1.10131,-0.000248234
0.0407192,0.0605027,1.92699,0.148667,0.29587,3.04956,0,0,0,0,1.10116,-0.00026839
