x,y,z,gx,gy,gz,motor0,motor1,motor2,motor3,target_yaw,yaw
0.0311078,0.0233696,0.726311,0,0,3,0,0,0,0,1.10715,0.0153724
0.0309995,0.0240159,0.728673,0.00188496,0.00376991,3.00063,0,0,0,0,1.10715,0.0153786
0.0309995,0.0240159,0.728673,0.00376991,0.00753979,3.00126,0,0,0,0,1.10714,0.0153815
0.0309995,0.0240159,0.728673,0.00565485,0.0113096,3.00188,0,0,0,0,1.10714,0.0153878
0.0308333,0.0249775,0.732259,0.00753979,0.0150794,3.00251,0,0,0,0,1.10713,0.0153911
0.0308333,0.0249775,0.732259,0.00942472,0.0188491,3.00314,0,0,0,0,1.10713,0.0153899
0.0307078,0.0256088,0.735227,0.0113096,0.0226186,3.00377,0,0,0,0,1.10711,0.0153894
0.0307078,0.0256088,0.735227,0.0131945,0.026388,3.0044,0,0,0,0,1.1071,0.0153908
0.0307078,0.0256088,0.735227,0.0150794,0.0301573,3.00503,0,0,0,0,1.10709,0.0153944
0.0304797,0.0265188,0.741322,0.0169642,0.0339263,3.00565,0,0,0,0,1.10707,0.015405
0.0304797,0.0265188,0.741322,0.0188491,0.0376951,3.00628,0,0,0,0,1.10705,0.0154084
0.0304797,0.0265188,0.741322,0.0207339,0.0414637,3.00691,0,0,0,0,1.10703,0.0154043
0.0303145,0.0271091,0.746591,0.0226186,0.0452321,3.00754,0,0,0,0,1.10701,0.0154066
0.0303145,0.0271091,0.746591,0.0245033,0.0490001,3.00817,0,0,0,0,1.10699,0.0154071
0.030023,0.0279645,0.756561,0.026388,0.0527679,3.0088,0,0,0,0,1.10696,0.0154045
0.030023,0.0279645,0.756561,0.0282727,0.0565353,3.00942,0,0,0,0,1.10694,0.0154142
0.030023,0.0279645,0.756561,0.0301573,0.0603023,3.01005,0,0,0,0,1.10691,0.0154234
0.0298368,0.02852,0.764374,0.0320418,0.064069,3.01068,0,0,0,0,1.10687,0.0154302
0.0298368,0.02852,0.764374,0.0339263,0.0678353,3.01131,0,0,0,0,1.10684,0.0154302
0.0295782,0.0293445,0.777501,0.0358108,0.0716011,3.01194,0,0,0,0,1.10681,0.0154365
0.0295782,0.0293445,0.777501,0.0376951,0.0753665,3.01257,0,0,0,0,1.10677,0.0154403
0.0295782,0.0293445,0.777501,0.0395795,0.0791314,3.01319,0,0,0,0,1.10673,0.0154457
0.0294323,0.0298921,0.787167,0.0414637,0.0828958,3.01382,0,0,0,0,1.10669,0.0154462
0.0294323,0.0298921,0.787167,0.0433479,0.0866597,3.01445,0,0,0,0,1.10665,0.0154462
0.0292576,0.0307221,0.802583,0.0452321,0.090423,3.01508,0,0,0,0,1.1066,0.0154415
0.0292576,0.0307221,0.802583,0.0471161,0.0941858,3.01571,0,0,0,0,1.10656,0.0154316
0.0292576,0.0307221,0.802583,0.0490001,0.097948,3.01633,0,0,0,0,1.10651,0.0154316
0.0291869,0.0312865,0.814376,0.050884,0.10171,3.01696,0,0,0,0,1.10646,0.0154303
0.0291869,0.0312865,0.814376,0.0527679,0.10547,3.01759,0,0,0,0,1.1064,0.0154269
0.0291869,0.0312865,0.814376,0.0546516,0.109231,3.01822,0,0,0,0,1.10635,0.0154279
0.0291284,0.0321693,0.834223,0.0565353,0.11299,3.01885,0,0,0,0,1.10629,0.0154269
0.0291284,0.0321693,0.834223,0.0584188,0.116749,3.01947,0,0,0,0,1.10624,0.0154203
0.0291331,0.0327848,0.849141,0.0603023,0.120507,3.0201,0,0,0,0,1.10618,0.0154134
0.0291331,0.0327848,0.849141,0.0621857,0.124264,3.02073,0,0,0,0,1.10611,0.0154116
0.0291331,0.0327848,0.849141,0.064069,0.128021,3.02136,0,0,0,0,1.10605,0.0154078
0.0292047,0.0337739,0.873877,0.0659522,0.131777,3.02198,0,0,0,0,1.10599,0.0154054
0.0292047,0.0337739,0.873877,0.0678353,0.135532,3.02261,0,0,0,0,1.10592,0.0153876
0.0292047,0.0337739,0.873877,0.0697182,0.139286,3.02324,0,0,0,0,1.10585,0.0153783
0.0292964,0.0345,0.891461,0.0716011,0.143039,3.02387,0,0,0,0,1.10578,0.0153664
0.0292964,0.0345,0.891461,0.0734838,0.146791,3.02449,0,0,0,0,1.1057,0.0153437
0.0295353,0.0357042,0.920092,0.0753665,0.150543,3.02512,0,0,0,0,1.10563,0.0153269
0.0295353,0.0357042,0.920092,0.077249,0.154293,3.02575,0,0,0,0,1.10555,0.0153085
0.0295353,0.0357042,0.920092,0.0791314,0.158042,3.02638,0,0,0,0,1.10547,0.0152931
0.0297579,0.0366208,0.940378,0.0810136,0.161791,3.027,0,0,0,0,1.10539,0.0152768
0.0297579,0.0366208,0.940378,0.0828958,0.165538,3.02763,0,0,0,0,1.10531,0.0152536
0.0301896,0.0381855,0.972134,0.0847778,0.169285,3.02826,0,0,0,0,1.10522,0.0152163
0.0301896,0.0381855,0.972134,0.0866597,0.17303,3.02889,0,0,0,0,1.10514,0.0151859
0.0301896,0.0381855,0.972134,0.0885414,0.176774,3.02951,0,0,0,0,1.10505,0.0151859
0.0305523,0.03936,0.994181,0.090423,0.180517,3.03014,0,0,0,0,1.10496,0.0151464
0.0305523,0.03936,0.994181,0.0923045,0.184259,3.03077,0,0,0,0,1.10486,0.0150501
0.0305523,0.03936,0.994181,0.0941858,0.188,3.0314,0,0,0,0,1.10477,0.0150501
