x,y,z,gx,gy,gz,motor0,motor1,motor2,motor3,target_yaw,yaw
-0.101359,0.00449963,0.573276,0,0,0.5,0,0,0,0,0,1.50587
-0.101359,0.00449963,0.573276,-0.00079971,0.00239914,0.5,0,0,0,0,0,1.50575
-0.100951,0.00374857,0.571756,-0.00159942,0.00479829,0.5,0,0,0,0,0,1.50554
-0.100951,0.00374857,0.571756,-0.0023991,0.0071974,0.5,0,0,0,0,0,1.50534
-0.100825,0.00351357,0.571264,-0.00319876,0.00959647,0.5,0,0,0,0,0,1.50521
-0.100825,0.00351357,0.571264,-0.00399841,0.0119955,0.5,0,0,0,0,0,1.50493
-0.100564,0.00305234,0.570407,-0.00479796,0.0143945,0.5,0,0,0,0,0,1.50474
-0.100564,0.00305234,0.570407,-0.0055975,0.0167934,0.5,0,0,0,0,0,1.50426
-0.100564,0.00305234,0.570407,-0.00639696,0.0191922,0.5,0,0,0,0,0,1.50359
-0.100311,0.00264992,0.569833,-0.00719634,0.021591,0.5,0,0,0,0,0,1.50317
-0.100311,0.00264992,0.569833,-0.00799572,0.0239897,0.5,0,0,0,0,0,1.50226
-0.100311,0.00264992,0.569833,-0.00879487,0.0263881,0.5,0,0,0,0,0,1.5018
-0.0999748,0.00219808,0.569687,-0.00959403,0.0287865,0.5,0,0,0,0,0,1.50061
-0.0999748,0.00219808,0.569687,-0.0103931,0.0311848,0.5,0,0,0,0,0,1.4992
-0.0998752,0.0020865,0.569825,-0.0111919,0.0335829,0.5,0,0,0,0,0,1.4984
-0.0998752,0.0020865,0.569825,-0.0119908,0.035981,0.5,0,0,0,0,0,1.49674
-0.0998752,0.0020865,0.569825,-0.0127894,0.0383786,0.5,0,0,0,0,0,1.49584
-0.0996226,0.00187923,0.571012,-0.0135879,0.0407763,0.5,0,0,0,0,0,1.49383
-0.0996226,0.00187923,0.571012,-0.0143863,0.0431737,0.5,0,0,0,0,0,1.4916
-0.0995569,0.00185167,0.571637,-0.0151844,0.0455708,0.5,0,0,0,0,0,1.49046
-0.0995569,0.00185167,0.571637,-0.0159826,0.047968,0.5,0,0,0,0,0,1.48804
-0.0995569,0.00185167,0.571637,-0.0167803,0.0503646,0.5,0,0,0,0,0,1.48671
-0.0994092,0.00191271,0.574081,-0.017578,0.0527612,0.5,0,0,0,0,0,1.48403
-0.0994092,0.00191271,0.574081,-0.0183755,0.0551574,0.5,0,0,0,0,0,1.48118
-0.0993754,0.00199766,0.57508,-0.0191727,0.0575534,0.5,0,0,0,0,0,1.47969
-0.0993754,0.00199766,0.57508,-0.01997,0.0599493,0.5,0,0,0,0,0,1.47659
