x,y,z,gx,gy,gz,motor0,motor1,motor2,motor3,target_yaw,yaw
-0.152655,0.0392389,0.575502,0,0,0.5,0,0,0,0,1.10715,1.58552
-0.152118,0.0391302,0.574657,-0.00079971,0.00239914,0.5,0,0,0,0,1.10715,1.58558
-0.152118,0.0391302,0.574657,-0.00159942,0.00479829,0.5,0,0,0,0,1.10714,1.58566
-0.151918,0.0390842,0.574292,-0.0023991,0.0071974,0.5,0,0,0,0,1.10714,1.58572
-0.151918,0.0390842,0.574292,-0.00319876,0.00959647,0.5,0,0,0,0,1.10713,1.58576
-0.151918,0.0390842,0.574292,-0.00399841,0.0119955,0.5,0,0,0,0,1.10713,1.58574
-0.1513,0.0389633,0.573183,-0.00479796,0.0143945,0.5,0,0,0,0,1.10711,1.58566
-0.1513,0.0389633,0.573183,-0.0055975,0.0167934,0.5,0,0,0,0,1.1071,1.58539
-0.151089,0.0389214,0.57289,-0.00639696,0.0191922,0.5,0,0,0,0,1.10709,1.58522
-0.151089,0.0389214,0.57289,-0.00719634,0.021591,0.5,0,0,0,0,1.10707,1.58471
-0.151089,0.0389214,0.57289,-0.00799572,0.0239897,0.5,0,0,0,0,1.10705,1.58433
-0.150459,0.0387779,0.572507,-0.00879487,0.0263881,0.5,0,0,0,0,1.10703,1.58353
-0.150459,0.0387779,0.572507,-0.00959403,0.0287865,0.5,0,0,0,0,1.10701,1.58246
-0.150247,0.0387264,0.572615,-0.0103931,0.0311848,0.5,0,0,0,0,1.10699,1.58183
-0.150247,0.0387264,0.572615,-0.0111919,0.0335829,0.5,0,0,0,0,1.10696,1.58044
-0.150247,0.0387264,0.572615,-0.0119908,0.035981,0.5,0,0,0,0,1.10694,1.57961
-0.1496,0.0385707,0.573848,-0.0127894,0.0383786,0.5,0,0,0,0,1.1069,1.57786
-0.1496,0.0385707,0.573848,-0.0135879,0.0407763,0.5,0,0,0,0,1.10687,1.57586
-0.149381,0.0385161,0.574541,-0.0143863,0.0431737,0.5,0,0,0,0,1.10684,1.57479
-0.149381,0.0385161,0.574541,-0.0151844,0.0455708,0.5,0,0,0,0,1.1068,1.5725
-0.149381,0.0385161,0.574541,-0.0159826,0.047968,0.5,0,0,0,0,1.10677,1.57133
-0.14868,0.038358,0.577595,-0.0167803,0.0503646,0.5,0,0,0,0,1.10673,1.56885
-0.14868,0.038358,0.577595,-0.017578,0.0527612,0.5,0,0,0,0,1.10669,1.56624
-0.14844,0.0383099,0.578902,-0.0183755,0.0551574,0.5,0,0,0,0,1.10665,1.56487
-0.14844,0.0383099,0.578902,-0.0191727,0.0575534,0.5,0,0,0,0,1.1066,1.56208
-0.14844,0.0383099,0.578902,-0.01997,0.0599493,0.5,0,0,0,0,1.10656,1.56064
-0.147697,0.0381999,0.583534,-0.0207666,0.0623446,0.5,0,0,0,0,1.10651,1.5577
-0.147697,0.0381999,0.583534,-0.0215633,0.0647398,0.5,0,0,0,0,1.10646,1.5546
-0.147442,0.0381849,0.585274,-0.0223597,0.0671347,0.5,0,0,0,0,1.1064,1.55297
-0.147442,0.0381849,0.585274,-0.0231557,0.0695291,0.5,0,0,0,0,1.10635,1.54972
-0.146664,0.0382272,0.591168,-0.0239518,0.0719236,0.5,0,0,0,0,1.10629,1.54804
-0.146664,0.0382272,0.591168,-0.0247472,0.0743172,0.5,0,0,0,0,1.10624,1.54466
-0.146664,0.0382272,0.591168,-0.0255426,0.0767108,0.5,0,0,0,0,1.10618,1.54116
-0.146396,0.0382677,0.59332,-0.0263376,0.0791039,0.5,0,0,0,0,1.10611,1.53931
-0.146396,0.0382677,0.59332,-0.0271323,0.0814966,0.5,0,0,0,0,1.10605,1.53567
-0.146396,0.0382677,0.59332,-0.027927,0.0838893,0.5,0,0,0,0,1.10599,1.53388
-0.145552,0.0384777,0.600082,-0.0287209,0.086281,0.5,0,0,0,0,1.10592,1.53015
-0.145552,0.0384777,0.600082,-0.0295148,0.0886727,0.5,0,0,0,0,1.10585,1.52634
-0.145264,0.0385872,0.602448,-0.0303083,0.0910638,0.5,0,0,0,0,1.10578,1.52438
-0.145264,0.0385872,0.602448,-0.0311014,0.0934545,0.5,0,0,0,0,1.1057,1.52047
-0.145264,0.0385872,0.602448,-0.0318945,0.0958451,0.5,0,0,0,0,1.10563,1.51656
-0.144384,0.0390257,0.609842,-0.0326867,0.0982346,0.5,0,0,0,0,1.10555,1.5146
-0.144384,0.0390257,0.609842,-0.0334789,0.100624,0.5,0,0,0,0,1.10547,1.51056
-0.144087,0.0392077,0.612363,-0.0342707,0.103013,0.5,0,0,0,0,1.10539,1.50854
-0.144087,0.0392077,0.612363,-0.0350619,0.105401,0.5,0,0,0,0,1.10531,1.50452
-0.144087,0.0392077,0.612363,-0.0358532,0.10779,0.5,0,0,0,0,1.10522,1.50244
-0.143159,0.0398628,0.620209,-0.0366435,0.110177,0.5,0,0,0,0,1.10513,1.49842
-0.143159,0.0398628,0.620209,-0.0374337,0.112564,0.5,0,0,0,0,1.10505,1.49436
-0.142848,0.0401252,0.62289,-0.0382235,0.11495,0.5,0,0,0,0,1.10495,1.49235
-0.142848,0.0401252,0.62289,-0.0390127,0.117336,0.5,0,0,0,0,1.10486,1.48826
-0.142848,0.0401252,0.62289,-0.0398019,0.119721,0.5,0,0,0,0,1.10477,1.48621
-0.141899,0.0410251,0.630998,-0.0405901,0.122105,0.5,0,0,0,0,1.10467,1.4821
-0.141899,0.0410251,0.630998,-0.0413782,0.12449,0.5,0,0,0,0,1.10457,1.47797
-0.141582,0.0413681,0.633731,-0.0421657,0.126873,0.5,0,0,0,0,1.10447,1.47591
-0.141582,0.0413681,0.633731,-0.0429527,0.129256,0.5,0,0,0,0,1.10437,1.47175
-0.141582,0.0413681,0.633731,-0.0437397,0.131639,0.5,0,0,0,0,1.10426,1.46963
-0.140623,0.0425591,0.641936,-0.0445254,0.13402,0.5,0,0,0,0,1.10416,1.46543
-0.140623,0.0425591,0.641936,-0.0453112,0.136401,0.5,0,0,0,0,1.10405,1.46116
-0.140299,0.042997,0.64468,-0.0460963,0.138782,0.5,0,0,0,0,1.10394,1.45894
-0.140299,0.042997,0.64468,-0.0468808,0.141161,0.5,0,0,0,0,1.10383,1.45437
-0.140299,0.042997,0.64468,-0.0476653,0.143541,0.5,0,0,0,0,1.10371,1.452
-0.139387,0.0445036,0.65304,-0.0484485,0.145919,0.5,0,0,0,0,1.10359,1.44714
-0.139387,0.0445036,0.65304,-0.0492316,0.148296,0.5,0,0,0,0,1.10348,1.44204
-0.139092,0.0450645,0.655931,-0.0500141,0.150673,0.5,0,0,0,0,1.10336,1.43379
-0.139092,0.0450645,0.655931,-0.0507959,0.15305,0.5,0,0,0,0,1.10323,1.43097
-0.138277,0.0469207,0.664905,-0.0515777,0.155426,0.5,0,0,0,0,1.10311,1.42514
-0.138277,0.0469207,0.664905,-0.0523581,0.1578,0.5,0,0,0,0,1.10298,1.41899
-0.137786,0.0483355,0.671225,-0.0531384,0.160174,0.5,0,0,0,0,1.10286,1.41257
-0.137786,0.0483355,0.671225,-0.0539181,0.162547,0.5,0,0,0,0,1.10273,1.40923
-0.137786,0.0483355,0.671225,-0.054697,0.16492,0.5,0,0,0,0,1.10259,1.40592
-0.137349,0.0498918,0.67781,-0.0554758,0.167292,0.5,0,0,0,0,1.10246,1.39916
-0.137349,0.0498918,0.67781,-0.0562532,0.169663,0.5,0,0,0,0,1.10232,1.39227
-0.137145,0.0507236,0.681182,-0.0570305,0.172033,0.5,0,0,0,0,1.10218,1.38874
-0.137145,0.0507236,0.681182,-0.0578071,0.174402,0.5,0,0,0,0,1.10204,1.38154
-0.137145,0.0507236,0.681182,-0.0585828,0.176771,0.5,0,0,0,0,1.1019,1.37785
-0.136636,0.0534546,0.69162,-0.0593586,0.179139,0.5,0,0,0,0,1.10176,1.37045
-0.136636,0.0534546,0.69162,-0.0601327,0.181505,0.5,0,0,0,0,1.10161,1.36291
-0.136504,0.054439,0.695195,-0.0609068,0.183871,0.5,0,0,0,0,1.10146,1.35908
-0.136504,0.054439,0.695195,-0.06168,0.186236,0.5,0,0,0,0,1.10131,1.35123
-0.136504,0.054439,0.695195,-0.0624524,0.1886,0.5,0,0,0,0,1.10116,1.34725
-0.136221,0.0576631,0.706202,-0.0632248,0.190964,0.5,0,0,0,0,1.10101,1.3393
-0.136221,0.0576631,0.706202,-0.0639955,0.193326,0.5,0,0,0,0,1.10085,1.33126
-0.136175,0.0588219,0.709897,-0.0647662,0.195688,0.5,0,0,0,0,1.10069,1.32721
-0.136175,0.0588219,0.709897,-0.0655359,0.198049,0.5,0,0,0,0,1.10053,1.31892
-0.136175,0.0588219,0.709897,-0.0663047,0.200408,0.5,0,0,0,0,1.10036,1.31479
-0.136123,0.0625915,0.721215,-0.0670736,0.202767,0.5,0,0,0,0,1.1002,1.30646
-0.136123,0.0625915,0.721215,-0.0678406,0.205124,0.5,0,0,0,0,1.10003,1.29805
-0.136143,0.0639427,0.725023,-0.0686075,0.207481,0.5,0,0,0,0,1.09986,1.29378
-0.136143,0.0639427,0.725023,-0.0693736,0.209837,0.5,0,0,0,0,1.09969,1.28521
-0.136143,0.0639427,0.725023,-0.0701386,0.212192,0.5,0,0,0,0,1.09952,1.28095
