x,y,z,gx,gy,gz,motor0,motor1,motor2,motor3,target_yaw,yaw
-0.175105,0.0804747,0.688292,0,0,0.5,0,0,0,0,1.10715,1.5751
-0.175249,0.0809805,0.686824,-0.00079971,0.00239914,0.5,0,0,0,0,1.10715,1.5751
-0.175249,0.0809805,0.686824,-0.00159942,0.00479829,0.5,0,0,0,0,1.10714,1.57402
-0.175358,0.0814632,0.685116,-0.0023991,0.0071974,0.5,0,0,0,0,1.10714,1.57402
-0.175358,0.0814632,0.685116,-0.00319876,0.00959647,0.5,0,0,0,0,1.10713,1.573
-0.175431,0.0819209,0.683163,-0.00399841,0.0119955,0.5,0,0,0,0,1.10713,1.57229
-0.175431,0.0819209,0.683163,-0.00479796,0.0143945,0.5,0,0,0,0,1.10711,1.57193
-0.175431,0.0819209,0.683163,-0.0055975,0.0167934,0.5,0,0,0,0,1.1071,1.57121
-0.175457,0.0823374,0.681119,-0.00639696,0.0191922,0.5,0,0,0,0,1.10709,1.57049
-0.175457,0.0823374,0.681119,-0.00719634,0.021591,0.5,0,0,0,0,1.10707,1.57049
-0.175457,0.0823374,0.681119,-0.00799572,0.0239897,0.5,0,0,0,0,1.10705,1.56936
-0.17545,0.0827606,0.679154,-0.00879487,0.0263881,0.5,0,0,0,0,1.10703,1.56898
-0.17545,0.0827606,0.679154,-0.00959403,0.0287865,0.5,0,0,0,0,1.10701,1.56819
-0.175414,0.0831479,0.677422,-0.0103931,0.0311848,0.5,0,0,0,0,1.10699,1.56739
-0.175414,0.0831479,0.677422,-0.0111919,0.0335829,0.5,0,0,0,0,1.10696,1.56692
-0.175414,0.0831479,0.677422,-0.0119908,0.035981,0.5,0,0,0,0,1.10694,1.56609
-0.175371,0.0835148,0.675968,-0.0127894,0.0383786,0.5,0,0,0,0,1.1069,1.56574
-0.175371,0.0835148,0.675968,-0.0135879,0.0407763,0.5,0,0,0,0,1.10687,1.56489
-0.175279,0.0838283,0.674978,-0.0143863,0.0431737,0.5,0,0,0,0,1.10684,1.56489
-0.175279,0.0838283,0.674978,-0.0151844,0.0455708,0.5,0,0,0,0,1.10681,1.56402
-0.175279,0.0838283,0.674978,-0.0159826,0.047968,0.5,0,0,0,0,1.10677,1.56262
-0.175138,0.0841161,0.674354,-0.0167803,0.0503646,0.5,0,0,0,0,1.10673,1.56228
-0.175138,0.0841161,0.674354,-0.017578,0.0527612,0.5,0,0,0,0,1.10669,1.56228
-0.174952,0.084358,0.674152,-0.0183755,0.0551574,0.5,0,0,0,0,1.10665,1.56139
-0.174952,0.084358,0.674152,-0.0191727,0.0575534,0.5,0,0,0,0,1.1066,1.56052
-0.174952,0.084358,0.674152,-0.01997,0.0599493,0.5,0,0,0,0,1.10656,1.55914
-0.174735,0.084602,0.674286,-0.0207666,0.0623446,0.5,0,0,0,0,1.10651,1.55873
-0.174735,0.084602,0.674286,-0.0215633,0.0647398,0.5,0,0,0,0,1.10646,1.55873
-0.174468,0.0848135,0.674844,-0.0223597,0.0671347,0.5,0,0,0,0,1.1064,1.55784
-0.174468,0.0848135,0.674844,-0.0231557,0.0695291,0.5,0,0,0,0,1.10635,1.5565
-0.174468,0.0848135,0.674844,-0.0239518,0.0719236,0.5,0,0,0,0,1.10629,1.55561
-0.17414,0.0849977,0.675709,-0.0247472,0.0743172,0.5,0,0,0,0,1.10624,1.55515
-0.17414,0.0849977,0.675709,-0.0255426,0.0767108,0.5,0,0,0,0,1.10618,1.55423
-0.173784,0.0851696,0.676868,-0.0263376,0.0791039,0.5,0,0,0,0,1.10611,1.55379
-0.173784,0.0851696,0.676868,-0.0271323,0.0814966,0.5,0,0,0,0,1.10605,1.55286
-0.173784,0.0851696,0.676868,-0.027927,0.0838893,0.5,0,0,0,0,1.10599,1.55193
-0.1734,0.0853184,0.678218,-0.0287209,0.086281,0.5,0,0,0,0,1.10592,1.55146
-0.1734,0.0853184,0.678218,-0.0295148,0.0886727,0.5,0,0,0,0,1.10585,1.55054
-0.172997,0.0854847,0.679712,-0.0303083,0.0910638,0.5,0,0,0,0,1.10578,1.55054
-0.172997,0.0854847,0.679712,-0.0311014,0.0934545,0.5,0,0,0,0,1.1057,1.54963
-0.172997,0.0854847,0.679712,-0.0318945,0.0958451,0.5,0,0,0,0,1.10563,1.54829
-0.172574,0.0856545,0.681239,-0.0326867,0.0982346,0.5,0,0,0,0,1.10555,1.54784
-0.172574,0.0856545,0.681239,-0.0334789,0.100624,0.5,0,0,0,0,1.10547,1.54784
-0.172134,0.0858278,0.682792,-0.0342707,0.103013,0.5,0,0,0,0,1.10539,1.54697
-0.172134,0.0858278,0.682792,-0.0350619,0.105401,0.5,0,0,0,0,1.10531,1.54573
-0.172134,0.0858278,0.682792,-0.0358532,0.10779,0.5,0,0,0,0,1.10522,1.54491
-0.171699,0.0860386,0.684289,-0.0366435,0.110177,0.5,0,0,0,0,1.10513,1.54449
-0.171699,0.0860386,0.684289,-0.0374337,0.112564,0.5,0,0,0,0,1.10505,1.54449
-0.171263,0.0862752,0.685738,-0.0382235,0.11495,0.5,0,0,0,0,1.10495,1.5437
-0.171263,0.0862752,0.685738,-0.0390127,0.117336,0.5,0,0,0,0,1.10486,1.54253
-0.171263,0.0862752,0.685738,-0.0398019,0.119721,0.5,0,0,0,0,1.10477,1.54174
-0.170818,0.0865178,0.687066,-0.0405901,0.122105,0.5,0,0,0,0,1.10467,1.54135
-0.170818,0.0865178,0.687066,-0.0413782,0.12449,0.5,0,0,0,0,1.10457,1.54135
-0.170385,0.0868142,0.688313,-0.0421657,0.126873,0.5,0,0,0,0,1.10447,1.54056
-0.170385,0.0868142,0.688313,-0.0429527,0.129256,0.5,0,0,0,0,1.10437,1.53935
-0.170385,0.0868142,0.688313,-0.0437397,0.131639,0.5,0,0,0,0,1.10426,1.53854
-0.169946,0.0871774,0.689408,-0.0445254,0.13402,0.5,0,0,0,0,1.10416,1.53817
-0.169946,0.0871774,0.689408,-0.0453112,0.136401,0.5,0,0,0,0,1.10405,1.53732
-0.169548,0.087624,0.690379,-0.0460963,0.138782,0.5,0,0,0,0,1.10394,1.53642
-0.169548,0.087624,0.690379,-0.0468808,0.141161,0.5,0,0,0,0,1.10383,1.53591
-0.169548,0.087624,0.690379,-0.0476653,0.143541,0.5,0,0,0,0,1.10371,1.53496
-0.169177,0.0881658,0.691305,-0.0484485,0.145919,0.5,0,0,0,0,1.10359,1.53452
-0.169177,0.0881658,0.691305,-0.0492316,0.148296,0.5,0,0,0,0,1.10348,1.53452
-0.168843,0.0888232,0.692244,-0.0500141,0.150673,0.5,0,0,0,0,1.10336,1.53291
-0.168843,0.0888232,0.692244,-0.0507959,0.15305,0.5,0,0,0,0,1.10323,1.53291
-0.168843,0.0888232,0.692244,-0.0515777,0.155426,0.5,0,0,0,0,1.10311,1.53065
-0.16856,0.0896469,0.693229,-0.0523581,0.1578,0.5,0,0,0,0,1.10298,1.53005
-0.16856,0.0896469,0.693229,-0.0531384,0.160174,0.5,0,0,0,0,1.10286,1.53005
-0.168324,0.090627,0.694315,-0.0539181,0.162547,0.5,0,0,0,0,1.10273,1.52754
-0.168324,0.090627,0.694315,-0.054697,0.16492,0.5,0,0,0,0,1.10259,1.52754
-0.168324,0.090627,0.694315,-0.0554758,0.167292,0.5,0,0,0,0,1.10246,1.52561
-0.168122,0.0917776,0.695431,-0.0562532,0.169663,0.5,0,0,0,0,1.10232,1.52487
-0.168122,0.0917776,0.695431,-0.0570305,0.172033,0.5,0,0,0,0,1.10218,1.52487
-0.16798,0.0930935,0.696581,-0.0578071,0.174402,0.5,0,0,0,0,1.10204,1.52347
-0.16798,0.0930935,0.696581,-0.0585828,0.176771,0.5,0,0,0,0,1.1019,1.52202
-0.16798,0.0930935,0.696581,-0.0593586,0.179139,0.5,0,0,0,0,1.10176,1.51984
-0.167884,0.0945808,0.697729,-0.0601327,0.181505,0.5,0,0,0,0,1.10161,1.51901
-0.167884,0.0945808,0.697729,-0.0609068,0.183871,0.5,0,0,0,0,1.10146,1.51901
-0.16787,0.0963185,0.698871,-0.06168,0.186236,0.5,0,0,0,0,1.10131,1.51747
-0.16787,0.0963185,0.698871,-0.0624524,0.1886,0.5,0,0,0,0,1.10116,1.5159
-0.16787,0.0963185,0.698871,-0.0632248,0.190964,0.5,0,0,0,0,1.10101,1.51357
-0.167922,0.0982841,0.699948,-0.0639955,0.193326,0.5,0,0,0,0,1.10085,1.51269
-0.167922,0.0982841,0.699948,-0.0647662,0.195688,0.5,0,0,0,0,1.10069,1.51269
-0.168042,0.100503,0.700989,-0.0655359,0.198049,0.5,0,0,0,0,1.10053,1.51103
-0.168042,0.100503,0.700989,-0.0663047,0.200408,0.5,0,0,0,0,1.10036,1.50935
-0.168042,0.100503,0.700989,-0.0670736,0.202767,0.5,0,0,0,0,1.1002,1.50682
-0.168219,0.102982,0.701992,-0.0678406,0.205124,0.5,0,0,0,0,1.10003,1.50592
-0.168219,0.102982,0.701992,-0.0686075,0.207482,0.5,0,0,0,0,1.09986,1.50418
-0.168453,0.105727,0.702971,-0.0693736,0.209837,0.5,0,0,0,0,1.09969,1.50242
-0.168453,0.105727,0.702971,-0.0701386,0.212192,0.5,0,0,0,0,1.09952,1.50242
-0.168453,0.105727,0.702971,-0.0709037,0.214546,0.5,0,0,0,0,1.09935,1.49979
-0.168726,0.108718,0.703892,-0.0716668,0.216898,0.5,0,0,0,0,1.09917,1.49889
-0.168726,0.108718,0.703892,-0.0724299,0.21925,0.5,0,0,0,0,1.09899,1.49889
-0.169052,0.111998,0.704745,-0.0731919,0.221601,0.5,0,0,0,0,1.09881,1.49625
-0.169052,0.111998,0.704745,-0.073953,0.223951,0.5,0,0,0,0,1.09862,1.49625
-0.169052,0.111998,0.704745,-0.0747141,0.2263,0.5,0,0,0,0,1.09844,1.49273
-0.169427,0.115577,0.7055,-0.0754731,0.228647,0.5,0,0,0,0,1.09825,1.4919
-0.169427,0.115577,0.7055,-0.076232,0.230993,0.5,0,0,0,0,1.09806,1.4919
-0.169848,0.11948,0.706199,-0.07699,0.233339,0.5,0,0,0,0,1.09787,1.49016
-0.169848,0.11948,0.706199,-0.0777468,0.235683,0.5,0,0,0,0,1.09767,1.4884
-0.169848,0.11948,0.706199,-0.0785037,0.238027,0.5,0,0,0,0,1.09748,1.48569
-0.170273,0.123701,0.706848,-0.0792584,0.240368,0.5,0,0,0,0,1.09728,1.48569
-0.170273,0.123701,0.706848,-0.0800131,0.242709,0.5,0,0,0,0,1.09708,1.48486
-0.170683,0.128252,0.707485,-0.0807666,0.245049,0.5,0,0,0,0,1.09688,1.48309
-0.170683,0.128252,0.707485,-0.081519,0.247387,0.5,0,0,0,0,1.09667,1.48037
-0.170683,0.128252,0.707485,-0.0822715,0.249726,0.5,0,0,0,0,1.09646,1.47859
-0.171083,0.133131,0.708046,-0.0830216,0.252061,0.5,0,0,0,0,1.09625,1.4777
-0.171083,0.133131,0.708046,-0.0837718,0.254396,0.5,0,0,0,0,1.09604,1.4777
-0.171461,0.13834,0.708544,-0.0845207,0.25673,0.5,0,0,0,0,1.09583,1.47589
-0.171461,0.13834,0.708544,-0.0852686,0.259062,0.5,0,0,0,0,1.09561,1.47317
-0.171461,0.13834,0.708544,-0.0860164,0.261395,0.5,0,0,0,0,1.0954,1.47134
-0.17181,0.143867,0.708943,-0.0867618,0.263724,0.5,0,0,0,0,1.09517,1.47038
-0.17181,0.143867,0.708943,-0.0875072,0.266053,0.5,0,0,0,0,1.09495,1.47038
-0.172109,0.149712,0.709284,-0.0882513,0.268381,0.5,0,0,0,0,1.09473,1.46664
-0.172109,0.149712,0.709284,-0.0889943,0.270707,0.5,0,0,0,0,1.0945,1.46664
-0.172109,0.149712,0.709284,-0.0897372,0.273033,0.5,0,0,0,0,1.09427,1.46389
-0.172351,0.155854,0.709539,-0.0904777,0.275356,0.5,0,0,0,0,1.09404,1.46291
-0.172351,0.155854,0.709539,-0.0912182,0.277679,0.5,0,0,0,0,1.09381,1.46291
