x,y,z,gx,gy,gz
1,-1,2.99993,0,0,4
1,-1,2.99977,0,0,4
1,-1,2.99955,0.00188496,0.00376991,4.00063
1,-1,2.9993,0.00376991,0.00753979,4.00126
1,-1,2.99914,0.00565485,0.0113096,4.00188
0.999999,-0.999999,2.99907,0.00753979,0.0150794,4.00251
0.999997,-0.999995,2.99907,0.00942472,0.0188491,4.00314
0.999993,-0.999984,2.99935,0.0113096,0.0226186,4.00377
0.999987,-0.999961,3.00004,0.0131945,0.026388,4.0044
0.999978,-0.999921,3.001,0.0150794,0.0301573,4.00503
0.999968,-0.999861,3.00213,0.0169642,0.0339263,4.00565
0.999953,-0.999777,3.00336,0.0188491,0.0376951,4.00628
0.999931,-0.999662,3.00465,0.0207339,0.0414637,4.00691
0.9999,-0.999511,3.006,0.0226186,0.0452321,4.00754
0.999854,-0.999315,3.00738,0.0245033,0.0490001,4.00817
0.99979,-0.999067,3.0088,0.026388,0.0527679,4.0088
0.999702,-0.998756,3.01027,0.0282727,0.0565353,4.00942
0.999586,-0.998375,3.01179,0.0301573,0.0603023,4.01005
0.999435,-0.997912,3.01336,0.0320418,0.064069,4.01068
0.999244,-0.997361,3.01497,0.0339263,0.0678353,4.01131
0.999009,-0.996712,3.01663,0.0358108,0.0716011,4.01194
0.998723,-0.995954,3.01835,0.0376951,0.0753665,4.01257
0.998381,-0.995078,3.02014,0.0395795,0.0791314,4.01319
0.997976,-0.994073,3.02199,0.0414637,0.0828958,4.01382
0.997502,-0.992928,3.02394,0.0433479,0.0866597,4.01445
0.996953,-0.991631,3.02599,0.0452321,0.090423,4.01508
0.996323,-0.990172,3.02814,0.0471161,0.0941858,4.01571
0.995605,-0.98854,3.03042,0.0490001,0.0979479,4.01633
0.994794,-0.986723,3.03283,0.050884,0.10171,4.01696
0.993882,-0.984709,3.03538,0.0527679,0.10547,4.01759
0.992863,-0.982488,3.0381,0.0546516,0.109231,4.01822
0.99173,-0.980046,3.04098,0.0565353,0.11299,4.01885
0.990477,-0.977372,3.04404,0.0584188,0.116749,4.01947
0.989095,-0.974452,3.04731,0.0603023,0.120507,4.0201
0.987579,-0.971275,3.05078,0.0621857,0.124264,4.02073
0.985921,-0.967827,3.05448,0.064069,0.128021,4.02136
0.984113,-0.964095,3.05842,0.0659522,0.131777,4.02198
0.982147,-0.960064,3.06261,0.0678353,0.135532,4.02261
0.980015,-0.955722,3.06708,0.0697182,0.139286,4.02324
0.977711,-0.951054,3.07183,0.0716011,0.143039,4.02387
0.975225,-0.946046,3.07688,0.0734838,0.146791,4.02449
0.972549,-0.940684,3.08226,0.0753665,0.150543,4.02512
0.969675,-0.934951,3.08797,0.077249,0.154293,4.02575
0.966595,-0.928835,3.09403,0.0791314,0.158042,4.02638
0.963301,-0.922319,3.10045,0.0810137,0.161791,4.027
0.959782,-0.91539,3.10726,0.0828958,0.165538,4.02763
0.956033,-0.908034,3.11447,0.0847778,0.169285,4.02826
0.95205,-0.900244,3.12206,0.0866597,0.17303,4.02889
0.947829,-0.892016,3.13003,0.0885414,0.176774,4.02951
0.94337,-0.88335,3.13836,0.090423,0.180517,4.03014
0.938675,-0.874246,3.14703,0.0923045,0.184259,4.03077
0.933749,-0.864716,3.156,0.0941858,0.188,4.0314
0.928613,-0.854791,3.16517,0.0960669,0.191739,4.03202
0.923291,-0.844516,3.17444,0.0979479,0.195478,4.03265
0.917812,-0.833943,3.18367,0.0998288,0.199215,4.03328
0.912195,-0.823102,3.19281,0.10171,0.202951,4.0339
0.906442,-0.812,3.20182,0.10359,0.206685,4.03453
0.900553,-0.800634,3.21069,0.10547,0.210419,4.03516
0.894526,-0.788998,3.21944,0.107351,0.214151,4.03578
0.88836,-0.777089,3.22804,0.109231,0.217881,4.03641
0.882054,-0.764902,3.23651,0.111111,0.221611,4.03704
0.875605,-0.752434,3.24483,0.11299,0.225338,4.03766
0.869011,-0.739679,3.25301,0.11487,0.229065,4.03829
0.862272,-0.726632,3.26104,0.116749,0.23279,4.03892
0.85538,-0.713283,3.26894,0.118628,0.236513,4.03954
