x,y,z,gx,gy,gz,motor0,motor1,motor2,motor3,target_yaw,yaw
-0.029071,-0.0182099,0.222312,0,0,4,0,0,0,0,0,-0.0280702
-0.029071,-0.0182099,0.222312,0,0,4,0,0,0,0,0,-0.0280702
-0.029071,-0.0182099,0.222312,0,0,4,0,0,0,0,0,-0.0281065
-0.029071,-0.0182099,0.222312,0,0,4,0,0,0,0,0,-0.0281367
-0.0273359,-0.0178715,0.225288,0,0,4,0,0,0,0,0,-0.0282018
-0.0261829,-0.0176273,0.227288,0,0,4,0,0,0,0,0,-0.0282339
-0.0261829,-0.0176273,0.227288,0,0,4,0,0,0,0,0,-0.0282673
-0.0261829,-0.0176273,0.227288,0,0,4,0,0,0,0,0,-0.0282842
-0.0244592,-0.0172317,0.230744,0,0,4,0,0,0,0,0,-0.0283128
-0.0244592,-0.0172317,0.230744,0,0,4,0,0,0,0,0,-0.0283518
-0.0233087,-0.0169382,0.233429,0,0,4,0,0,0,0,0,-0.0283644
-0.0233087,-0.0169382,0.233429,0,0,4,0,0,0,0,0,-0.0283927
-0.0233087,-0.0169382,0.233429,0,0,4,0,0,0,0,0,-0.0283995
-0.0210099,-0.0163331,0.240993,0,0,4,0,0,0,0,0,-0.028416
-0.0210099,-0.0163331,0.240993,0,0,4,0,0,0,0,0,-0.0284263
-0.0198631,-0.0160203,0.245867,0,0,4,0,0,0,0,0,-0.0284267
-0.0198631,-0.0160203,0.245867,0,0,4,0,0,0,0,0,-0.0284235
-0.0198631,-0.0160203,0.245867,0,0,4,0,0,0,0,0,-0.0284204
-0.0181144,-0.0155038,0.254367,0,0,4,0,0,0,0,0,-0.0284199
-0.0181144,-0.0155038,0.254367,0,0,4,0,0,0,0,0,-0.0284008
-0.0169635,-0.0151297,0.261086,0,0,4,0,0,0,0,0,-0.0283583
-0.0169635,-0.0151297,0.261086,0,0,4,0,0,0,0,0,-0.0283431
-0.0158248,-0.0147283,0.268562,0,0,4,0,0,0,0,0,-0.0282823
-0.0158248,-0.0147283,0.268562,0,0,4,0,0,0,0,0,-0.02826
-0.0141484,-0.0140575,0.281293,0,0,4,0,0,0,0,0,-0.0281822
-0.0141484,-0.0140575,0.281293,0,0,4,0,0,0,0,0,-0.0281213
-0.0141484,-0.0140575,0.281293,0,0,4,0,0,0,0,0,-0.0280515
-0.0125135,-0.0133608,0.29484,0,0,4,0,0,0,0,0,-0.0279838
-0.0125135,-0.0133608,0.29484,0,0,4,0,0,0,0,0,-0.0279097
-0.0119656,-0.0130961,0.299548,0,0,4,0,0,0,0,0,-0.0278621
-0.0119656,-0.0130961,0.299548,0,0,4,0,0,0,0,0,-0.0277185
-0.0119656,-0.0130961,0.299548,0,0,4,0,0,0,0,0,-0.0277185
-0.0119656,-0.0130961,0.299548,0,0,4,0,0,0,0,0,-0.0276178
-0.0103523,-0.0123106,0.314216,0,0,4,0,0,0,0,0,-0.027516
-0.0103523,-0.0123106,0.314216,0,0,4,0,0,0,0,0,-0.0274047
