x,y,z,gx,gy,gz,motor0,motor1,motor2,motor3,target_yaw,yaw
-0.0230975,-0.0367379,0.22605,0,0,4,0,0,0,0,0,-0.0249221
-0.0226893,-0.0360644,0.229538,0,0,4,0,0,0,0,0,-0.0249138
-0.0226893,-0.0360644,0.229538,0,0,4,0,0,0,0,0,-0.0249183
-0.0226893,-0.0360644,0.229538,0,0,4,0,0,0,0,0,-0.024922
-0.0223991,-0.0356276,0.231872,0,0,4,0,0,0,0,0,-0.0249214
-0.0223991,-0.0356276,0.231872,0,0,4,0,0,0,0,0,-0.0249276
-0.0223991,-0.0356276,0.231872,0,0,4,0,0,0,0,0,-0.0249283
-0.0221108,-0.0352223,0.234602,0,0,4,0,0,0,0,0,-0.02494
-0.0221108,-0.0352223,0.234602,0,0,4,0,0,0,0,0,-0.0249487
-0.0216756,-0.0346569,0.2401,0,0,4,0,0,0,0,0,-0.0249619
-0.0216756,-0.0346569,0.2401,0,0,4,0,0,0,0,0,-0.0249631
-0.0216756,-0.0346569,0.2401,0,0,4,0,0,0,0,0,-0.0249748
-0.0213845,-0.0343246,0.244931,0,0,4,0,0,0,0,0,-0.0249958
-0.0213845,-0.0343246,0.244931,0,0,4,0,0,0,0,0,-0.025006
-0.0213845,-0.0343246,0.244931,0,0,4,0,0,0,0,0,-0.025006
-0.0209345,-0.0338297,0.253989,0,0,4,0,0,0,0,0,-0.0250681
-0.0209345,-0.0338297,0.253989,0,0,4,0,0,0,0,0,-0.0250681
-0.0206244,-0.0335216,0.261106,0,0,4,0,0,0,0,0,-0.0251213
-0.0206244,-0.0335216,0.261106,0,0,4,0,0,0,0,0,-0.0251213
-0.0201549,-0.0330612,0.272747,0,0,4,0,0,0,0,0,-0.0251579
-0.0201549,-0.0330612,0.272747,0,0,4,0,0,0,0,0,-0.0251579
-0.0201549,-0.0330612,0.272747,0,0,4,0,0,0,0,0,-0.0251783
-0.0196819,-0.032616,0.286195,0,0,4,0,0,0,0,0,-0.0251901
-0.0196819,-0.032616,0.286195,0,0,4,0,0,0,0,0,-0.0252077
-0.0196819,-0.032616,0.286195,0,0,4,0,0,0,0,0,-0.0252287
-0.0193712,-0.0323419,0.296456,0,0,4,0,0,0,0,0,-0.0252495
-0.0193712,-0.0323419,0.296456,0,0,4,0,0,0,0,0,-0.0252838
-0.0188998,-0.0319218,0.31293,0,0,4,0,0,0,0,0,-0.025302
-0.0188998,-0.0319218,0.31293,0,0,4,0,0,0,0,0,-0.0253259
-0.0188998,-0.0319218,0.31293,0,0,4,0,0,0,0,0,-0.0253357
