x,y,z,gx,gy,gz,motor0,motor1,motor2,motor3,target_yaw,yaw
-0.16138,0.0674063,0.778,0,0,0.5,0,0,0,0,1.10715,1.63063
-0.16138,0.0674063,0.778,-0.00079971,0.00239914,0.5,0,0,0,0,1.10715,1.63061
-0.16143,0.0674921,0.777066,-0.00159942,0.00479829,0.5,0,0,0,0,1.10714,1.63056
-0.16143,0.0674921,0.777066,-0.0023991,0.0071974,0.5,0,0,0,0,1.10714,1.63048
-0.16143,0.0674921,0.777066,-0.00319876,0.00959647,0.5,0,0,0,0,1.10713,1.6304
-0.161561,0.0676967,0.773906,-0.00399841,0.0119955,0.5,0,0,0,0,1.10713,1.63023
-0.161561,0.0676967,0.773906,-0.00479796,0.0143945,0.5,0,0,0,0,1.10711,1.63014
-0.161594,0.0677509,0.772792,-0.0055975,0.0167934,0.5,0,0,0,0,1.1071,1.62978
-0.161594,0.0677509,0.772792,-0.00639696,0.0191922,0.5,0,0,0,0,1.10709,1.62951
-0.161594,0.0677509,0.772792,-0.00719634,0.021591,0.5,0,0,0,0,1.10707,1.62891
-0.161694,0.067867,0.769226,-0.00799572,0.0239897,0.5,0,0,0,0,1.10705,1.6281
-0.161694,0.067867,0.769226,-0.00879487,0.0263881,0.5,0,0,0,0,1.10703,1.62762
-0.161728,0.0678975,0.76804,-0.00959403,0.0287865,0.5,0,0,0,0,1.10701,1.62655
-0.161728,0.0678975,0.76804,-0.0103931,0.0311848,0.5,0,0,0,0,1.10699,1.62588
-0.161728,0.0678975,0.76804,-0.0111919,0.0335829,0.5,0,0,0,0,1.10696,1.62443
-0.161825,0.0679174,0.764517,-0.0119908,0.035981,0.5,0,0,0,0,1.10694,1.62279
-0.161825,0.0679174,0.764517,-0.0127894,0.0383786,0.5,0,0,0,0,1.1069,1.62195
-0.161853,0.0678977,0.763436,-0.0135879,0.0407763,0.5,0,0,0,0,1.10687,1.62001
-0.161853,0.0678977,0.763436,-0.0143863,0.0431737,0.5,0,0,0,0,1.10684,1.61896
-0.161853,0.0678977,0.763436,-0.0151844,0.0455708,0.5,0,0,0,0,1.1068,1.61674
-0.161954,0.0678161,0.760541,-0.0159826,0.047968,0.5,0,0,0,0,1.10677,1.61436
